,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.7612903225806451,0.7590543259557344,0.7596638655462185,0.759326870619833,0.8552941176470588
XGBoost,0.7741935483870968,0.7721604314122008,0.7714285714285715,0.7717615381379107,0.8507563025210083
LightGBM,0.7741935483870968,0.776421346355075,0.7663865546218487,0.7686468506119664,0.8401680672268907
GradientBoosting,0.6451612903225806,0.6421026156941649,0.6424369747899159,0.642242645515968,0.7394117647058823
LogisticRegression,0.5161290322580645,0.6042378673957621,0.5512605042016807,0.46480364624096493,0.5509243697478992
