,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.7483870967741936,0.7460397708122684,0.7453781512605042,0.745677142496529,0.8149579831932774
XGBoost,0.7290322580645161,0.7264705882352941,0.7264705882352941,0.7264705882352941,0.7941176470588236
LightGBM,0.7548387096774194,0.7527045300878972,0.7512605042016807,0.7518537243006405,0.7813445378151261
GradientBoosting,0.6516129032258065,0.649733066399733,0.6508403361344538,0.6498493975903614,0.7019327731092437
LogisticRegression,0.535483870967742,0.6164641203703703,0.5676470588235294,0.4967532467532467,0.542016806722689
