,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.7806451612903226,0.7785714285714286,0.7785714285714286,0.7785714285714286,0.8374789915966386
XGBoost,0.7612903225806451,0.7594979647218454,0.7571428571428571,0.758027087464664,0.8378151260504203
LightGBM,0.7612903225806451,0.7591001011122346,0.7584033613445378,0.7587193403172199,0.8336134453781512
GradientBoosting,0.6709677419354839,0.6680918846411804,0.6684873949579833,0.6682613622057157,0.7557142857142858
LogisticRegression,0.5161290322580645,0.6042378673957621,0.5512605042016807,0.46480364624096493,0.5509243697478992
