,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.7483870967741936,0.7464082860006682,0.7478991596638656,0.7468698965704954,0.8236974789915965
XGBoost,0.7548387096774194,0.7539973351099267,0.7563025210084033,0.7540093551620448,0.8210084033613445
LightGBM,0.7548387096774194,0.7525210084033613,0.7525210084033613,0.7525210084033613,0.8290756302521008
GradientBoosting,0.7483870967741936,0.747008547008547,0.7428571428571429,0.7441269841269842,0.7757142857142856
LogisticRegression,0.5161290322580645,0.6042378673957621,0.5512605042016807,0.46480364624096493,0.5494117647058824
