,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.7548387096774194,0.7526773761713521,0.753781512605042,0.7531019450033535,0.8321008403361345
XGBoost,0.7419354838709677,0.7397088353413654,0.7407563025210084,0.7401073105298457,0.8396638655462185
LightGBM,0.7483870967741936,0.746353459972863,0.7441176470588236,0.744947470570862,0.8344537815126051
GradientBoosting,0.6903225806451613,0.6872659176029963,0.6848739495798319,0.6855983772819473,0.7811764705882351
LogisticRegression,0.535483870967742,0.6164641203703703,0.5676470588235294,0.4967532467532467,0.5415126050420169
