,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.13014552486472483,0.10152774,428,0.07471765947710082,0.0038709677419354826
의무보유확약비율,0.17720701152700338,0.1776832,461,0.1793564423634292,0.07806451612903223
(확정)공모가격,0.120867395565826,0.12839566,471,0.12238099361556441,0.04129032258064515
청약경쟁률,0.21704160683027954,0.23267433,462,0.3015367663101048,0.16838709677419353
공모후 발행주식수,0.091438117231828,0.09059086,515,0.10356032583912081,0.01032258064516126
최대주주 소유주 비율,0.10145755915158534,0.08453901,517,0.08245408403883467,-0.0012903225806451645
최대주주 보호예수 기간,0.03548727631682393,0.0670149,111,0.016254153124205663,0.003870967741935494
보호예수 비율,0.12635550851192895,0.11757427,493,0.11973957523163965,-0.00903225806451613
