,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.05927077581853278,0.018301426,149,0.021012753741839967,0.0
의무보유확약비율,0.09364815896088995,0.06124808,246,0.09250046218590731,0.0
(확정)공모가격,0.045197137532672405,0.04218112,241,0.06466704429471035,0.0
청약경쟁률,0.13306041641689123,0.11564064,297,0.24181605982222554,0.0
공모후 발행주식수,0.019755057661371686,0.020716386,132,0.0275062578546577,0.002580645161290351
최대주주 소유주 비율,0.01989712599573082,0.01375416,114,0.013834779312682647,0.0
최대주주 보호예수 기간,0.007436223974682611,0.0123328855,31,0.0034318149432110145,0.0
보호예수 비율,0.0444024568638199,0.03147958,253,0.020539459951275246,0.0
총부채,0.02023846785489778,0.020607729,85,0.023089076461924696,0.0051612903225806694
자본금,0.018381742360013834,0.019055145,109,0.02889489779836817,0.005161290322580658
영업이익,0.030126912193833504,0.036145877,82,0.020256354918427772,0.0774193548387097
부채비율,0.01868649772520051,0.012954214,71,0.010202334815630985,0.0
유동비율,0.020315394540751656,0.025649719,112,0.01152804361735381,0.0
당기순이익률,0.022430047544133885,0.021980064,120,0.028721152861677743,0.0
ROE,0.01653598774879775,0.016269471,110,0.013084643168376707,0.0
EPS,0.02110573339524373,0.019670587,80,0.014391124223647108,0.0
EV/영업이익,0.017840022921011032,0.031983607,61,0.014072434426983917,0.0
부채비율 변화율,0.019881345691322293,0.022582557,152,0.06810583529381944,0.0
유동비율 변화율,0.018893096354101975,0.022561178,158,0.020810104011983868,0.0
영업이익률 변화율,0.0197816482531054,0.028048985,148,0.001443337942705123,0.0
당기순이익률 변화율,0.01839542143690324,0.021625899,104,0.029178495176115937,0.0
매출액 변화율,0.015635141970060978,0.017228153,97,0.00650270652401764,-0.009677419354838679
ROE 변화율,0.01787208784827908,0.020019265,158,0.009469693031673939,0.0
EPS 변화율,0.02223323994667018,0.03132511,113,0.00706642646638938,0.0
EV/영업이익 변화율,0.016087779701824213,0.017922822,82,0.006135424810121574,0.0
DLR,0.013698619294191286,0.014178187,55,0.0006959581221745022,0.0
PPI (%),0.049022296178053766,0.034929704,76,0.018881726531230533,0.0
기업경기실사지수(BSI),0.015815949840339193,0.029164182,88,0.03165825783899083,0.0
생산자물가 상승률 (PPI),0.01784470172820737,0.02357203,91,0.022320618007682546,0.0
소비심리지수(CSI),0.01633954418463797,0.020436017,105,0.01951659585685497,0.0
소비자물가 상승률 (CPI),0.022893725116522472,0.024216505,136,0.025495990690099814,0.0
수출입 물량지수,0.021233821888520767,0.021402815,115,0.019893594750666356,0.0
외환보유액,0.01866363324297323,0.022099774,96,0.008246775891074297,0.0
원달러 환율,0.027322456098175442,0.034432895,117,0.00954376674677684,0.0
통화량 (M2),0.015355862300480591,0.026201742,79,0.03404593587862633,0.0
기준금리,0.008206672668628623,0.02288646,14,0.0010232759241026452,0.0
국고채 금리 스프레드,0.016494796748526976,0.025195077,82,0.010416786105992875,0.0
