,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.06415731230220187,0.037385862,170,0.01693250576150014,0.0
의무보유확약비율,0.1083544137758304,0.089162424,217,0.09396198386574181,0.0
(확정)공모가격,0.043773388722354034,0.0424056,213,0.05794945403073781,0.0
청약경쟁률,0.14275280692580292,0.12746565,273,0.25456486386047217,0.0
공모후 발행주식수,0.022668830731551622,0.028625902,152,0.014302631126486111,-0.009677419354838724
최대주주 소유주 비율,0.02429732898192179,0.019719591,135,0.0186024140653073,0.0
최대주주 보호예수 기간,0.009144239705586947,0.02044723,27,0.003768734970803331,0.0
보호예수 비율,0.05345349987894551,0.039176635,227,0.039814276739683546,0.0
총부채,0.022156591068996614,0.023861432,65,0.01651654897455572,0.015483870967741948
자본금,0.023982094555389532,0.023841547,94,0.01719614741468981,0.006451612903225823
영업이익,0.03191744993222096,0.040257167,88,0.04525615381078665,0.06129032258064515
매출액,0.021654704016907608,0.022609074,125,0.00924120049932043,-0.03354838709677419
부채비율,0.0202031205528784,0.0256508,86,0.01707129042846247,0.0
유동비율,0.024323597183497726,0.025220515,104,0.0140530265775689,0.0
영업이익률,0.024270035446848876,0.03886038,81,0.028142373205498453,0.0
당기순이익률,0.027506007643458466,0.021029245,79,0.03444292685485559,0.0
ROE,0.02398021524697411,0.022478938,122,0.012789098534438088,0.0
EPS,0.029085038041292213,0.028029215,79,0.026525307865533566,0.0
EV/영업이익,0.022279039569264202,0.021283392,109,0.04476596601905241,0.0
기업경기실사지수(BSI),0.01615333793932771,0.036565613,54,0.005111676188390433,0.0
소비심리지수(CSI),0.0194608167725592,0.03543346,107,0.03438161523144006,0.0
수출입 물량지수,0.021159660750050664,0.024305902,106,0.020916283808371038,0.0
외환보유액,0.027711230352422647,0.025523422,104,0.027381730085117444,-0.0006451612903225878
원달러 환율,0.021463265200443386,0.022160886,91,0.004380465434180893,0.0
통화량 (M2),0.022223035997029145,0.030575642,23,0.003713240356956183,0.007096774193548377
기준금리,0.01120307374052447,0.019977575,16,0.0005505477102067457,0.0
국고채 금리 스프레드,0.019066016512776236,0.014046638,46,0.0071552767409570174,0.0
KOSPI_1001,0.03216142579309307,0.031075647,125,0.02365623750870093,0.0
산업코스피,0.022761112160855936,0.020893745,144,0.02859147859439228,0.0
대표매매감정점수,0.046677310498993534,0.041930802,200,0.0782645437357927,0.0
