,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.04908626006408991,0.035862826,227,0.023101971066964676,0.0
의무보유확약비율,0.09720123904437879,0.06844966,374,0.09314827456912678,0.0
(확정)공모가격,0.04296577613192103,0.042949032,368,0.06535557555832014,0.0
청약경쟁률,0.11601239064140292,0.086574815,436,0.22633214252516742,0.0
공모후 발행주식수,0.02107113960573111,0.021645855,195,0.018355124453202153,-0.012903225806451635
최대주주 소유주 비율,0.019942043832567903,0.017874967,174,0.03854154863179118,0.0
최대주주 보호예수 기간,0.004481914644476569,0.01705776,41,0.001727838795462774,0.0
보호예수 비율,0.03952783347555692,0.027958423,354,0.030629005371254816,0.0
총부채,0.016817257042246285,0.019964095,94,0.013615302068411035,0.012903225806451623
자본금,0.02090850877718456,0.021046624,125,0.0065275667929354676,0.007096774193548405
영업이익,0.022349089956312143,0.030462297,115,0.037801874976446694,0.06129032258064515
부채비율,0.016155736926768412,0.020141378,112,0.015098048160412377,0.0
유동비율,0.017835439969849515,0.019422451,149,0.015766594627813463,0.0
당기순이익률,0.021666599270238143,0.022546561,148,0.02146333399386601,0.0
ROE,0.018457558145790247,0.018080287,139,0.0038111652624133715,0.0
EPS,0.02211206034589347,0.023351556,129,0.021324176928382056,0.0
EV/영업이익,0.016107565115088786,0.023132829,118,0.022884433881741405,0.0
부채비율 변화율,0.017988689966947753,0.021189045,183,0.031995650040323106,0.0
유동비율 변화율,0.02010802465756792,0.019748926,166,0.009670391611597733,0.0
영업이익률 변화율,0.021359732214136166,0.027030118,189,0.009489465047253847,0.0
당기순이익률 변화율,0.017578387931684123,0.020483626,111,0.030520962052494535,0.0
매출액 변화율,0.016558434023755446,0.015009295,151,0.003463516176527966,-0.034193548387096775
ROE 변화율,0.017461744678860264,0.020336214,231,0.014182368074413254,0.0
EPS 변화율,0.02480289059145227,0.029716406,183,0.003493184490740911,0.0
EV/영업이익 변화율,0.013547031126949745,0.019800304,127,0.0017782108043666233,0.0
DLR,0.012105100910655194,0.017998433,54,0.007416750691687541,0.0
PPI (%),0.04834711408737408,0.03557397,84,0.01938933346287963,0.0
기업경기실사지수(BSI),0.01321523369392781,0.018001564,42,0.003343992476854793,0.0
소비심리지수(CSI),0.016893816391119275,0.026188338,155,0.02624203288375971,0.0
외환보유액,0.02412216814714518,0.027597988,161,0.02880872648742623,-0.0006451612903225878
원달러 환율,0.020994067471807074,0.021561278,127,0.00902450368676732,0.0
통화량 (M2),0.01952016863923264,0.029117774,25,0.016998395042808697,0.005806451612903213
기준금리,0.007865631488008704,0.013730746,21,0.00049090638273458,0.0
국고채 금리 스프레드,0.017404499791022862,0.018451396,68,0.00579888900111414,0.0
무역수지,0.020538067469639116,0.01986578,158,0.009337604272894097,0.0
KOSPI_1001,0.02586664954679386,0.026974924,221,0.020573307673664377,0.0
산업코스피,0.018863587281761598,0.020997617,161,0.04245394635601894,0.0
대표매매감정점수,0.0421605469006621,0.034104902,325,0.05004388561996048,0.0
