,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.7870967741935484,0.7642225031605563,0.7364253393665159,0.7465437788018433,0.8558634992458523
XGBoost,0.7806451612903226,0.7535353535353535,0.7366138763197587,0.7434774143302181,0.8536953242835597
LightGBM,0.7741935483870968,0.7452134024730754,0.7318061840120663,0.7374280044528339,0.840497737556561
LogisticRegression,0.6709677419354839,0.33548387096774196,0.5,0.4015444015444015,0.42251131221719457
GradientBoosting,0.7612903225806451,0.7294587227414331,0.7221907993966817,0.7254535880128297,0.8503016591251885
