,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.8064516129032258,0.7986715529088411,0.7458521870286576,0.761977886977887,0.8988499245852186
XGBoost,0.8129032258064516,0.8103408029878618,0.7506598793363499,0.7683109118086696,0.8927224736048266
LightGBM,0.8129032258064516,0.7968815844922039,0.7656485671191553,0.7772657450076805,0.8940422322775264
GradientBoosting,0.7032258064516129,0.6595959595959596,0.6489441930618401,0.652940031152648,0.7068250377073907
LogisticRegression,0.6774193548387096,0.8376623376623377,0.5098039215686274,0.42233154442456766,0.44381598793363497
