,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.8129032258064516,0.7968815844922039,0.7656485671191553,0.7772657450076805,0.8723604826546003
XGBoost,0.7870967741935484,0.7621826371826372,0.741421568627451,0.7495716034271727,0.8559577677224736
LightGBM,0.7741935483870968,0.7463144963144963,0.7268099547511313,0.7343941248470012,0.8320135746606335
GradientBoosting,0.6903225806451613,0.6455870764381403,0.6393288084464555,0.6418944936465152,0.6249057315233786
LogisticRegression,0.6774193548387096,0.8376623376623377,0.5098039215686274,0.42233154442456766,0.44381598793363497
