,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.8193548387096774,0.806910569105691,0.7704562594268476,0.7836059034702831,0.8592571644042232
XGBoost,0.7935483870967742,0.7737483953786906,0.7412330316742082,0.7526924611088951,0.8748114630467572
LightGBM,0.8193548387096774,0.806910569105691,0.7704562594268476,0.7836059034702831,0.8861236802413274
GradientBoosting,0.8258064516129032,0.8049065420560748,0.7952488687782806,0.7996553209823352,0.8893288084464556
LogisticRegression,0.6709677419354839,0.33548387096774196,0.5,0.4015444015444015,0.525075414781297
