,Accuracy,Precision,Recall,F1-score,ROC AUC
RandomForest,0.8258064516129032,0.8284313725490196,0.7652714932126696,0.7842894696149683,0.877262443438914
XGBoost,0.7741935483870968,0.7478929624947324,0.7218137254901961,0.7311827956989247,0.8450226244343891
LightGBM,0.8,0.7836956521739131,0.7460407239819005,0.7588940739625671,0.8512443438914027
GradientBoosting,0.7096774193548387,0.6738173817381738,0.6787330316742082,0.6759581881533101,0.7244532428355958
LogisticRegression,0.6709677419354839,0.33548387096774196,0.5,0.4015444015444015,0.5256410256410257
