기업명,year_key,month_key,단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,상장일,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,종가대비등락율,매출액,부채비율,유동비율,영업이익률,당기순이익률,ROE,EPS,EV/영업이익,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,부채비율 변화율,유동비율 변화율,영업이익률 변화율,당기순이익률 변화율,매출액 변화율,ROE 변화율,EPS 변화율,EV/영업이익 변화율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,무역수지,생산자물가 상승률 (PPI),소비심리지수(CSI),소비자물가 상승률 (CPI),수출입 물량지수,외환보유액,원달러 환율,통화량 (M2),KOSPI_1001,국고채 금리 스프레드,대표매매감정점수,산업군,섹터,호황,불황,산업코스피,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19
DSC인베스트먼트,2016,Dec_16,11.2,0,1700,11,2016-12-19,17500000,1833938590,9424633533,1807552839,280075244,6500000000,2403479033,267465007,1696693373,1311509021,,3480121402,0.2276350257830163,1.0145974991329147,0.487538559,0.3768572614295252,0.1430069811002794,74.94337262857142,5.405186456162341,34.46,2,68.23,-0.11026109,-0.048729589,0.1161464347967557,0.084210332,3480121401,-0.013265927,0.6918485142857094,0.3628991510400645,92.86,-266.67,72,1.25,8934.6,96.96,94.2,96.342,8934.6,371101605,1182.28,2407562.2,2038.39,0.4669999999999998,-0.178494,투자,Sensitive,0.2610143256237005,-0.256201786,1580.98,0,0.14163825,0,0,0.03600488,0,0.07759307,0.18313672,0.10524039,0,0,0.06854948,0,0.13060258,0.04175413,0.11625506,0,0,0,0.093726985
GRT(그레이트리치과기),2016,Oct_16,140.75,4.32,5000,7,2016-10-25,67500000,793157289,723506841,360476429,189137469,286411054,553308724,42799075,279633009,200645240,,941632061,0.6227786478800583,2.200302780407315,0.2969663211159501,0.2130824217974455,0.2273551882976034,2.972522074074074,3.458283539,38.42,6,75,-0.867691625,1.024136945,-0.018562773,-0.020220626,941632060,-0.27242359,0.044465274,1.978823664976041,93.33,50,75,1.25,4605.5,95.69,102.8,96.379,4605.5,375166658,1125.28,2391859.8,2037.17,0.2350000000000001,-0.348357,화학,Sensitive,0.2620787455708933,-0.256086593,5099.26,0,0.13002947,0,0,0.02978674,0,0.059754312,0.20566809,0.11099528,0,0,0.07202199,0,0.09845828,0.0544123,0.11370259,0,0,0,0.082769066
ING생명보험,2017,May_17,3.97,0.13,33000,0,2017-05-11,82000000,24660260,6008470,20091232,6430082,82000,1766107,1800991,321884,240741,,4265748,7.267909494346274,1.2274140281691035,0.07545781,0.056435823,0.065972742,0.002935866,12.884815647873149,59.15,1,59.15,0.5466082382144837,-0.02122763,-0.011742535,-0.008718498,4265747,-0.015016709,-0.000781134,2.439690796797217,57.14,17.65,81,1.25,3956.8,98.23,109.2,97.546,3956.8,378456235,1125.28,2459313,2296.37,0.5670000000000002,-0.705678,금융,Infra,0.3362168254473993,-0.282429964,498.92,0,0.16621423,0,0,0.061412208,0,0.07990249,0.23153384,0.1217291,0,0,0.08857668,0,0.089842185,0.064750314,0.13942026,0,0,0,0.09568411
JTC,2018,Apr_18,478,24.17,8500,465,2018-04-06,35114625,1.54135E+11,78548060055,59905678491,38714374965,6102640791,1.18545E+11,4066918027,24908650677,19130774616,,4.16563E+11,0.7661913129471885,2.572968358252661,0.059795646,0.045925291,0.1486293386290799,544.8093099670009,5.3822032985428105,58.96,5,65.74,-0.350890998,0.3065993349210942,0.009478607,0.017946246,4.16563E+11,0.019646129,119.93743108462638,0.8640425609426083,94.12,164.29,79,1.5,5961.9,100.01,108.7,98.931,5961.9,398421500,1067.76,2591006.5,2429.58,0.4629999999999996,0.042749,유통,Protective,0.2647170651584315,-0.243976558,1094.05,0,0.1485664,0,0,0.07202796,0,0.06431316,0.26652148,0.1460256,0,0,0.10489821,0,0.081220455,0.054765414,0.1622941,0.027862316,0,0,0.08106812
JW생명과학,2016,Oct_16,225,7.41,30000,220,2016-10-27,7917277,36186829815,1.45344E+11,75706826871,20993524053,39586385000,16909169240,0,11853577522,8398705961,,67092448816,1.7116453183768252,0.4779863495885283,0.176675285,0.1251810913033346,0.1486613605969997,1060.807391354376,7.156538516709926,50,6,56.06,-0.069169813,0.006183126,0.028553473,0.023043732,67092448815,-0.08739289,-564.0205269,2.716569848095617,94.12,54.55,75,1.25,4605.5,95.69,102.8,96.379,4605.5,375166658,1125.28,2391859.8,2024.12,0.2350000000000001,-0.175077,의료/의약,Growth,0.2398095526934353,-0.279729944,2154.92,0,0.13068207,0,0,0.021538634,0,0.05413465,0.21556307,0.11750269,0,0,0.07418207,0,0.10931656,0.048228938,0.109643504,0,0,0,0.08281136
LG에너지솔루션,2022,Jan_22,2023,66.59,300000,69,2022-01-27,234000000,9860210,13752096,8977353,5412775,100000,303807,1586903,692737,858057,,13412546,7.228641037619743,1.098342685199078,0.051648434,0.063974207,0.4310306373103064,0.00366691,13.312668444157016,81.84,6,91.29,-29.83340959,-0.220485392,0.376894076,0.373180213,13412545,1.783893602480383,0.005597556,29.232932498062063,93.75,100,84,1.25,6510.9,111.04,105,104.85,6510.9,461526656,1194.01,3647481.5,2614.49,0.4319999999999999,-0.333035,배터리,Growth,0.2446713475172352,-0.304868084,27149.59,0,0.13551539,0,0,0.081881806,0,0.056059502,0.18461584,0.23669328,0,0,0.15448205,0,0.09759057,0,0.16995496,0.050255,0,0,0.06849891
SKC코오롱PI,2014,Dec_14,23.01,0,8000,46,2014-12-08,29366322,75787122656,1.79442E+11,36762916710,19159566806,18368700000,60479446202,-43368702000,20028343746,11433421958,,65437069512,1.576193899701721,2.061510060636318,0.3060703038103984,0.1747239300791627,0.3222548214933843,389.3378938635897,9.951216009801351,27.03,6,58.59,0.5039436769999543,-0.513812543,0.010951465,-0.017412001,65437069511,-0.209700094,-485.4581561,4.575501930613005,94.74,-180,72,2,8011.2,99.14,101.7,94.006,8011.2,363592748,1104.33,2085332.1,1978.95,0.5380000000000003,-0.714099,부품제조,Sensitive,0.2488313358466109,-0.244302235,831.58,0.00274542,0.13163882,0,0,0.024628323,0,0.08036729,0.18610339,0.07058905,0.012150845,0,0.08790188,0,0.113684565,0.059470013,0.11813238,0,0,0,0.08798279
가온칩스,2022,May_22,1847.12,14.6,14000,2183,2022-05-20,11488320,29916404375,7076710460,13808071614,1323047300,4714160000,16368724338,23350724,6202436087,6182765868,,32235607297,0.7169027952902082,2.1665881530240445,0.1924094691269312,0.1917992675315721,0.2929355164404261,538.1784166875575,3.5247434418262955,7.3,6,71.35,-0.6561797,0.01396254,0.076983482,0.083499555,32235607296,0.119464775,376.9936979471324,-1.985351852,94.44,150,86,1.75,3135.3,115.92,103.2,107.5,3135.3,447711119,1269.88,3702933.6,2639.29,0.2759999999999998,-0.539253,반도체,Growth,0.2301213955822488,-0.311049778,25774.33,0,0.10901722,0,0,0.042869102,0,0.06653137,0.17748955,0.20016742,0,0,0.14738458,0,0.1295448,0,0.15630421,0.034640726,0,0.023729699,0.06471235
강스템바이오텍,2015,Dec_15,11.35,0,6000,41,2015-12-21,13817150,9725685992,5258574223,2463290508,1215054054,5878575000,-14190382611,524451764,-3185874764,-3838642428,,1340395841,-0.472348334,3.9482496930077886,-2.37681636,-2.863812547,0.4929327108480342,-277.8172364,-3.548763367,25.3,1,37.45,0.9023253836139004,2.7973597898368365,19.016191205152904,14.973571027466946,1340395840,-0.063521014,-9.050415317,-3.978219653,92.86,-100,70,1.5,9417.7,95.21,103.3,95.07,9417.7,367961865,1172.24,2245102.7,1981.19,0.4619999999999999,-0.133332,바이오,Growth,0.214745242,-0.268013581,2284.21,0,0.14578915,0,0,0.039713357,0,0.032797154,0.23595387,0.12893948,0.000140075,0,0.073074386,0,0.14057043,0.07094955,0.124198996,0,0,0,0.11489302
경보제약,2015,Jun_15,524.56,34.44,15000,264,2015-06-29,23906860,96928613178,73815393122,88702899776,15081480014,10758085000,49452192871,962713886,6707517932,4993011747,,43348799729,1.6965719153031942,1.0927333088633209,0.1547336483116676,0.1151822375293984,0.08162118,208.85267856171828,9.982772642403424,60,6,68,0.1023990676068105,-0.045807702,-0.008232307,0.064317057,43348799728,-0.056458592,-152.3806128,7.513188081007247,94.74,100,77,1.5,10000,97.85,98.8,94.909,10000,374749258,1112.2,2178617.8,2060.49,0.6950000000000001,-0.35719,의료/의약,Growth,0.2249214901906066,-0.267983425,2127.8,0,0.15364087,0,0,0.068663396,0,0.058161344,0.23431697,0.07981891,0.000126038,0,0.10394652,0,0.14335634,0.08622289,0.14872621,0,0,0,0.13528211
