기업명,year_key,month_key,단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,상장일,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,종가대비등락율,매출액,부채비율,유동비율,영업이익률,당기순이익률,ROE,EPS,EV/영업이익,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,부채비율 변화율,유동비율 변화율,영업이익률 변화율,당기순이익률 변화율,매출액 변화율,ROE 변화율,EPS 변화율,EV/영업이익 변화율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,무역수지,생산자물가 상승률 (PPI),소비심리지수(CSI),소비자물가 상승률 (CPI),수출입 물량지수,외환보유액,원달러 환율,통화량 (M2),KOSPI_1001,국고채 금리 스프레드,대표매매감정점수,산업군,섹터
DSC인베스트먼트,2016,Dec_16,11.2,0.0,1700.0,11,2016-12-19,17500000,1833938590,9424633533,1807552839,280075244,6500000000,2403479033,267465007,1696693373,1311509021,109.4,3480121402,0.2276350257830163,1.0145974991329147,0.487538558863183,0.3768572614295252,0.1430069811002794,74.94337262857142,5.405186456162341,34.46,2,68.23,-0.1102610904797165,-0.0487295894436461,0.1161464347967557,0.0842103319598579,3480121401.0,-0.0132659271019977,0.6918485142857094,0.3628991510400645,92.86,-266.67,0.0,0.0,29.65419163849024,0.8739076154806291,-1.7726798748696535,0.1091056454378236,29.65419163849024,-0.2375701207422031,1.776798319617079,0.3006065873986774,3.0327690697991905,4.714290006752721,-0.178494,투자,Sensitive
GRT(그레이트리치과기),2016,Oct_16,140.75,4.32,5000.0,7,2016-10-25,67500000,793157289,723506841,360476429,189137469,286411054,553308724,42799075,279633009,200645240,30.0,941632061,0.6227786478800583,2.200302780407315,0.2969663211159501,0.2130824217974455,0.2273551882976034,2.972522074074074,3.458283539051,38.42,6,75.0,-0.8676916250664344,1.02413694475356,-0.0185627725040304,-0.0202206255773782,941632060.0,-0.2724235897926798,0.0444652740740743,1.978823664976041,93.33,50.0,0.0,0.0,-28.74493300739548,0.2934702861335347,0.2926829268292685,0.1371471318586614,-28.74493300739548,-0.6892587375687764,1.6063350459146308,0.4306130955507692,-0.7710667316122688,1.8207994579945819,-0.348357,화학,Sensitive
ING생명보험,2017,May_17,3.97,0.13,33000.0,0,2017-05-11,82000000,24660260,6008470,20091232,6430082,82000,1766107,1800991,321884,240741,-4.2,4265748,7.267909494346274,1.2274140281691035,0.07545780950961,0.0564358232131855,0.065972741757004,0.0029358658536585,12.884815647873149,59.15,1,59.15,0.5466082382144837,-0.0212276296949909,-0.0117425345667023,-0.0087184980911577,4265747.0,-0.0150167094781758,-0.0007811341463414,2.439690796797217,57.14,17.65,0.0,0.0,-40.497458570182566,-0.2741116751268979,7.269155206286837,0.1067301574269929,-40.497458570182566,0.5000307337281962,-0.6577030713409204,0.3342840146540515,7.018958317798796,2.7220764975981915,-0.705678,금융,Infra
JTC,2018,Apr_18,478.0,24.17,8500.0,465,2018-04-06,35114625,154135415237,78548060055,59905678491,38714374965,6102640791,118545100027,4066918027,24908650677,19130774616,91.8,416562952262,0.7661913129471885,2.572968358252661,0.0597956456322921,0.045925290552405,0.1486293386290799,544.8093099670009,5.3822032985428105,58.96,5,65.74,-0.3508909983692161,0.3065993349210942,0.0094786073555368,0.0179462457164693,416562952261.0,0.0196461294371741,119.93743108462638,0.8640425609426083,94.12,164.29,-3.658536585365857,0.0,-5.627315034666158,0.1301561874249124,-0.911577028258892,0.1822766351733173,-5.627315034666158,0.4203893908055089,-0.3853007304854161,0.5281887550715014,-1.836341377680284,1.5214798106235605,0.042749,유통,Protective
JW생명과학,2016,Oct_16,225.0,7.41,30000.0,220,2016-10-27,7917277,36186829815,145344105206,75706826871,20993524053,39586385000,16909169240,0,11853577522,8398705961,43.2,67092448816,1.7116453183768252,0.4779863495885283,0.1766752850907,0.1251810913033346,0.1486613605969997,1060.807391354376,7.156538516709926,50.0,6,56.06,-0.06916981287907,0.0061831257499493,0.0285534733215493,0.0230437321336848,67092448815.0,-0.0873928904697933,-564.0205268806435,2.716569848095617,94.12,54.55,0.0,0.0,-28.74493300739548,0.2934702861335347,0.2926829268292685,0.1371471318586614,-28.74493300739548,-0.6892587375687764,1.6063350459146308,0.4306130955507692,-1.44512610770281,1.8207994579945819,-0.175077,의료/의약,Growth
LG에너지솔루션,2022,Jan_22,2023.0,66.59,300000.0,69,2022-01-27,234000000,9860210,13752096,8977353,5412775,100000,303807,1586903,692737,858057,68.3,13412546,7.228641037619743,1.098342685199078,0.0516484342346337,0.0639742074323547,0.4310306373103064,0.0036669102564102,13.312668444157016,81.84,6,91.29,-29.833409588696,-0.2204853923196335,0.376894076463469,0.373180212902326,13412545.0,1.783893602480383,0.0055975555555555,29.232932498062063,93.75,100.0,-1.17647058823529,25.0,18.379999999999995,1.055697124135424,0.5747126436781658,0.7785467128027523,18.379999999999995,-0.3436931313036573,0.8709977190166418,0.6199461496420255,-11.51988737313403,-0.49839963420208555,-0.333035,배터리,Growth
SKC코오롱PI,2014,Dec_14,23.01,0.0,8000.0,46,2014-12-08,29366322,75787122656,179441735795,36762916710,19159566806,18368700000,60479446202,-43368702000,20028343746,11433421958,-5.3,65437069512,1.576193899701721,2.061510060636318,0.3060703038103984,0.1747239300791627,0.3222548214933843,389.3378938635897,9.951216009801351,27.03,6,58.59,0.5039436769999543,-0.5138125426400615,0.0109514648901377,-0.0174120012676881,65437069511.0,-0.2097000943939755,-485.4581561150218,4.575501930613005,94.74,-180.0,1.4084507042253502,0.0,-8.809233816348138,-0.9788254095085992,-1.6441005802707909,-0.0095729404882227,-8.809233816348138,0.1369764005791252,0.8428454022463727,0.310137450143344,0.6070126740586046,-0.6424815515465698,-0.714099,부품제조,Sensitive
가온칩스,2022,May_22,1847.12,14.6,14000.0,2183,2022-05-20,11488320,29916404375,7076710460,13808071614,1323047300,4714160000,16368724338,23350724,6202436087,6182765868,93.6,32235607297,0.7169027952902082,2.1665881530240445,0.1924094691269312,0.1917992675315721,0.2929355164404261,538.1784166875575,3.5247434418262955,7.3,6,71.35,-0.6561796996115555,0.0139625402015521,0.0769834824058142,0.0834995545084347,32235607296.0,0.119464775036455,376.9936979471324,-1.985351851902859,94.44,150.0,3.6144578313253017,16.666666666666675,-46.3721264367816,0.7124239791485687,-1.1494252873563204,0.62716465412338,-46.3721264367816,-0.353127548637222,3.0462372397228155,0.7484111434910456,-2.068978312090697,-0.29117745822129226,-0.539253,반도체,Growth
강스템바이오텍,2015,Dec_15,11.35,0.0,6000.0,41,2015-12-21,13817150,9725685992,5258574223,2463290508,1215054054,5878575000,-14190382611,524451764,-3185874764,-3838642428,56.0,1340395841,-0.4723483341803425,3.9482496930077886,-2.376816360175501,-2.863812547445826,0.4929327108480342,-277.8172364054816,-3.5487633665816,25.3,1,37.45,0.9023253836139004,2.7973597898368365,19.016191205152904,14.973571027466946,1340395840.0,-0.0635210137658033,-9.050415317196382,-3.978219653314988,92.86,-100.0,-2.777777777777779,0.0,18.84582865363502,-0.2305354710258944,-3.1865042174320624,0.2996223070917514,18.84582865363502,-0.1361147410359642,1.759594433882827,0.2124048711981352,-2.1117331132993744,-1.3551251352238445,-0.133332,바이오,Growth
경보제약,2015,Jun_15,524.56,34.44,15000.0,264,2015-06-29,23906860,96928613178,73815393122,88702899776,15081480014,10758085000,49452192871,962713886,6707517932,4993011747,128.3,43348799729,1.6965719153031942,1.0927333088633209,0.1547336483116676,0.1151822375293984,0.0816211796021673,208.85267856171828,9.982772642403424,60.0,6,68.0,0.1023990676068105,-0.0458077019522704,-0.0082323070996737,0.0643170570780326,43348799728.0,-0.0564585922897506,-152.38061280318703,7.513188081007247,94.74,100.0,-2.531645569620256,-14.28571428571429,53.9124545958259,-0.0510725229826425,-7.055503292568199,0.0200231847402365,53.9124545958259,0.8731079387486851,1.917948811934722,0.332615607456832,-0.1715091350416586,4.556465863453807,-0.35719,의료/의약,Growth
