latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,date,latent_dim,dropout_rate,batchnorm,epochs,early_stopping_patience,batch_size,kernel_regularizer
6.0767803,0.516591,0.0,0.0,0.0,0.0,0.0,0.04318768,6.505009,0.0,0.0,6.6818724,0.0,0.4725872,0.0,0.0,2014-02-17,16,0.2,True,100,5,32,True
6.08769,0.49852842,0.0,0.0,0.0,0.0,0.0,0.04479587,6.5008726,0.0,0.0,6.6851172,0.0,0.47561428,0.0,0.0,2014-02-18,16,0.2,True,100,5,32,True
6.0840917,0.5014701,0.0,0.0,0.0,0.0,0.0,0.04399879,6.502941,0.0,0.0,6.6957583,0.0,0.465493,0.0,0.0,2014-02-19,16,0.2,True,100,5,32,True
6.086835,0.49551895,0.0,0.0,0.0,0.0,0.0,0.046066117,6.50295,0.0,0.0,6.7016044,0.0,0.45883092,0.0,0.0,2014-02-20,16,0.2,True,100,5,32,True
6.0888467,0.48283872,0.0,0.0,0.0,0.0,0.0,0.048434712,6.4949107,0.0,0.0,6.700027,0.0,0.4564219,0.0,0.0,2014-02-21,16,0.2,True,100,5,32,True
6.0945835,0.46061867,0.0,0.0,0.0,0.0,0.0,0.05649107,6.486155,0.0,0.0,6.693547,0.0,0.458932,0.0,0.0,2014-02-24,16,0.2,True,100,5,32,True
6.110244,0.4358403,0.0,0.0,0.0,0.0,0.0,0.06374126,6.4859304,0.0,0.0,6.696083,0.0,0.45909876,0.0,0.0,2014-02-25,16,0.2,True,100,5,32,True
6.115718,0.42996216,0.0,0.0,0.0,0.0,0.0,0.0644497,6.4928384,0.0,0.0,6.7085676,0.0,0.4505789,0.0,0.0,2014-02-26,16,0.2,True,100,5,32,True
6.133452,0.3987791,0.0,0.0,0.0,0.0,0.0,0.07269032,6.489899,0.0,0.0,6.7011456,0.0,0.45908543,0.0,0.0,2014-02-27,16,0.2,True,100,5,32,True
6.1405168,0.38762262,0.0,0.0,0.0,0.0,0.0,0.07822725,6.4939675,0.0,0.0,6.7024493,0.0,0.4561879,0.0,0.0,2014-02-28,16,0.2,True,100,5,32,True
6.1475286,0.36769265,0.0,0.0,0.0,0.0,0.0,0.088536456,6.493872,0.0,0.0,6.6966286,0.0,0.4578497,0.0,0.0,2014-03-03,16,0.2,True,100,5,32,True
6.1474357,0.3630496,0.0,0.0,0.0,0.0,0.0,0.09319997,6.500303,0.0,0.0,6.7027574,0.0,0.44795135,0.0,0.0,2014-03-04,16,0.2,True,100,5,32,True
6.145309,0.35600594,0.0,0.0,0.0,0.0,0.0,0.10043426,6.5004163,0.0,0.0,6.6983085,0.0,0.44351047,0.0,0.0,2014-03-05,16,0.2,True,100,5,32,True
6.149191,0.33775967,0.0,0.0,0.0,0.0,0.0,0.108721495,6.494963,0.0,0.0,6.680846,0.0,0.45226413,0.0,0.0,2014-03-06,16,0.2,True,100,5,32,True
6.150603,0.3281422,0.0,0.0,0.0,0.0,0.0,0.11637008,6.4965324,0.0,0.0,6.671651,0.0,0.4555488,0.0,0.0,2014-03-07,16,0.2,True,100,5,32,True
6.142042,0.33227065,0.0,0.0,0.0,0.0,0.0,0.11878145,6.4973297,0.0,0.0,6.6633997,0.0,0.45531452,0.0,0.0,2014-03-10,16,0.2,True,100,5,32,True
6.144684,0.32434937,0.0,0.0,0.0,0.0,0.0,0.122727275,6.4969,0.0,0.0,6.6508574,0.0,0.46350598,0.0,0.0,2014-03-11,16,0.2,True,100,5,32,True
6.1345763,0.34053594,0.0,0.0,0.0,0.0,0.0,0.1221893,6.5054502,0.0,0.0,6.650049,0.0,0.45863658,0.0,0.0,2014-03-12,16,0.2,True,100,5,32,True
6.1349087,0.33911243,0.0,0.0,0.0,0.0,0.0,0.12579924,6.5030713,0.0,0.0,6.63229,0.0,0.46812144,0.0,0.0,2014-03-13,16,0.2,True,100,5,32,True
6.141036,0.32695928,0.0,0.0,0.0,0.0,0.0,0.1339525,6.498822,0.0,0.0,6.6079545,0.0,0.48666307,0.0,0.0,2014-03-14,16,0.2,True,100,5,32,True
6.136446,0.34086314,0.0,0.0,0.0,0.0,0.0,0.13301921,6.5039177,0.0,0.0,6.6066785,0.0,0.4860369,0.0,0.0,2014-03-17,16,0.2,True,100,5,32,True
6.1373687,0.3457519,0.0,0.0,0.0,0.0,0.0,0.1357262,6.505953,0.0,0.0,6.5944943,0.0,0.4933825,0.0,0.0,2014-03-18,16,0.2,True,100,5,32,True
6.134126,0.35877883,0.0,0.0,0.0,0.0,0.0,0.13698888,6.5140524,0.0,0.0,6.5875964,0.0,0.49545348,0.0,0.0,2014-03-19,16,0.2,True,100,5,32,True
6.127738,0.37282363,0.0,0.0,0.0,0.0,0.0,0.13493082,6.5166965,0.0,0.0,6.578497,0.0,0.4994778,0.0,0.0,2014-03-20,16,0.2,True,100,5,32,True
6.1235876,0.38129583,0.0,0.0,0.0,0.0,0.0,0.13944645,6.5181155,0.0,0.0,6.5668626,0.0,0.49978268,0.0,0.0,2014-03-21,16,0.2,True,100,5,32,True
6.1119323,0.39988706,0.0,0.0,0.0,0.0,0.0,0.13939983,6.517899,0.0,0.0,6.559346,0.0,0.49749374,0.0,0.0,2014-03-24,16,0.2,True,100,5,32,True
6.104536,0.40375626,0.0,0.0,0.0,0.0,0.0,0.14155194,6.510177,0.0,0.0,6.5393176,0.0,0.50525844,0.0,0.0,2014-03-25,16,0.2,True,100,5,32,True
6.08459,0.43343452,0.0,0.0,0.0,0.0,0.0,0.13826242,6.5124583,0.0,0.0,6.537508,0.0,0.49429998,0.0,0.0,2014-03-26,16,0.2,True,100,5,32,True
6.075511,0.43922892,0.0,0.0,0.0,0.0,0.0,0.13936913,6.5050387,0.0,0.0,6.5177574,0.0,0.5022747,0.0,0.0,2014-03-27,16,0.2,True,100,5,32,True
6.0571613,0.45682755,0.0,0.0,0.0,0.0,0.0,0.1338902,6.498839,0.0,0.0,6.5029964,0.0,0.50288695,0.0,0.0,2014-03-28,16,0.2,True,100,5,32,True
6.0293145,0.48404732,0.0,0.0,0.0,0.0,0.0,0.13257107,6.490711,0.0,0.0,6.4865227,0.0,0.49663955,0.0,0.0,2014-03-31,16,0.2,True,100,5,32,True
6.015512,0.4893922,0.0,0.0,0.0,0.0,0.0,0.13318214,6.477836,0.0,0.0,6.4643397,0.0,0.5045198,0.0,0.0,2014-04-01,16,0.2,True,100,5,32,True
5.992337,0.5178953,0.0,0.0,0.0,0.0,0.0,0.124053374,6.4801316,0.0,0.0,6.469947,0.0,0.49519297,0.0,0.0,2014-04-02,16,0.2,True,100,5,32,True
5.981313,0.53018534,0.0,0.0,0.0,0.0,0.0,0.117297605,6.4795055,0.0,0.0,6.4726844,0.0,0.4974505,0.0,0.0,2014-04-03,16,0.2,True,100,5,32,True
5.97755,0.5375241,0.0,0.0,0.0,0.0,0.0,0.10643838,6.476422,0.0,0.0,6.478123,0.0,0.5057151,0.0,0.0,2014-04-04,16,0.2,True,100,5,32,True
5.9544435,0.5595677,0.0,0.0,0.0,0.0,0.0,0.10103238,6.470256,0.0,0.0,6.4863605,0.0,0.49757573,0.0,0.0,2014-04-07,16,0.2,True,100,5,32,True
5.955122,0.5445567,0.0,0.0,0.0,0.0,0.0,0.10064584,6.452371,0.0,0.0,6.4796057,0.0,0.510293,0.0,0.0,2014-04-08,16,0.2,True,100,5,32,True
5.9680037,0.51879996,0.0,0.0,0.0,0.0,0.0,0.09955866,6.4392924,0.0,0.0,6.4790945,0.0,0.5265681,0.0,0.0,2014-04-09,16,0.2,True,100,5,32,True
5.9750757,0.5042635,0.0,0.0,0.0,0.0,0.0,0.094597414,6.4287124,0.0,0.0,6.4770865,0.0,0.5415445,0.0,0.0,2014-04-10,16,0.2,True,100,5,32,True
5.9891105,0.4832342,0.0,0.0,0.0,0.0,0.0,0.09461632,6.42134,0.0,0.0,6.470524,0.0,0.5592234,0.0,0.0,2014-04-11,16,0.2,True,100,5,32,True
5.992745,0.479048,0.0,0.0,0.0,0.0,0.0,0.09053146,6.4186997,0.0,0.0,6.472068,0.0,0.56281865,0.0,0.0,2014-04-14,16,0.2,True,100,5,32,True
6.0158863,0.45450845,0.0,0.0,0.0,0.0,0.0,0.091067456,6.4198146,0.0,0.0,6.466801,0.0,0.57978386,0.0,0.0,2014-04-15,16,0.2,True,100,5,32,True
6.0349407,0.44090697,0.0,0.0,0.0,0.0,0.0,0.08840439,6.426786,0.0,0.0,6.464266,0.0,0.5899221,0.0,0.0,2014-04-16,16,0.2,True,100,5,32,True
