epoch,loss,val_loss
0,0.0466354563832283,0.08739534020423889
1,0.017159808427095413,0.07199161499738693
2,0.01008750032633543,0.05511527135968208
3,0.008054097183048725,0.04873521625995636
4,0.006756477057933807,0.04050328582525253
5,0.00635504862293601,0.03598529100418091
6,0.00556840980425477,0.029833627864718437
7,0.0055044605396687984,0.024276213720440865
8,0.005142565350979567,0.023651249706745148
9,0.004622368607670069,0.02192075178027153
10,0.004487758036702871,0.019357098266482353
11,0.004516711924225092,0.023328052833676338
12,0.004037821665406227,0.019876234233379364
13,0.003926243633031845,0.020374184474349022
