epoch,loss,val_loss
0,0.02701164223253727,0.04015723988413811
1,0.011173062026500702,0.028808554634451866
2,0.009035983122885227,0.025949178263545036
3,0.00793438870459795,0.02440710924565792
4,0.007325148209929466,0.01926349475979805
5,0.006781573873013258,0.020750919356942177
6,0.006276546511799097,0.017270168289542198
7,0.006088171619921923,0.018740516155958176
8,0.00605745567008853,0.06574397534132004
9,0.007354568690061569,0.0186232328414917
10,0.006048098206520081,0.017339332029223442
11,0.005811445415019989,0.017446745187044144
