epoch,loss,val_loss
0,0.027338320389389992,0.04854428768157959
1,0.011010928079485893,0.029681429266929626
2,0.00897509977221489,0.0208381749689579
3,0.007935336790978909,0.019467558711767197
4,0.008240084163844585,0.15279504656791687
5,0.008229224011301994,0.019908633083105087
6,0.007094930857419968,0.01864948496222496
7,0.006862984038889408,0.019392337650060654
8,0.006545753218233585,0.025308141484856606
9,0.006274730898439884,0.020681139081716537
10,0.00676853209733963,0.020500045269727707
11,0.0059679592959582806,0.0192092377692461
