,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.059,0.046,0.051,0.032,0.0
의무보유확약비율,0.082,0.057,0.085,0.086,0.0
(확정)공모가격,0.043,0.042,0.044,0.081,0.0
청약경쟁률,0.115,0.103,0.086,0.147,0.0
공모후 발행주식수,0.023,0.032,0.031,0.032,0.0
최대주주 소유주 비율,0.032,0.027,0.042,0.039,0.0
최대주주 보호예수 기간,0.012,0.032,0.007,0.018,0.0
보호예수 비율,0.044,0.033,0.059,0.022,0.0
총부채,0.028,0.029,0.017,0.02,0.0
자본금,0.029,0.022,0.038,0.027,0.0
영업이익,0.032,0.037,0.025,0.041,-0.001
매출액,0.023,0.015,0.021,0.012,0.001
부채비율,0.027,0.021,0.036,0.006,0.0
유동비율,0.026,0.026,0.033,0.038,0.0
영업이익률,0.023,0.026,0.018,0.011,0.0
당기순이익률,0.02,0.02,0.026,0.011,0.0
ROE,0.028,0.028,0.04,0.033,0.0
EPS,0.026,0.027,0.019,0.022,0.0
EV/영업이익,0.03,0.026,0.043,0.032,0.0
기업경기실사지수(BSI),0.018,0.029,0.007,0.012,0.0
소비심리지수(CSI),0.022,0.022,0.026,0.033,0.0
수출입 물량지수,0.021,0.034,0.031,0.025,0.0
외환보유액,0.029,0.032,0.028,0.022,0.0
원달러 환율,0.026,0.032,0.026,0.033,0.0
통화량 (M2),0.032,0.042,0.008,0.015,0.0
기준금리,0.01,0.031,0.006,0.002,0.0
국고채 금리 스프레드,0.027,0.031,0.02,0.025,0.0
KOSPI_1001,0.037,0.037,0.043,0.03,0.0
산업코스피,0.027,0.021,0.03,0.018,0.0
대표매매감정점수,0.047,0.039,0.051,0.077,0.0
