,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.063,0.032,0.053,0.044,0.0
의무보유확약비율,0.086,0.059,0.096,0.121,0.0
(확정)공모가격,0.052,0.063,0.05,0.077,0.0
청약경쟁률,0.099,0.11,0.097,0.226,0.0
공모후 발행주식수,0.034,0.022,0.034,0.017,0.0
최대주주 소유주 비율,0.032,0.034,0.048,0.04,0.0
최대주주 보호예수 기간,0.018,0.032,0.01,0.012,0.0
보호예수 비율,0.056,0.032,0.067,0.053,0.0
총부채,0.034,0.037,0.028,0.012,0.0
자본금,0.032,0.038,0.038,0.028,0.0
영업이익,0.029,0.045,0.026,0.034,-0.001
매출액,0.032,0.029,0.022,0.018,0.001
부채비율,0.027,0.018,0.037,0.024,0.0
유동비율,0.028,0.033,0.036,0.022,0.0
영업이익률,0.027,0.038,0.022,0.018,0.0
당기순이익률,0.026,0.024,0.029,0.022,0.0
ROE,0.034,0.038,0.046,0.033,0.0
EPS,0.034,0.031,0.021,0.022,0.0
EV/영업이익,0.037,0.03,0.037,0.037,0.0
기업경기실사지수(BSI),0.019,0.015,0.014,0.005,0.0
소비심리지수(CSI),0.026,0.027,0.038,0.022,0.0
수출입 물량지수,0.026,0.032,0.034,0.022,0.0
외환보유액,0.038,0.028,0.033,0.028,0.0
원달러 환율,0.032,0.04,0.026,0.02,0.0
통화량 (M2),0.034,0.041,0.011,0.014,0.0
기준금리,0.013,0.028,0.011,0.007,0.0
국고채 금리 스프레드,0.034,0.043,0.034,0.023,0.0
