,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.051,0.048,0.045,0.038,0.0
의무보유확약비율,0.089,0.06,0.082,0.101,0.0
(확정)공모가격,0.044,0.047,0.046,0.084,0.0
청약경쟁률,0.111,0.086,0.07,0.158,0.0
공모후 발행주식수,0.023,0.024,0.034,0.018,0.0
최대주주 소유주 비율,0.034,0.027,0.046,0.038,0.0
최대주주 보호예수 기간,0.014,0.031,0.013,0.018,0.0
보호예수 비율,0.049,0.033,0.057,0.037,0.0
총부채,0.027,0.033,0.028,0.013,0.0
자본금,0.034,0.024,0.043,0.042,0.0
영업이익,0.03,0.037,0.025,0.038,-0.001
매출액,0.026,0.032,0.024,0.024,0.001
부채비율,0.027,0.02,0.034,0.016,0.0
유동비율,0.028,0.035,0.036,0.049,0.0
영업이익률,0.027,0.031,0.022,0.014,0.0
당기순이익률,0.027,0.027,0.028,0.014,0.0
ROE,0.032,0.033,0.038,0.027,0.0
EPS,0.031,0.032,0.033,0.016,0.0
EV/영업이익,0.029,0.031,0.047,0.034,0.0
기업경기실사지수(BSI),0.019,0.023,0.008,0.011,0.0
소비심리지수(CSI),0.025,0.028,0.036,0.021,0.0
수출입 물량지수,0.027,0.034,0.03,0.024,0.0
외환보유액,0.028,0.024,0.025,0.02,0.0
원달러 환율,0.028,0.03,0.024,0.031,0.0
통화량 (M2),0.036,0.037,0.011,0.006,0.0
기준금리,0.013,0.022,0.007,0.005,0.0
국고채 금리 스프레드,0.03,0.044,0.024,0.032,0.0
KOSPI_1001,0.031,0.042,0.045,0.037,0.0
산업코스피,0.029,0.024,0.04,0.036,0.0
