,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.046,0.038,0.035,0.04,0.0
의무보유확약비율,0.069,0.045,0.07,0.067,0.0
(확정)공모가격,0.034,0.033,0.034,0.057,0.0
청약경쟁률,0.083,0.08,0.056,0.152,0.0
공모후 발행주식수,0.018,0.021,0.026,0.029,0.0
최대주주 소유주 비율,0.022,0.02,0.045,0.019,0.0
최대주주 보호예수 기간,0.009,0.027,0.005,0.013,0.0
보호예수 비율,0.036,0.025,0.044,0.02,0.0
총부채,0.021,0.021,0.015,0.01,0.0
자본금,0.024,0.021,0.027,0.023,0.0
영업이익,0.026,0.026,0.017,0.027,-0.002
부채비율,0.017,0.016,0.029,0.027,0.0
유동비율,0.021,0.019,0.023,0.016,0.0
당기순이익률,0.017,0.018,0.023,0.019,0.0
ROE,0.019,0.025,0.023,0.039,0.0
EPS,0.021,0.022,0.011,0.018,0.0
EV/영업이익,0.022,0.02,0.026,0.013,0.0
부채비율 변화율,0.019,0.022,0.03,0.035,0.0
유동비율 변화율,0.023,0.021,0.026,0.02,0.0
영업이익률 변화율,0.02,0.018,0.022,0.013,0.0
당기순이익률 변화율,0.02,0.024,0.012,0.021,0.0
매출액 변화율,0.019,0.018,0.012,0.014,0.0
ROE 변화율,0.019,0.016,0.025,0.01,0.0
EPS 변화율,0.025,0.023,0.023,0.021,0.0
EV/영업이익 변화율,0.02,0.024,0.027,0.02,0.0
DLR,0.014,0.02,0.014,0.012,0.0
PPI (%),0.04,0.035,0.022,0.025,0.0
기업경기실사지수(BSI),0.016,0.02,0.011,0.006,0.0
소비심리지수(CSI),0.015,0.02,0.025,0.006,0.0
외환보유액,0.022,0.027,0.019,0.007,0.0
원달러 환율,0.021,0.025,0.021,0.029,0.0
통화량 (M2),0.025,0.025,0.006,0.011,0.0
기준금리,0.008,0.022,0.005,0.007,0.0
국고채 금리 스프레드,0.022,0.026,0.016,0.02,0.0
무역수지,0.017,0.023,0.018,0.011,0.0
KOSPI_1001,0.026,0.026,0.033,0.017,0.0
산업코스피,0.023,0.019,0.022,0.015,0.0
대표매매감정점수,0.035,0.029,0.047,0.051,0.0
호황,0.023,0.02,0.019,0.027,0.0
불황,0.023,0.02,0.038,0.016,0.0
