,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.069,0.064,0.062,0.044,0.0
의무보유확약비율,0.099,0.058,0.12,0.103,0.0
(확정)공모가격,0.059,0.049,0.062,0.086,0.0
청약경쟁률,0.115,0.115,0.109,0.166,0.0
공모후 발행주식수,0.038,0.033,0.036,0.027,0.015
최대주주 소유주 비율,0.046,0.038,0.061,0.049,0.0
최대주주 보호예수 기간,0.023,0.041,0.012,0.023,0.0
보호예수 비율,0.058,0.042,0.075,0.053,0.0
총부채,0.042,0.038,0.032,0.029,0.0
자본금,0.043,0.04,0.037,0.048,0.005
영업이익,0.047,0.042,0.041,0.066,0.032
매출액,0.042,0.034,0.027,0.028,0.032
기업경기실사지수(BSI),0.03,0.035,0.032,0.033,0.0
생산자물가 상승률 (PPI),0.03,0.042,0.041,0.018,0.0
소비심리지수(CSI),0.03,0.04,0.041,0.021,0.0
소비자물가 상승률 (CPI),0.034,0.04,0.032,0.034,0.0
수출입 물량지수,0.03,0.037,0.035,0.051,0.0
외환보유액,0.036,0.044,0.035,0.034,0.0
원달러 환율,0.038,0.045,0.034,0.039,0.0
통화량 (M2),0.036,0.041,0.028,0.012,0.0
기준금리,0.016,0.045,0.006,0.007,0.0
국고채 금리 스프레드,0.038,0.035,0.044,0.029,0.0
