,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.086,0.047,0.064,0.051,0.0
의무보유확약비율,0.105,0.077,0.112,0.128,0.0
(확정)공모가격,0.061,0.071,0.065,0.089,0.0
청약경쟁률,0.129,0.118,0.115,0.238,0.0
공모후 발행주식수,0.036,0.04,0.05,0.024,0.0
최대주주 소유주 비율,0.049,0.043,0.069,0.05,0.0
최대주주 보호예수 기간,0.021,0.038,0.013,0.008,0.0
보호예수 비율,0.066,0.047,0.078,0.085,0.0
총부채,0.044,0.051,0.04,0.024,0.0
자본금,0.043,0.04,0.055,0.04,0.0
영업이익,0.051,0.046,0.045,0.057,0.001
매출액,0.038,0.039,0.035,0.026,0.001
기업경기실사지수(BSI),0.026,0.035,0.026,0.004,0.0
소비심리지수(CSI),0.031,0.034,0.044,0.033,0.0
수출입 물량지수,0.036,0.049,0.053,0.022,0.0
외환보유액,0.04,0.043,0.035,0.025,0.0
원달러 환율,0.042,0.056,0.031,0.027,0.0
통화량 (M2),0.042,0.038,0.019,0.023,0.0
기준금리,0.016,0.048,0.015,0.014,0.0
국고채 금리 스프레드,0.04,0.041,0.036,0.032,0.0
