,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.04,0.037,0.034,0.031,0.0
의무보유확약비율,0.071,0.051,0.089,0.086,0.0
(확정)공모가격,0.038,0.043,0.043,0.078,0.0
청약경쟁률,0.09,0.097,0.098,0.141,0.0
공모후 발행주식수,0.023,0.023,0.024,0.014,0.0
최대주주 소유주 비율,0.026,0.022,0.045,0.03,0.0
최대주주 보호예수 기간,0.01,0.023,0.006,0.012,0.0
보호예수 비율,0.039,0.027,0.055,0.02,0.0
총부채,0.028,0.019,0.017,0.015,0.0
자본금,0.026,0.025,0.029,0.035,0.0
영업이익,0.032,0.029,0.019,0.028,-0.002
부채비율,0.019,0.021,0.023,0.021,0.0
유동비율,0.024,0.019,0.025,0.029,0.0
당기순이익률,0.024,0.021,0.022,0.014,0.0
ROE,0.016,0.025,0.029,0.02,0.0
EPS,0.025,0.024,0.02,0.019,0.0
EV/영업이익,0.027,0.02,0.02,0.027,0.0
부채비율 변화율,0.023,0.028,0.029,0.047,0.0
유동비율 변화율,0.026,0.029,0.03,0.042,0.0
영업이익률 변화율,0.024,0.021,0.024,0.018,0.0
당기순이익률 변화율,0.026,0.024,0.02,0.018,0.0
매출액 변화율,0.025,0.024,0.014,0.023,0.0
ROE 변화율,0.024,0.021,0.018,0.014,0.0
EPS 변화율,0.029,0.029,0.027,0.03,0.0
EV/영업이익 변화율,0.025,0.029,0.026,0.028,0.0
DLR,0.018,0.023,0.016,0.012,0.0
PPI (%),0.041,0.034,0.028,0.019,0.0
기업경기실사지수(BSI),0.017,0.018,0.014,0.016,0.0
소비심리지수(CSI),0.024,0.021,0.026,0.015,0.0
외환보유액,0.025,0.029,0.031,0.029,0.0
원달러 환율,0.025,0.034,0.023,0.011,0.0
통화량 (M2),0.027,0.028,0.011,0.008,0.0
기준금리,0.012,0.027,0.009,0.006,0.0
국고채 금리 스프레드,0.026,0.026,0.025,0.027,0.0
무역수지,0.022,0.028,0.029,0.019,0.0
