,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.079,0.056,0.069,0.065,0.0
의무보유확약비율,0.102,0.085,0.096,0.1,0.0
(확정)공모가격,0.068,0.083,0.058,0.083,0.0
청약경쟁률,0.134,0.142,0.104,0.177,0.0
공모후 발행주식수,0.048,0.04,0.053,0.035,-0.008
최대주주 소유주 비율,0.056,0.039,0.069,0.047,0.0
최대주주 보호예수 기간,0.022,0.049,0.014,0.013,0.0
부채비율 변화율,0.046,0.057,0.059,0.058,0.0
유동비율 변화율,0.053,0.056,0.07,0.073,0.0
영업이익률 변화율,0.044,0.043,0.052,0.04,0.0
당기순이익률 변화율,0.047,0.047,0.041,0.033,0.0
매출액 변화율,0.051,0.053,0.051,0.049,0.005
ROE 변화율,0.046,0.049,0.055,0.037,0.0
EPS 변화율,0.058,0.052,0.062,0.069,0.0
EV/영업이익 변화율,0.054,0.057,0.077,0.048,0.0
DLR,0.037,0.042,0.031,0.033,0.0
PPI (%),0.057,0.049,0.038,0.041,0.0
