,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.044,0.033,0.036,0.03,0.0
의무보유확약비율,0.066,0.047,0.072,0.107,0.0
(확정)공모가격,0.035,0.04,0.036,0.069,0.0
청약경쟁률,0.09,0.085,0.082,0.189,0.0
공모후 발행주식수,0.02,0.023,0.026,0.015,0.003
최대주주 소유주 비율,0.024,0.021,0.036,0.018,0.0
최대주주 보호예수 기간,0.011,0.024,0.006,0.009,0.0
보호예수 비율,0.038,0.024,0.051,0.03,0.0
총부채,0.024,0.022,0.015,0.011,0.0
자본금,0.025,0.026,0.027,0.013,0.0
영업이익,0.027,0.031,0.018,0.028,-0.001
부채비율,0.02,0.019,0.027,0.019,0.0
유동비율,0.02,0.022,0.025,0.016,0.0
당기순이익률,0.019,0.02,0.025,0.01,0.0
ROE,0.022,0.023,0.027,0.03,0.0
EPS,0.021,0.021,0.013,0.011,0.0
EV/영업이익,0.023,0.021,0.025,0.019,0.0
부채비율 변화율,0.016,0.026,0.024,0.029,0.0
유동비율 변화율,0.023,0.023,0.027,0.031,0.0
영업이익률 변화율,0.021,0.018,0.023,0.01,0.0
당기순이익률 변화율,0.02,0.016,0.016,0.006,0.0
매출액 변화율,0.021,0.024,0.015,0.011,0.002
ROE 변화율,0.02,0.016,0.023,0.011,0.0
EPS 변화율,0.027,0.031,0.025,0.032,0.0
EV/영업이익 변화율,0.023,0.026,0.029,0.012,0.0
DLR,0.017,0.021,0.011,0.008,0.0
PPI (%),0.039,0.026,0.023,0.03,0.0
기업경기실사지수(BSI),0.017,0.018,0.009,0.006,0.0
소비심리지수(CSI),0.018,0.018,0.021,0.008,0.0
외환보유액,0.022,0.024,0.022,0.01,0.0
원달러 환율,0.021,0.028,0.023,0.022,0.0
통화량 (M2),0.022,0.023,0.007,0.007,0.0
기준금리,0.011,0.028,0.005,0.005,0.0
국고채 금리 스프레드,0.023,0.024,0.017,0.017,0.0
무역수지,0.02,0.023,0.024,0.015,0.0
KOSPI_1001,0.028,0.027,0.039,0.029,0.0
산업코스피,0.022,0.024,0.027,0.019,0.0
대표매매감정점수,0.04,0.031,0.043,0.056,0.0
