,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.058,0.04,0.046,0.039,0.0
의무보유확약비율,0.079,0.055,0.078,0.1,0.0
(확정)공모가격,0.04,0.047,0.037,0.072,0.0
청약경쟁률,0.115,0.101,0.092,0.17,0.0
공모후 발행주식수,0.023,0.025,0.027,0.02,0.0
최대주주 소유주 비율,0.03,0.024,0.037,0.029,0.0
최대주주 보호예수 기간,0.013,0.026,0.007,0.009,0.0
보호예수 비율,0.044,0.031,0.056,0.038,0.0
총부채,0.026,0.024,0.021,0.016,0.0
자본금,0.029,0.025,0.03,0.022,0.0
영업이익,0.03,0.03,0.02,0.034,-0.002
매출액,0.023,0.026,0.019,0.017,-0.001
부채비율,0.02,0.021,0.032,0.014,0.0
유동비율,0.024,0.024,0.029,0.026,0.0
영업이익률,0.019,0.022,0.016,0.018,0.0
당기순이익률,0.022,0.026,0.024,0.011,0.0
ROE,0.026,0.027,0.035,0.033,0.0
EPS,0.026,0.026,0.019,0.01,0.0
EV/영업이익,0.028,0.023,0.035,0.023,0.0
기업경기실사지수(BSI),0.016,0.021,0.01,0.007,0.0
소비심리지수(CSI),0.018,0.026,0.021,0.016,0.0
수출입 물량지수,0.022,0.033,0.031,0.023,0.0
외환보유액,0.026,0.032,0.022,0.01,0.0
원달러 환율,0.024,0.034,0.023,0.029,0.0
통화량 (M2),0.029,0.03,0.008,0.007,0.0
기준금리,0.011,0.036,0.006,0.005,0.0
국고채 금리 스프레드,0.027,0.027,0.021,0.027,0.0
KOSPI_1001,0.031,0.03,0.042,0.03,0.0
산업코스피,0.023,0.026,0.033,0.02,0.0
대표매매감정점수,0.044,0.035,0.047,0.071,0.0
호황,0.027,0.025,0.03,0.028,0.0
불황,0.026,0.024,0.047,0.028,0.0
