,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.082,0.064,0.063,0.059,0.0
의무보유확약비율,0.104,0.067,0.092,0.122,0.0
(확정)공모가격,0.065,0.092,0.056,0.1,0.0
청약경쟁률,0.129,0.133,0.081,0.163,0.0
공모후 발행주식수,0.039,0.038,0.06,0.024,0.015
최대주주 소유주 비율,0.047,0.037,0.069,0.034,0.0
최대주주 보호예수 기간,0.022,0.043,0.016,0.026,0.0
보호예수 비율,0.068,0.045,0.076,0.055,0.0
총부채,0.04,0.045,0.037,0.024,0.0
자본금,0.042,0.045,0.051,0.04,0.005
영업이익,0.046,0.061,0.036,0.062,0.032
매출액,0.039,0.035,0.041,0.046,0.032
부채비율,0.037,0.034,0.055,0.02,0.0
유동비율,0.04,0.054,0.048,0.063,0.0
영업이익률,0.037,0.047,0.032,0.028,0.0
당기순이익률,0.033,0.038,0.039,0.022,0.0
ROE,0.039,0.042,0.059,0.036,0.0
EPS,0.042,0.034,0.035,0.027,0.0
EV/영업이익,0.048,0.045,0.054,0.049,0.0
