,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.082,0.087,0.078,0.09,0.015
의무보유확약비율,0.121,0.099,0.126,0.152,0.0
(확정)공모가격,0.075,0.081,0.067,0.107,0.032
청약경쟁률,0.137,0.125,0.131,0.164,0.048
공모후 발행주식수,0.05,0.05,0.066,0.057,-0.007
최대주주 소유주 비율,0.059,0.057,0.066,0.05,0.0
최대주주 보호예수 기간,0.027,0.061,0.015,0.024,0.0
보호예수 비율,0.075,0.065,0.099,0.067,0.0
부채비율,0.051,0.052,0.056,0.025,0.0
유동비율,0.056,0.05,0.059,0.051,0.0
영업이익률,0.05,0.052,0.036,0.027,0.0
당기순이익률,0.049,0.056,0.032,0.047,0.0
ROE,0.055,0.055,0.063,0.052,0.0
EPS,0.054,0.058,0.047,0.034,-0.008
EV/영업이익,0.058,0.054,0.059,0.052,0.002
