,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.061,0.051,0.071,0.035,0.0
의무보유확약비율,0.098,0.079,0.078,0.129,0.0
(확정)공모가격,0.046,0.055,0.05,0.092,0.0
청약경쟁률,0.129,0.138,0.071,0.198,0.0
공모후 발행주식수,0.027,0.025,0.025,0.011,0.0
최대주주 소유주 비율,0.027,0.022,0.047,0.032,0.0
최대주주 보호예수 기간,0.012,0.022,0.007,0.002,0.0
보호예수 비율,0.038,0.028,0.053,0.004,0.0
총부채,0.031,0.025,0.021,0.004,0.0
자본금,0.027,0.022,0.023,0.026,0.0
영업이익,0.038,0.027,0.022,0.06,0.001
매출액,0.022,0.025,0.029,0.002,0.0
부채비율,0.019,0.023,0.036,0.004,0.0
유동비율,0.029,0.022,0.028,0.029,0.0
영업이익률,0.022,0.02,0.015,0.006,0.0
당기순이익률,0.022,0.021,0.025,0.003,0.0
ROE,0.029,0.027,0.049,0.025,0.0
EPS,0.032,0.027,0.019,0.018,0.0
EV/영업이익,0.018,0.027,0.043,0.011,0.0
기업경기실사지수(BSI),0.016,0.026,0.011,0.013,0.0
소비심리지수(CSI),0.023,0.025,0.032,0.042,0.0
수출입 물량지수,0.023,0.033,0.035,0.024,0.0
외환보유액,0.023,0.028,0.027,0.02,0.0
원달러 환율,0.028,0.03,0.029,0.04,0.0
통화량 (M2),0.028,0.029,0.01,0.018,0.0
기준금리,0.011,0.031,0.011,0.003,0.0
국고채 금리 스프레드,0.024,0.026,0.015,0.031,0.0
KOSPI_1001,0.025,0.025,0.026,0.026,0.0
산업코스피,0.024,0.022,0.029,0.001,0.0
대표매매감정점수,0.048,0.037,0.063,0.092,0.0
