,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.088,0.071,0.087,0.061,0.0
의무보유확약비율,0.121,0.09,0.116,0.132,0.0
(확정)공모가격,0.067,0.088,0.071,0.109,0.0
청약경쟁률,0.15,0.167,0.115,0.226,0.0
공모후 발행주식수,0.037,0.041,0.05,0.027,0.007
최대주주 소유주 비율,0.041,0.032,0.044,0.036,0.0
최대주주 보호예수 기간,0.02,0.044,0.014,0.015,0.0
보호예수 비율,0.055,0.044,0.072,0.022,0.0
총부채,0.038,0.029,0.026,0.009,0.0
자본금,0.04,0.046,0.041,0.047,0.006
영업이익,0.045,0.039,0.027,0.084,0.021
매출액,0.041,0.039,0.036,0.058,-0.006
부채비율,0.033,0.031,0.04,0.006,0.0
유동비율,0.036,0.045,0.046,0.057,0.0
영업이익률,0.036,0.042,0.033,0.022,0.0
당기순이익률,0.033,0.035,0.03,0.017,0.0
ROE,0.041,0.039,0.076,0.026,0.0
EPS,0.041,0.044,0.025,0.025,0.0
EV/영업이익,0.037,0.033,0.049,0.021,0.0
