,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.06,0.046,0.05,0.011,0.0
의무보유확약비율,0.085,0.075,0.082,0.127,0.0
(확정)공모가격,0.048,0.046,0.058,0.075,0.0
청약경쟁률,0.111,0.119,0.08,0.193,0.0
공모후 발행주식수,0.019,0.021,0.019,0.011,0.008
최대주주 소유주 비율,0.025,0.021,0.028,0.008,0.0
최대주주 보호예수 기간,0.012,0.028,0.006,0.02,0.0
보호예수 비율,0.033,0.025,0.038,0.025,0.0
총부채,0.025,0.02,0.017,0.01,0.0
자본금,0.019,0.025,0.024,0.028,0.006
영업이익,0.03,0.023,0.02,0.039,0.019
부채비율,0.019,0.015,0.028,0.019,0.0
유동비율,0.023,0.019,0.022,0.012,0.0
당기순이익률,0.022,0.018,0.015,0.005,0.0
ROE,0.02,0.022,0.038,0.012,0.0
EPS,0.022,0.021,0.011,0.003,0.0
EV/영업이익,0.018,0.018,0.024,0.003,0.0
부채비율 변화율,0.023,0.022,0.028,0.055,0.0
유동비율 변화율,0.02,0.026,0.02,0.032,0.0
영업이익률 변화율,0.016,0.019,0.014,0.005,0.0
당기순이익률 변화율,0.018,0.021,0.019,0.003,0.0
매출액 변화율,0.021,0.018,0.013,0.022,-0.006
ROE 변화율,0.019,0.019,0.022,0.028,0.0
EPS 변화율,0.028,0.023,0.032,0.023,0.0
EV/영업이익 변화율,0.015,0.016,0.02,0.012,0.0
DLR,0.015,0.016,0.011,0.002,0.0
PPI (%),0.042,0.037,0.032,0.026,0.0
기업경기실사지수(BSI),0.02,0.021,0.018,0.031,0.0
생산자물가 상승률 (PPI),0.02,0.029,0.026,0.004,0.0
소비심리지수(CSI),0.017,0.019,0.028,0.003,0.0
소비자물가 상승률 (CPI),0.021,0.021,0.026,0.021,0.0
수출입 물량지수,0.02,0.022,0.021,0.039,0.0
외환보유액,0.016,0.02,0.026,0.02,0.0
원달러 환율,0.027,0.027,0.028,0.044,0.0
통화량 (M2),0.021,0.026,0.032,0.007,0.0
기준금리,0.01,0.016,0.006,0.002,0.0
국고채 금리 스프레드,0.02,0.02,0.019,0.018,0.0
