,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.078,0.055,0.075,0.059,0.0
의무보유확약비율,0.108,0.064,0.118,0.13,0.0
(확정)공모가격,0.053,0.057,0.07,0.102,0.0
청약경쟁률,0.131,0.119,0.093,0.2,0.0
공모후 발행주식수,0.026,0.036,0.016,0.015,0.0
최대주주 소유주 비율,0.029,0.029,0.039,0.059,0.0
최대주주 보호예수 기간,0.013,0.024,0.007,0.0,0.0
보호예수 비율,0.042,0.032,0.039,0.005,0.0
총부채,0.027,0.031,0.011,0.003,0.0
자본금,0.032,0.028,0.032,0.017,0.0
영업이익,0.035,0.029,0.032,0.056,0.001
매출액,0.03,0.033,0.027,0.015,0.0
부채비율,0.025,0.019,0.032,0.031,0.0
유동비율,0.028,0.021,0.018,0.031,0.0
영업이익률,0.025,0.025,0.014,0.006,0.0
당기순이익률,0.027,0.025,0.025,0.018,0.0
ROE,0.031,0.028,0.045,0.021,0.0
EPS,0.034,0.038,0.018,0.027,0.0
EV/영업이익,0.027,0.03,0.05,0.029,0.0
기업경기실사지수(BSI),0.018,0.034,0.007,0.012,0.0
소비심리지수(CSI),0.027,0.025,0.048,0.018,0.0
수출입 물량지수,0.023,0.036,0.05,0.028,0.0
외환보유액,0.032,0.042,0.052,0.021,0.0
원달러 환율,0.028,0.036,0.032,0.01,0.0
통화량 (M2),0.037,0.04,0.014,0.025,0.0
기준금리,0.012,0.028,0.007,0.012,0.0
국고채 금리 스프레드,0.023,0.032,0.032,0.049,0.0
