,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.054,0.029,0.041,0.033,0.0
의무보유확약비율,0.089,0.063,0.079,0.104,0.0
(확정)공모가격,0.046,0.057,0.053,0.117,0.0
청약경쟁률,0.122,0.14,0.069,0.204,0.0
공모후 발행주식수,0.021,0.02,0.031,0.021,0.008
최대주주 소유주 비율,0.023,0.019,0.036,0.036,0.0
최대주주 보호예수 기간,0.011,0.009,0.009,0.009,0.0
보호예수 비율,0.032,0.018,0.043,0.028,0.0
총부채,0.024,0.018,0.012,0.014,0.0
자본금,0.024,0.02,0.026,0.017,0.006
영업이익,0.027,0.026,0.023,0.029,0.019
부채비율,0.017,0.013,0.026,0.01,0.0
유동비율,0.02,0.026,0.017,0.023,0.0
당기순이익률,0.02,0.023,0.018,0.005,0.0
ROE,0.018,0.027,0.029,0.024,0.0
EPS,0.025,0.022,0.022,0.011,0.0
EV/영업이익,0.018,0.023,0.026,0.005,0.0
부채비율 변화율,0.019,0.032,0.038,0.014,0.0
유동비율 변화율,0.019,0.027,0.036,0.013,0.0
영업이익률 변화율,0.019,0.028,0.019,0.01,0.0
당기순이익률 변화율,0.016,0.026,0.01,0.006,0.0
매출액 변화율,0.018,0.017,0.019,0.004,-0.006
ROE 변화율,0.021,0.017,0.032,0.03,0.0
EPS 변화율,0.032,0.025,0.027,0.036,0.0
EV/영업이익 변화율,0.017,0.012,0.024,0.009,0.0
DLR,0.015,0.03,0.013,0.02,0.0
PPI (%),0.05,0.033,0.031,0.011,0.0
기업경기실사지수(BSI),0.014,0.018,0.012,0.012,0.0
생산자물가 상승률 (PPI),0.023,0.022,0.021,0.02,0.0
소비심리지수(CSI),0.019,0.014,0.018,0.022,0.0
소비자물가 상승률 (CPI),0.019,0.011,0.015,0.005,0.0
수출입 물량지수,0.019,0.042,0.03,0.037,0.0
외환보유액,0.016,0.019,0.023,0.011,0.0
원달러 환율,0.02,0.019,0.019,0.004,0.0
통화량 (M2),0.017,0.023,0.023,0.014,0.0
기준금리,0.01,0.0,0.002,0.0,0.0
국고채 금리 스프레드,0.024,0.03,0.026,0.033,0.0
