,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.065,0.044,0.06,0.036,0.0
의무보유확약비율,0.109,0.083,0.089,0.119,0.0
(확정)공모가격,0.06,0.068,0.063,0.1,0.0
청약경쟁률,0.123,0.153,0.114,0.242,0.0
공모후 발행주식수,0.023,0.025,0.039,0.017,0.008
최대주주 소유주 비율,0.025,0.026,0.036,0.012,0.0
최대주주 보호예수 기간,0.017,0.03,0.007,0.002,0.0
보호예수 비율,0.045,0.025,0.049,0.058,0.0
총부채,0.027,0.041,0.016,0.02,0.0
자본금,0.028,0.038,0.024,0.031,0.006
영업이익,0.036,0.027,0.023,0.029,0.019
부채비율,0.023,0.024,0.035,0.02,0.0
유동비율,0.027,0.031,0.035,0.022,0.0
당기순이익률,0.025,0.024,0.027,0.014,0.0
ROE,0.022,0.032,0.052,0.036,0.0
EPS,0.031,0.027,0.025,0.009,0.0
EV/영업이익,0.023,0.026,0.03,0.012,0.0
부채비율 변화율,0.028,0.035,0.022,0.027,0.0
유동비율 변화율,0.029,0.034,0.034,0.022,0.0
영업이익률 변화율,0.021,0.027,0.028,0.008,0.0
당기순이익률 변화율,0.027,0.023,0.023,0.018,0.0
매출액 변화율,0.03,0.029,0.021,0.008,-0.006
ROE 변화율,0.029,0.025,0.033,0.024,0.0
EPS 변화율,0.038,0.021,0.044,0.031,0.0
EV/영업이익 변화율,0.021,0.021,0.022,0.01,0.0
DLR,0.019,0.021,0.019,0.021,0.0
PPI (%),0.049,0.04,0.029,0.055,0.0
