,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.094,0.072,0.092,0.125,0.003
의무보유확약비율,0.14,0.096,0.124,0.167,0.054
(확정)공모가격,0.076,0.103,0.075,0.109,0.017
청약경쟁률,0.168,0.24,0.127,0.226,0.085
공모후 발행주식수,0.046,0.04,0.065,0.043,-0.003
최대주주 소유주 비율,0.055,0.042,0.053,0.068,-0.012
최대주주 보호예수 기간,0.025,0.042,0.018,0.0,-0.009
보호예수 비율,0.059,0.041,0.079,0.047,-0.006
부채비율,0.048,0.038,0.043,0.021,-0.015
유동비율,0.052,0.048,0.059,0.032,0.003
영업이익률,0.048,0.052,0.034,0.033,0.015
당기순이익률,0.039,0.036,0.036,0.026,0.005
ROE,0.05,0.048,0.085,0.059,-0.005
EPS,0.057,0.053,0.05,0.014,-0.006
EV/영업이익,0.044,0.048,0.061,0.032,-0.01
