,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.087,0.059,0.069,0.04,0.0
의무보유확약비율,0.117,0.095,0.097,0.149,0.0
(확정)공모가격,0.074,0.089,0.06,0.117,0.0
청약경쟁률,0.163,0.216,0.107,0.288,0.0
공모후 발행주식수,0.042,0.043,0.053,0.021,-0.003
최대주주 소유주 비율,0.044,0.039,0.062,0.041,0.0
최대주주 보호예수 기간,0.02,0.038,0.013,0.011,0.0
부채비율 변화율,0.039,0.05,0.058,0.021,0.0
유동비율 변화율,0.048,0.044,0.074,0.039,0.0
영업이익률 변화율,0.041,0.036,0.053,0.023,0.0
당기순이익률 변화율,0.042,0.043,0.043,0.025,0.0
매출액 변화율,0.052,0.038,0.055,0.037,0.003
ROE 변화율,0.039,0.041,0.053,0.032,0.0
EPS 변화율,0.06,0.045,0.069,0.04,0.0
EV/영업이익 변화율,0.035,0.026,0.063,0.035,0.0
DLR,0.031,0.039,0.031,0.017,0.0
PPI (%),0.066,0.058,0.04,0.063,0.0
