,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.051,0.025,0.041,0.014,0.0
의무보유확약비율,0.081,0.052,0.08,0.123,0.0
(확정)공모가격,0.041,0.052,0.049,0.084,0.0
청약경쟁률,0.105,0.113,0.103,0.23,0.0
공모후 발행주식수,0.02,0.021,0.024,0.013,0.003
최대주주 소유주 비율,0.02,0.015,0.029,0.011,0.0
최대주주 보호예수 기간,0.011,0.017,0.006,0.002,0.0
보호예수 비율,0.027,0.021,0.04,0.029,0.0
총부채,0.02,0.03,0.012,0.018,0.0
자본금,0.024,0.025,0.015,0.019,0.0
영업이익,0.029,0.02,0.02,0.029,0.001
부채비율,0.017,0.015,0.019,0.013,0.0
유동비율,0.018,0.026,0.023,0.019,0.0
당기순이익률,0.02,0.018,0.019,0.009,0.0
ROE,0.019,0.037,0.036,0.017,0.0
EPS,0.026,0.021,0.016,0.012,0.0
EV/영업이익,0.018,0.016,0.021,0.003,0.0
부채비율 변화율,0.021,0.027,0.023,0.033,0.0
유동비율 변화율,0.02,0.027,0.023,0.024,0.0
영업이익률 변화율,0.02,0.012,0.025,0.012,0.0
당기순이익률 변화율,0.018,0.017,0.012,0.006,0.0
매출액 변화율,0.018,0.011,0.014,0.003,0.0
ROE 변화율,0.02,0.017,0.028,0.002,0.0
EPS 변화율,0.031,0.027,0.027,0.023,0.0
EV/영업이익 변화율,0.017,0.009,0.022,0.008,0.0
DLR,0.016,0.019,0.008,0.007,0.0
PPI (%),0.05,0.052,0.03,0.042,0.0
기업경기실사지수(BSI),0.016,0.038,0.008,0.001,0.0
소비심리지수(CSI),0.017,0.017,0.03,0.024,0.0
외환보유액,0.021,0.024,0.022,0.01,0.0
원달러 환율,0.022,0.024,0.024,0.028,0.0
통화량 (M2),0.029,0.029,0.011,0.01,0.0
기준금리,0.009,0.023,0.008,0.014,0.0
국고채 금리 스프레드,0.016,0.017,0.014,0.017,0.0
무역수지,0.018,0.033,0.024,0.014,0.0
KOSPI_1001,0.017,0.014,0.025,0.013,0.0
산업코스피,0.018,0.019,0.024,0.007,0.0
대표매매감정점수,0.04,0.018,0.046,0.061,0.0
