,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.083,0.055,0.074,0.073,0.0
의무보유확약비율,0.116,0.076,0.1,0.147,0.0
(확정)공모가격,0.062,0.076,0.076,0.098,0.0
청약경쟁률,0.136,0.188,0.091,0.249,0.0
공모후 발행주식수,0.035,0.033,0.042,0.017,0.007
최대주주 소유주 비율,0.039,0.025,0.057,0.035,0.0
최대주주 보호예수 기간,0.024,0.053,0.009,0.005,0.0
보호예수 비율,0.05,0.034,0.063,0.056,0.0
총부채,0.04,0.017,0.04,0.019,0.0
자본금,0.039,0.028,0.037,0.034,0.006
영업이익,0.046,0.026,0.039,0.036,0.021
매출액,0.039,0.042,0.045,0.017,-0.006
기업경기실사지수(BSI),0.031,0.033,0.03,0.012,0.0
생산자물가 상승률 (PPI),0.032,0.039,0.039,0.019,0.0
소비심리지수(CSI),0.033,0.025,0.034,0.012,0.0
소비자물가 상승률 (CPI),0.029,0.027,0.039,0.038,0.0
수출입 물량지수,0.026,0.04,0.033,0.019,0.0
외환보유액,0.026,0.029,0.03,0.014,0.0
원달러 환율,0.032,0.057,0.032,0.039,0.0
통화량 (M2),0.033,0.038,0.037,0.021,0.0
기준금리,0.014,0.027,0.008,0.003,0.0
국고채 금리 스프레드,0.034,0.032,0.042,0.037,0.0
