,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.087,0.071,0.081,0.064,0.0
의무보유확약비율,0.108,0.086,0.11,0.139,0.0
(확정)공모가격,0.068,0.066,0.071,0.12,0.0
청약경쟁률,0.148,0.143,0.097,0.227,0.0
공모후 발행주식수,0.035,0.04,0.051,0.016,0.0
최대주주 소유주 비율,0.046,0.031,0.079,0.07,0.0
최대주주 보호예수 기간,0.02,0.039,0.015,0.011,0.0
보호예수 비율,0.053,0.051,0.066,0.023,0.0
총부채,0.042,0.03,0.036,0.028,0.0
자본금,0.045,0.032,0.045,0.041,0.0
영업이익,0.054,0.039,0.046,0.072,0.001
매출액,0.04,0.051,0.051,0.011,0.0
기업경기실사지수(BSI),0.027,0.033,0.016,0.015,0.0
소비심리지수(CSI),0.03,0.032,0.05,0.018,0.0
수출입 물량지수,0.033,0.04,0.049,0.039,0.0
외환보유액,0.034,0.046,0.04,0.023,0.0
원달러 환율,0.043,0.042,0.033,0.014,0.0
통화량 (M2),0.041,0.053,0.019,0.018,0.0
기준금리,0.016,0.036,0.016,0.006,0.0
국고채 금리 스프레드,0.032,0.04,0.029,0.042,0.0
