기업명,상장일,산업군
에이치브이엠,2024-06-28,철강
하이젠알앤엠,2024-06-27,기계제조
에스오에스랩,2024-06-25,항공제조
한중엔시에스,2024-06-24,자동차
파라다이스,2024-06-24,
씨어스테크놀로지,2024-06-19,의료/의약
라메디텍,2024-06-17,기계제조
그리드위즈,2024-06-14,에너지
노브랜드,2024-05-23,옷
아이씨티케이,2024-05-17,IT
HD현대마린솔루션,2024-05-08,건설
코칩,2024-05-07,전자/회로
민테크,2024-05-03,전자/회로
디앤디파마텍,2024-05-02,바이오
제일엠앤에스,2024-04-30,배터리
아이엠비디엑스,2024-04-03,바이오
엔젤로보틱스,2024-03-26,로봇
삼현,2024-03-21,부품제조
오상헬스케어,2024-03-13,의료/의약
케이엔알시스템,2024-03-07,로봇
에이피알,2024-02-27,화학
코셈,2024-02-23,기계제조
이에이트,2024-02-23,소프트웨어
케이웨더,2024-02-22,IT
스튜디오삼익,2024-02-06,가구/가전
이닉스,2024-02-01,화학
엘앤에프,2024-01-29,전자/회로
포스뱅크,2024-01-29,IT
현대힘스,2024-01-26,선박
HB인베스트먼트,2024-01-25,금융
우진엔텍,2024-01-24,전자/회로
포스코DX,2024-01-02,IT
DS단석,2023-12-22,화학
블루엠텍,2023-12-13,의료/의약
LS머트리얼즈,2023-12-12,전자/회로
케이엔에스,2023-12-06,전자/회로
와이바이오로직스,2023-12-05,바이오
에이텀,2023-12-01,전자/회로
에이에스텍,2023-11-28,전자/회로
그린리소스,2023-11-24,반도체
한선엔지니어링,2023-11-24,부품제조
동인기연,2023-11-21,부품제조
에코아이,2023-11-21,환경
스톰테크,2023-11-20,부품제조
에코프로머티,2023-11-17,배터리
캡스톤파트너스,2023-11-15,금융
에이직랜드,2023-11-13,반도체
에스와이스틸텍,2023-11-13,기계제조
컨텍,2023-11-09,IT
큐로셀,2023-11-09,바이오
메가터치,2023-11-09,전자/회로
비아이매트릭스,2023-11-09,소프트웨어
쏘닉스,2023-11-07,반도체
유투바이오,2023-11-02,바이오
유진테크놀로지,2023-11-02,배터리
퀄리타스반도체,2023-10-27,반도체
워트,2023-10-26,기계제조
에스엘에스바이오,2023-10-20,바이오
신성에스티,2023-10-19,자동차
퓨릿,2023-10-18,화학
아이엠티,2023-10-10,기계제조
레뷰코퍼레이션,2023-10-06,서비스
두산로보틱스,2023-10-05,로봇
한싹,2023-10-04,소프트웨어
밀리의서재,2023-09-27,서비스
인스웨이브시스템즈,2023-09-25,소프트웨어
시큐레터,2023-08-24,소프트웨어
스마트레이더시스템,2023-08-22,자동차
넥스틸,2023-08-21,철강
빅텐츠,2023-08-17,엔터
코츠테크놀로지,2023-08-10,부품제조
큐리옥스바이오시스템즈,2023-08-10,의료/의약
NICE평가정보,2023-08-08,소프트웨어
파두,2023-08-07,반도체
엠아이큐브솔루션,2023-08-04,소프트웨어
시지트로닉스,2023-08-03,반도체
에이엘티,2023-07-27,전자/회로
파로스아이바이오,2023-07-27,바이오
버넥트,2023-07-26,소프트웨어
뷰티스킨,2023-07-24,화학
와이랩,2023-07-20,엔터
센서뷰,2023-07-19,부품제조
필에너지,2023-07-14,배터리
이노시뮬레이션,2023-07-06,소프트웨어
알멕,2023-06-30,철강
오픈놀,2023-06-30,소프트웨어
시큐센,2023-06-29,소프트웨어
비에이치,2023-06-20,바이오
프로테옴텍,2023-06-16,의료/의약
큐라티스,2023-06-15,바이오
마녀공장,2023-06-08,화학
나라셀라,2023-06-02,식품
진영,2023-06-01,부품제조
기가비스,2023-05-24,기계제조
씨유박스,2023-05-19,소프트웨어
모니터랩,2023-05-19,소프트웨어
트루엔,2023-05-17,기계제조
에스바이오메딕스,2023-05-04,의료/의약
토마토시스템,2023-04-27,소프트웨어
마이크로투나노,2023-04-26,반도체
SK오션플랜트,2023-04-19,건설
지아이이노베이션,2023-03-30,의료/의약
LB인베스트먼트,2023-03-29,금융
금양그린파워,2023-03-13,에너지
자람테크놀로지,2023-03-07,반도체
나노팀,2023-03-03,기계제조
바이오인프라,2023-03-02,바이오
이노진,2023-02-20,화학
제이오,2023-02-16,건설
샌즈랩,2023-02-15,소프트웨어
꿈비,2023-02-09,가구/가전
스튜디오미르,2023-02-07,엔터
삼기이브이,2023-02-03,자동차
오브젠,2023-01-30,소프트웨어
미래반도체,2023-01-27,반도체
한주라이트메탈,2023-01-19,화학
티이엠씨,2023-01-19,화학
바이오노트,2022-12-22,의료/의약
SAMG엔터,2022-12-06,엔터
펨트론,2022-11-24,기계제조
인벤티지랩,2022-11-22,의료/의약
엔젯,2022-11-18,기계제조
유비온,2022-11-18,서비스
티에프이,2022-11-17,부품제조
티쓰리,2022-11-17,소프트웨어
윤성에프앤씨,2022-11-14,기계제조
디티앤씨알오,2022-11-11,바이오
뉴로메카,2022-11-04,기계제조
스코넥,2022-02-04,소프트웨어
이지트로닉스,2022-02-04,기계제조
LG에너지솔루션,2022-01-27,배터리
케이옥션,2022-01-24,서비스
애드바이오텍,2022-01-24,의료/의약
오토앤,2022-01-20,자동차
래몽래인,2021-12-30,엔터
케이티비네트워크,2021-12-16,금융
툴젠,2021-12-10,바이오
마인즈랩,2021-11-23,소프트웨어
알비더블유,2021-11-22,엔터
바이옵트로,2021-11-18,선박
트윔,2021-11-17,소프트웨어
아이티아이즈,2021-11-11,소프트웨어
지오엘리먼트,2021-11-11,부품제조
디어유,2021-11-10,소프트웨어
비트나인,2021-11-10,소프트웨어
지니너스,2021-11-08,바이오
카카오페이,2021-11-03,금융
피코그램,2021-11-03,기계제조
엔켐,2021-11-01,화학
리파인,2021-10-29,금융
지앤비에스엔지니어링,2021-10-29,기계제조
아이패밀리에스씨,2021-10-28,화학
차백신연구소,2021-10-22,의료/의약
지아이텍,2021-10-21,기계제조
케이카,2021-10-13,자동차판매
씨유테크,2021-10-08,부품제조
원준,2021-10-07,배터리
아스플로,2021-10-07,반도체
실리콘투,2021-09-29,유통
에스앤디,2021-09-29,식품
프롬바이오,2021-09-28,식품
바이오플러스,2021-09-27,바이오
현대중공업,2021-09-17,선박
와이엠텍,2021-09-10,전자/회로
에이비온,2021-09-08,바이오
일진하이솔루스,2021-09-01,부품제조
바이젠셀,2021-08-25,의료/의약
아주스틸,2021-08-20,철강
롯데렌탈,2021-08-19,자동차판매
브레인즈컴퍼니,2021-08-19,소프트웨어
딥노이드,2021-08-17,소프트웨어
한컴라이프케어,2021-08-17,의료/의약
엠로,2021-08-13,소프트웨어
플래티어,2021-08-12,소프트웨어
원티드랩,2021-08-11,소프트웨어
크래프톤,2021-08-10,게임
HK이노엔,2021-08-09,의료/의약
PI첨단소재,2021-08-09,부품제조
카카오뱅크,2021-08-06,금융
에브리봇,2021-07-28,가구/가전
맥스트,2021-07-27,소프트웨어
큐라클,2021-07-22,바이오
에스디바이오센서,2021-07-16,의료/의약
오비고,2021-07-13,소프트웨어
엠씨넥스,2021-07-06,NaN
아모센스,2021-06-25,전자/회로
이노뎁,2021-06-18,소프트웨어
라온테크,2021-06-17,기계제조
엘비루셈,2021-06-11,반도체
에이디엠코리아,2021-06-03,바이오
진시스템,2021-05-26,의료/의약
제주맥주,2021-05-26,식품
삼영에스앤씨,2021-05-21,전자/회로
샘씨엔에스,2021-05-20,전자/회로
씨앤씨인터내셔널,2021-05-17,화학
에이치피오,2021-05-14,식품
SK아이이테크놀로지,2021-05-11,배터리
쿠콘,2021-04-28,IT
해성티피씨,2021-04-21,기계제조
이삭엔지니어링,2021-04-21,IT
엔시스,2021-04-01,기계제조
자이언트스텝,2021-03-24,엔터
제노코,2021-03-24,부품제조
라이프시맨틱스,2021-03-23,소프트웨어
SK바이오사이언스,2021-03-18,바이오
바이오다인,2021-03-17,바이오
네오이뮨텍,2021-03-16,바이오
싸이버원,2021-03-11,소프트웨어
프레스티지바이오로직스,2021-03-11,바이오
나노씨엠에스,2021-03-09,전자/회로
뷰노,2021-02-26,IT
유일에너테크,2021-02-25,에너지
씨이랩,2021-02-24,소프트웨어
오로스테크놀로지,2021-02-24,반도체
피엔에이치테크,2021-02-16,화학
아이퀘스트,2021-02-05,소프트웨어
프레스티지바이오파마,2021-02-05,바이오
레인보우로보틱스,2021-02-03,로봇
와이더플래닛,2021-02-03,소프트웨어
솔루엠,2021-02-02,전자/회로
핑거,2021-01-29,IT
씨앤투스성진,2021-01-28,화학
모비릭스,2021-01-28,게임
선진뷰티사이언스,2021-01-27,화학
엔비티,2021-01-21,서비스
석경에이티,2020-12-23,화학
지놈앤컴퍼니,2020-12-23,바이오
프리시젼바이오,2020-12-22,의료/의약
알체라,2020-12-21,IT
에프앤가이드,2020-12-17,서비스
티엘비,2020-12-14,부품제조
인바이오,2020-12-11,화학
엔젠바이오,2020-12-10,바이오
퀀타매트릭스,2020-12-09,의료/의약
명신산업,2020-12-07,자동차
클리노믹스,2020-12-04,의료/의약
포인트모바일,2020-12-03,부품제조
앱코,2020-12-02,부품제조
엔에프씨,2020-12-02,화학
제일전기공업,2020-11-26,전자/회로
하나기술,2020-11-25,배터리
티앤엘,2020-11-20,의료/의약
에이플러스에셋어드바이저,2020-11-20,금융
고바이오랩,2020-11-18,바이오
네패스아크,2020-11-17,전자/회로
교촌에프앤비,2020-11-12,식품
소룩스,2020-11-06,부품제조
위드텍,2020-10-30,화학
센코,2020-10-29,전자/회로
바이브컴퍼니,2020-10-28,소프트웨어
미코바이오메드,2020-10-22,의료/의약
피플바이오,2020-10-19,바이오
하이브,2020-10-15,엔터
넥스틴,2020-10-08,반도체
피피아이,2019-12-26,부품제조
천랩,2019-12-26,바이오
메탈라이프,2019-12-24,전자/회로
브릿지바이오,2019-12-20,바이오
메드팩토,2019-12-19,의료/의약
신테카바이오,2019-12-17,소프트웨어
제이엘케이인스펙션,2019-12-11,IT
태웅로직스,2019-12-10,유통
리메드,2019-12-06,의료/의약
코리아센터,2019-11-29,소프트웨어
노터스,2019-11-27,바이오
센트랄모텍,2019-11-25,자동차
티움바이오,2019-11-22,바이오
씨에스베어링,2019-11-21,기계제조
우양,2019-11-20,식품
코리아에셋투자증권,2019-11-20,금융
현대에너지솔루션,2019-11-19,반도체
에스제이그룹,2019-11-18,옷
제테마,2019-11-14,의료/의약
한화시스템,2019-11-13,방산
라파스,2019-11-11,바이오
아이티엠반도체,2019-11-07,반도체
자이에스앤디,2019-11-06,금융
미디어젠,2019-11-05,소프트웨어
티라유텍,2019-10-31,IT
지누스,2019-10-30,가구/가전
캐리소프트,2019-10-29,엔터
케이엔제이,2019-10-25,기계제조
엔바이오니아,2019-10-24,바이오
팜스빌,2019-10-22,식품
라온피플,2019-10-18,반도체
제이콘텐트리,2019-10-18,엔터
아톤,2019-10-17,소프트웨어
녹십자웰빙,2019-10-14,식품
올리패스,2019-09-20,바이오
라닉스,2019-09-18,반도체
한독크린텍,2019-09-05,기계제조
네오크레마,2019-08-22,식품
마니커에프앤지,2019-08-20,식품
나노브릭,2019-08-19,화학
에스피시스템스,2019-08-14,IT
레이,2019-08-08,의료/의약
그린플러스,2019-08-07,철강
코윈테크,2019-08-05,IT
덕산테코피아,2019-08-02,화학
한국바이오젠,2019-08-01,바이오
슈프리마아이디,2019-08-01,전자/회로
세경하이테크,2019-07-30,전자/회로
윌링스,2019-07-25,에너지
대모,2019-07-24,기계제조
에이스토리,2019-07-19,엔터
플리토,2019-07-17,IT
세틀뱅크,2019-07-12,IT
아이스크림에듀,2019-07-11,출판
펌텍코리아,2019-07-04,부품제조
에이에프더블류,2019-07-01,배터리
압타바이오,2019-06-12,바이오
까스텔바쟉,2019-06-10,옷
마이크로디지탈,2019-06-05,의료/의약
포스코케미칼,2019-05-29,NaN
수젠텍,2019-05-28,의료/의약
컴퍼니케이,2019-05-23,금융
SNK,2019-05-07,소프트웨어
아모그린텍,2019-03-29,반도체
현대오토에버,2019-03-28,자동차
지노믹트리,2019-03-27,의료/의약
이지케어텍,2019-03-22,의료/의약
미래에셋벤처투자,2019-03-15,금융
드림텍,2019-03-14,전자/회로
더블유게임즈,2019-03-12,게임
에코프로비엠,2019-03-05,배터리
셀리드,2019-02-20,의료/의약
우리금융지주,2019-02-13,금융
천보,2019-02-11,화학
이노테라피,2019-02-01,바이오
노랑풍선,2019-01-30,서비스
웹케시,2019-01-25,IT
에어부산,2018-12-27,항공
비피도,2018-12-26,식품
유틸렉스,2018-12-24,바이오
디케이티,2018-12-21,전자/회로
위지윅스튜디오,2018-12-20,엔터
에이비엘바이오,2018-12-19,바이오
머큐리,2018-12-14,부품제조
전진바이오팜,2018-12-14,화학
뉴트리,2018-12-13,식품
이노메트리,2018-12-12,배터리
대유에이피,2018-12-07,자동차
에코캡,2018-12-05,자동차
베스파,2018-12-03,게임
윙입푸드,2018-11-30,식품
티로보틱스,2018-11-29,로봇
엠아이텍,2018-11-29,의료/의약
남화산업,2018-11-29,스포츠
네오펙트,2018-11-28,의료/의약
티앤알바이오팹,2018-11-28,의료/의약
아시아나IDT,2018-11-23,IT
디알젬,2018-11-22,의료/의약
싸이토젠,2018-11-22,바이오
아주IB투자,2018-11-21,금융
파멥신,2018-11-21,의료/의약
디케이앤디,2018-11-20,부품제조
디자인,2018-11-15,에너지
노바렉스,2018-11-14,바이오
셀리버리,2018-11-09,바이오
대보마그네틱,2018-11-06,전자/회로
노바텍,2018-11-02,부품제조
엘앤씨바이오,2018-11-01,의료/의약
로보티즈,2018-10-26,로봇
옵티팜,2018-10-26,의료/의약
에스퓨얼셀,2018-10-15,에너지
나우아이비캐피탈,2018-10-04,금융
푸드나무,2018-10-04,유통
하나제약,2018-10-02,의료/의약
크리스에프앤씨,2018-10-01,옷
지티지웰니스,2018-09-21,의료/의약
우진아이엔에스,2018-09-14,건설
명성티엔에스,2018-09-13,에너지
디지캡,2018-09-07,소프트웨어
액트로,2018-08-28,IT
오파스넷,2018-08-24,소프트웨어
에이피티씨,2018-08-23,반도체
바이오솔루션,2018-08-20,의료/의약
대유,2018-08-10,화학
디아이티,2018-08-07,기계제조
에스에스알,2018-08-06,소프트웨어
휴네시온,2018-08-02,IT
티웨이항공,2018-08-01,항공
롯데정보통신,2018-07-27,IT
한국유니온제약,2018-07-26,의료/의약
엠코르셋,2018-07-23,옷
올릭스,2018-07-18,의료/의약
아이큐어,2018-07-12,의료/의약
SV인베스트먼트,2018-07-06,금융
배럴,2018-02-01,옷
SG,2018-01-26,금속
씨앤지하이테크,2018-01-25,기계제조
시스웍,2017-12-26,기계제조
디바이스이엔지,2017-12-20,반도체
진에어,2017-12-08,항공
동양피스톤,2017-12-08,자동차
씨티케이코스메틱스,2017-12-07,화학
메카로,2017-12-06,반도체
에스트래픽,2017-12-05,IT
체리부로,2017-12-04,식품
대원,2017-12-01,건설
비즈니스온,2017-11-30,소프트웨어
삼양패키징,2017-11-29,부품제조
스튜디오드래곤,2017-11-24,엔터
비디아이,2017-11-09,에너지
티슈진,2017-11-06,의료/의약
테이팩스,2017-10-31,부품제조
영화테크,2017-10-26,자동차
세원,2017-10-20,자동차
상신전자,2017-10-16,전자/회로
야스,2017-09-29,전자/회로
에스엔피월드,2017-09-28,유통
신흥에스이씨,2017-09-27,배터리
유티아이,2017-09-27,전자/회로
선익시스템,2017-09-20,반도체
엠플러스,2017-09-20,기계제조
앱클론,2017-09-18,의료/의약
샘코,2017-09-15,항공
펄어비스,2017-09-14,게임
케이피에스,2017-09-06,기계제조
덕우전자,2017-08-28,전자/회로
이더블유케이,2017-08-22,에너지
알에스오토메이션,2017-08-11,기계제조
컬러레이,2017-08-10,서비스
모트렉스,2017-08-04,자동차
데이타솔루션,2017-08-03,IT
지니언스,2017-08-02,IT
디앤씨미디어,2017-08-01,출판
셀트리온헬스케어,2017-07-28,의료/의약
이즈미디어,2017-07-26,부품제조
힘스,2017-07-20,반도체
브이원텍,2017-07-13,IT
아우딘퓨쳐스,2017-07-12,화학
카카오,2017-07-10,IT
제일홀딩스,2017-06-30,서비스
보라티알,2017-06-08,식품
삼양옵틱스,2017-06-02,부품제조
필옵틱스,2017-06-01,반도체
넷마블게임즈,2017-05-12,게임
아이엔지생명,2017-05-11,금융
하나머티리얼즈,2017-04-28,반도체
와이엠티,2017-04-27,화학
이엘피,2017-04-06,전자/회로
서진시스템,2017-03-27,부품제조
코미코,2017-03-23,반도체
아스타,2017-03-20,의료/의약
덴티움,2017-03-15,의료/의약
에스디생명공학,2017-03-02,화학
신신제약,2017-02-28,의료/의약
에프엔에스테크,2017-02-27,기계제조
모바일어플라이언스,2017-02-24,소프트웨어
피씨엘,2017-02-23,의료/의약
호전실업,2017-02-02,옷
서플러스글로벌,2017-01-25,반도체
유바이오로직스,2017-01-24,바이오
퓨전데이타,2016-12-21,IT
DSC인베스트먼트,2016-12-19,금융
티에스인베스트먼트,2016-12-15,금융
마이크로프랜드,2016-12-12,전자/회로
현성바이탈,2016-12-09,전자/회로
애니젠,2016-12-07,의료/의약
유니온커뮤니티,2016-12-07,부품제조
신라젠,2016-12-06,의료/의약
핸즈코퍼레이션,2016-12-02,자동차
오션브릿지,2016-12-01,화학
퓨쳐켐,2016-12-01,의료/의약
뉴파워프라즈마,2016-11-30,반도체
엘앤케이바이오,2016-11-30,바이오
에이치엔티,2016-11-28,전자/회로
핸디소프트,2016-11-24,소프트웨어
두산밥캣,2016-11-18,건설
삼성바이오로직스,2016-11-10,바이오
클리오,2016-11-09,화학
오가닉티코스메틱,2016-11-04,화학
로고스바이오,2016-11-03,부품제조
인크로스,2016-10-31,서비스
에이치엘사이언스,2016-10-28,식품
코스메카코리아,2016-10-28,화학
JW생명과학,2016-10-27,의료/의약
GRT(그레이트리치과기),2016-10-25,의료/의약
골든센츄리,2016-10-19,기계제조
인텔리안테크,2016-10-18,부품제조
에이치시티,2016-10-17,IT
잉글우드랩,2016-10-14,화학
앤디포스,2016-10-12,부품제조
수산아이앤티,2016-10-11,소프트웨어
미투온,2016-10-10,소프트웨어
화승엔터프라이즈,2016-10-04,옷
엘에스전선 아시아,2016-09-22,에너지
유니테크노,2016-09-20,자동차
자이글,2016-09-06,가구/가전
헝셩그룹,2016-08-18,게임
에코마케팅,2016-08-08,서비스
팍스넷,2016-08-01,금융
두올,2016-07-29,자동차
엔지스테크널러지,2016-07-28,소프트웨어
우리손에프앤지,2016-07-27,식품
옵토팩,2016-07-20,전자/회로
동서,2016-07-15,식품
장원테크,2016-07-15,부품제조
대유위니아,2016-07-14,가구/가전
한국자산신탁,2016-07-13,금융
한국토지신탁,2016-07-11,금융
바이오리더스,2016-07-07,바이오
피앤씨테크,2016-07-04,에너지
로스웰,2016-06-30,자동차
해성디에스,2016-06-24,금속
녹십자랩셀,2016-06-23,바이오
에스티팜,2016-06-23,의료/의약
알엔투테크놀로지,2016-06-22,부품제조
용평리조트,2016-05-27,스포츠
해태제과식품,2016-05-11,식품
레이언스,2016-04-11,전자/회로
씨엠에스에듀,2016-04-07,서비스
동양파일,2016-04-06,부품제조
대림씨엔에스,2016-03-30,부품제조
팬젠,2016-03-11,바이오
AP위성통신,2016-03-04,부품제조
큐리언트,2016-02-29,의료/의약
안트로젠,2016-02-15,의료/의약
제이에스코퍼레이션,2016-02-04,옷
아이엠텍,2016-02-03,전자/회로
유니트론텍,2016-02-02,기계제조
크리스탈신소재,2016-01-28,금속
한솔씨앤피,2016-01-27,화학
코리아오토글라스,2015-12-29,화학
에스와이패널,2015-12-29,철강
코디엠,2015-12-29,기계제조
잇츠스킨,2015-12-28,화학
육일씨엔에쓰,2015-12-24,전자/회로
이에스브이,2015-12-24,소프트웨어
휴젤,2015-12-24,바이오
한국맥널티,2015-12-23,식품
아진산업,2015-12-22,자동차
덱스터,2015-12-22,엔터
씨트리,2015-12-21,바이오
강스템바이오텍,2015-12-21,바이오
메가엠디,2015-12-18,서비스
파크시스템스,2015-12-17,전자/회로
보광산업,2015-12-17,금속
뉴트리바이오텍,2015-12-16,식품
예스티,2015-12-16,전자/회로
멕아이씨에스,2015-12-14,의료/의약
엔에스,2015-12-07,배터리
미래테크놀로지,2015-12-01,소프트웨어
세진중공업,2015-11-30,건설
하이즈항공,2015-11-25,항공
리드,2015-11-20,반도체
엠지메드,2015-11-20,바이오
매직마이크로,2015-11-19,전자/회로
케이디켐,2015-11-19,화학
네오오토,2015-11-18,자동차
케어젠,2015-11-17,화학
아이진,2015-11-16,의료/의약
유앤아이,2015-11-12,의료/의약
나무가,2015-11-12,IT
금호에이치티,2015-11-11,자동차
제주항공,2015-11-06,항공
연우,2015-11-02,금속
에이티젠,2015-10-23,바이오
엑시콘,2015-10-22,기계제조
에치디프로,2015-10-13,부품제조
LIG넥스원,2015-10-02,방산
제너셈,2015-09-25,반도체
타이거일렉,2015-09-25,전자/회로
동일제강,2015-09-24,철강
아이콘트롤스,2015-09-24,IT
인포마크,2015-09-23,전자/회로
웹스,2015-08-24,IT
AJ네트웍스,2015-08-21,유통
파인텍,2015-08-17,부품제조
흥국에프엔비,2015-08-07,식품
칩스앤미디어,2015-08-05,전자/회로
아시아경제,2015-07-31,서비스
아이쓰리시스템,2015-07-30,전자/회로
로지시스,2015-07-29,기계제조
파마리서치프로덕트,2015-07-24,바이오
펩트론,2015-07-22,의료/의약
이노션,2015-07-17,서비스
토니모리,2015-07-10,화학
미래에셋생명,2015-07-08,금융
민앤지,2015-06-30,IT
유테크,2015-06-30,금속
동운아나텍,2015-06-30,전자/회로
경보제약,2015-06-29,의료/의약
에스엔텍,2015-06-26,기계제조
코아스템,2015-06-26,바이오
세미콘라이트,2015-06-25,반도체
에스케이디앤디,2015-06-23,건설
베셀,2015-06-19,전자/회로
싸이맥스,2015-06-17,반도체
픽셀플러스,2015-06-12,전자/회로
제노포커스,2015-05-29,화학
유지인트,2015-04-13,기계제조
엔에스쇼핑,2015-03-27,서비스
세화아이엠씨,2015-03-19,금속
포시에스,2015-02-11,소프트웨어
영백씨엠,2014-12-29,부품제조
국일신동,2014-12-29,금속
하이셈,2014-12-26,화학
휴메딕스,2014-12-26,의료/의약
아스트,2014-12-24,항공
오킨스전자,2014-12-24,전자/회로
서전기전,2014-12-24,에너지
뉴,2014-12-23,엔터
아이티센,2014-12-23,IT
제일모직,2014-12-18,엔터
녹십자엠에스,2014-12-17,바이오
디티앤씨,2014-12-17,IT
하이로닉,2014-12-17,의료/의약
에이디테크놀로지,2014-12-16,전자/회로
랩지노믹스,2014-12-16,의료/의약
비씨월드제약,2014-12-15,의료/의약
알테오젠,2014-12-12,의료/의약
SKC코오롱PI,2014-12-08,부품제조
대창스틸,2014-12-05,금속
에프엔씨,2014-12-04,엔터
씨에스윈드,2014-11-27,에너지
텔콘,2014-11-24,기계제조
파티게임즈,2014-11-21,게임
디에이테크놀로지,2014-11-19,반도체
우리은행,2014-11-19,금융
삼성에스디에스,2014-11-14,IT
테고사이언스,2014-11-06,바이오
슈피겐코리아,2014-11-05,유통
테라셈,2014-10-30,반도체
영우디에스피,2014-10-29,전자/회로
메디아나,2014-10-07,의료/의약
데브시스터즈,2014-10-06,게임
감마누,2014-08-14,부품제조
신화콘텍,2014-08-08,자동차
쿠쿠전자,2014-08-06,가구/가전
파버나인,2014-08-04,가구/가전
덕신하우징,2014-08-01,금속
창해에탄올,2014-07-30,식품
윈하이텍,2014-07-25,금속
아진엑스텍,2014-07-24,전자/회로
화인베스틸,2014-07-22,화학
트루윈,2014-07-11,자동차
캐스텍코리아,2014-05-27,자동차
BGF리테일,2014-05-19,유통
오이솔루션,2014-02-27,IT
인터파크INT,2014-02-06,유통
한국정보인증,2014-02-04,IT
