기업명,상장일,산업군
아이지넷,2025-02-04,소프트웨어
피아이이,2025-02-04,기계제조
삼양엔씨켐,2025-02-03,화학
아스테라시스,2025-01-24,의료/의약
데이원컴퍼니,2025-01-24,서비스
와이즈넛,2025-01-24,소프트웨어
미트박스,2025-01-23,IT
파인메딕스,2024-12-26,의료/의약
쓰리에이로직스,2024-12-24,전자/회로
듀켐바이오,2024-12-20,의료/의약
온코닉테라퓨틱스,2024-12-19,의료/의약
온코크로스,2024-12-18,의료/의약
벡트,2024-12-16,기계제조
엠앤씨솔루션,2024-12-16,기계제조
위츠,2024-11-20,기계제조
사이냅소프트,2024-11-19,소프트웨어
에스켐,2024-11-18,화학
엠오티,2024-11-18,기계제조
쓰리빌리언,2024-11-14,의료/의약
닷밀,2024-11-13,엔터
노머스,2024-11-12,엔터
에어레인,2024-11-08,부품제조
토모큐브,2024-11-07,부품제조
더본코리아,2024-11-06,식품
에이치이엠파마,2024-11-05,바이오
에이럭스,2024-11-01,IT
탑런토탈솔루션,2024-11-01,부품제조
성우,2024-10-31,기계제조
클로봇,2024-10-28,소프트웨어
에이치엔에스하이텍,2024-10-25,부품제조
웨이비스,2024-10-25,부품제조
씨메스,2024-10-24,기계제조
한켐,2024-10-22,화학
루미르,2024-10-21,항공제조
와이제이링크,2024-10-18,기계제조
인스피언,2024-10-18,소프트웨어
셀비온,2024-10-16,의료/의약
제닉스,2024-09-30,기계제조
아이언디바이스,2024-09-23,전자/회로
아이스크림미디어,2024-08-30,서비스
이엔셀,2024-08-23,의료/의약
M83,2024-08-22,엔터
티디에스팜,2024-08-21,의료/의약
케이쓰리아이,2024-08-20,소프트웨어
넥스트바이오메디컬,2024-08-20,의료/의약
전진건설로봇,2024-08-19,기계제조
유라클,2024-08-16,소프트웨어
뱅크웨어글로벌,2024-08-12,소프트웨어
아이빔테크놀로지,2024-08-06,전자/회로
피앤에스미캐닉스,2024-07-31,의료/의약
산일전기,2024-07-29,기계제조
엑셀세라퓨틱스,2024-07-15,의료/의약
시프트업,2024-07-11,IT
하스,2024-07-03,의료/의약
이노스페이스,2024-07-02,항공제조
