기업명,year_key,month_key,단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,상장일,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,매출액,부채비율,유동비율,영업이익률,당기순이익률,ROE,EPS,EV/영업이익,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,부채비율 변화율,유동비율 변화율,영업이익률 변화율,당기순이익률 변화율,매출액 변화율,ROE 변화율,EPS 변화율,EV/영업이익 변화율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,무역수지,생산자물가 상승률 (PPI),소비심리지수(CSI),소비자물가 상승률 (CPI),수출입 물량지수,외환보유액,원달러 환율,통화량 (M2),국고채 금리 스프레드,KOSPI_1001,종가대비등락율
DSC인베스트먼트,2016,Dec_16,11.2,0.0,1700.0,11,2016-12-19,17500000,1833938590.0,9424633533.0,1807552839.0,280075244.0,6500000000.0,2403479033.0,267465007.0,1696693373.0,1311509021.0,3480121402.0,0.227635026,1.014597499,0.487538559,0.376857261,0.143006981,74.94337263,5.405186456,34.46,2,68.23,-0.11026109,-0.048729589,0.116146435,0.084210332,-960047078.0,-0.013265927,0.691848514,0.362899151,92.86,-266.67,-0.023094010767585,0.0,0.4072602054752909,0.003004012899184,-0.0359929800806966,0.0015677915110806,0.4072602054752909,-0.0031670455825766,0.0089298209902055,0.0006530106441665,0.011679655182517401,0.0083652736784665,109.4
GRT(그레이트리치과기),2016,Oct_16,140.75,4.32,5000.0,7,2016-10-25,67500000,793157289.0,723506841.0,360476429.0,189137469.0,286411054.0,553308724.0,42799075.0,279633009.0,200645240.0,941632061.0,0.622778648,2.20030278,0.296966321,0.213082422,0.227355188,2.972522074,3.458283539,38.42,6,75.0,-0.867691625,1.024136945,-0.018562773,-0.020220626,94477100.0,-0.27242359,0.044465274,1.978823665,93.33,50.0,0.0371902642546811,0.0,-0.1680780471873777,0.0010169333455212,0.0054781343464621,0.0023773256691481,-0.1680780471873777,0.009243667808297,-0.0222376717586918,0.0053018093127632,0.0076837523478437,-0.0075040691899892,30.0
ING생명보험,2017,May_17,3.97,0.13,33000.0,0,2017-05-11,82000000,24660260.0,6008470.0,20091232.0,6430082.0,82000.0,1766107.0,1800991.0,321884.0,240741.0,4265748.0,7.267909494,1.227414028,0.07545781,0.056435823,0.065972742,0.002935866,12.88481565,59.15,1,59.15,0.546608238,-0.02122763,-0.011742535,-0.008718498,-412284.0,-0.015016709,-0.000781134,2.439690797,57.14,17.65,0.026678058418846,0.0,-0.303601335360008,-0.0012110832191671,0.0225775422984252,-0.0012127459606389,-0.303601335360008,0.0008504816249323,-0.003606190947273,0.0024117888859123,0.0057063879448341,0.0069218617668121,-4.2
JTC,2018,Apr_18,478.0,24.17,8500.0,465,2018-04-06,35114625,154135000000.0,78548060055.0,59905678491.0,38714374965.0,6102640791.0,118545000000.0,4066918027.0,24908650677.0,19130774616.0,416563000000.0,0.766191313,2.572968358,0.059795646,0.045925291,0.148629339,544.80931,5.382203299,58.96,5,65.74,-0.350890998,0.306599335,0.009478607,0.017946246,-116665000000.0,0.019646129,119.9374311,0.864042561,94.12,164.29,0.0454267729840741,0.0,0.3839965528049091,0.002337295952077,-0.0076169161037498,0.0044253013729238,0.3839965528049091,0.0040548081695006,0.0102708103984869,0.0014782346914488,0.006420823917456998,0.0103443209940534,91.8
JW생명과학,2016,Oct_16,225.0,7.41,30000.0,220,2016-10-27,7917277,36186829815.0,145344000000.0,75706826871.0,20993524053.0,39586385000.0,16909169240.0,0.0,11853577522.0,8398705961.0,67092448816.0,1.711645318,0.47798635,0.176675285,0.125181091,0.148661361,1060.807391,7.156538517,50.0,6,56.06,-0.069169813,0.006183126,0.028553473,0.023043732,-58857671792.0,-0.08739289,-564.0205269,2.716569848,94.12,54.55,0.0371902642546811,0.0,-0.1680780471873777,0.0010169333455212,0.0054781343464621,0.0023773256691481,-0.1680780471873777,0.009243667808297,-0.0222376717586918,0.0053018093127632,0.0076837523478437,-0.0075077379620236,43.2
LG에너지솔루션,2022,Jan_22,2023.0,66.59,300000.0,69,2022-01-27,234000000,9860210.0,13752096.0,8977353.0,5412775.0,100000.0,303807.0,1586903.0,692737.0,858057.0,13412546.0,7.228641038,1.098342685,0.051648434,0.063974207,0.431030637,0.00366691,13.31266844,81.84,6,91.29,-29.83340959,-0.220485392,0.376894076,0.373180213,11951478.0,1.783893602,0.005597556,29.2329325,93.75,100.0,-0.00675321206413,0.1734721666221778,0.1299330721667893,0.0054874953650309,-0.0249039399852572,0.0030799624195002,0.1299330721667893,-0.0051125957218887,0.0048230365761708,0.0038937661568335,-0.0028396304766112046,-0.0110018686019603,68.3
SKC코오롱PI,2014,Dec_14,23.01,0.0,8000.0,46,2014-12-08,29366322,75787122656.0,179442000000.0,36762916710.0,19159566806.0,18368700000.0,60479446202.0,-43368702000.0,20028343746.0,11433421958.0,65437069512.0,1.5761939,2.061510061,0.306070304,0.17472393,0.322254821,389.3378939,9.95121601,27.03,6,58.59,0.503943677,-0.513812543,0.010951465,-0.017412001,-68267971018.0,-0.209700094,-485.4581561,4.575501931,94.74,-180.0,-0.0555786959879707,-0.0641500299099584,0.2982524663731232,-0.0033675972285991,-0.0046978694247324,-0.0014842811845094,0.2982524663731232,-0.0018320382954073,0.012617454868491,0.00466209896924,-0.0028872467310176037,0.0059426667245582,-5.3
가온칩스,2022,May_22,1847.12,14.6,14000.0,2183,2022-05-20,11488320,29916404375.0,7076710460.0,13808071614.0,1323047300.0,4714160000.0,16368724338.0,23350724.0,6202436087.0,6182765868.0,32235607297.0,0.716902795,2.166588153,0.192409469,0.191799268,0.292935516,538.1784167,3.524743442,7.3,6,71.35,-0.6561797,0.01396254,0.076983482,0.083499555,15137301343.0,0.119464775,376.9936979,-1.985351852,94.44,150.0,0.0534282599494774,0.1071516751221441,-0.3575614756715394,0.0049705279335141,-0.0090687847571541,0.0003128457381832,-0.3575614756715394,-0.0076680683873747,0.0106133824232055,0.0035223968471046,-0.04771571985159509,-0.0101978458522783,93.6
강스템바이오텍,2015,Dec_15,11.35,0.0,6000.0,41,2015-12-21,13817150,9725685992.0,5258574223.0,2463290508.0,1215054054.0,5878575000.0,-14190382611.0,524451764.0,-3185874764.0,-3838642428.0,1340395841.0,-0.472348334,3.948249693,-2.37681636,-2.863812547,0.492932711,-277.8172364,-3.548763367,25.3,1,37.45,0.902325384,2.79735979,19.01619121,14.97357103,1132204350.0,-0.063521014,-9.050415317,-3.978219653,92.86,-100.0,-0.0160375074774896,0.0,0.2059518652135908,-0.0022950122888155,-0.0289656536196329,0.0024663764399515,0.2059518652135908,-0.0037138029516997,-0.0249059784415117,0.0003313693797595,-0.12706805148066108,-0.009150137500639,56.0
경보제약,2015,Jun_15,524.56,34.44,15000.0,264,2015-06-29,23906860,96928613178.0,73815393122.0,88702899776.0,15081480014.0,10758085000.0,49452192871.0,962713886.0,6707517932.0,4993011747.0,43348799729.0,1.696571915,1.092733309,0.154733648,0.115182238,0.08162118,208.8526786,9.982772642,60.0,6,68.0,0.102399068,-0.045807702,-0.008232307,0.064317057,-126432000000.0,-0.056458592,-152.3806128,7.513188081,94.74,100.0,-0.0267453370970141,-0.0824786098842322,0.4223645171817883,-0.0005987478670756,-0.0533311452078044,0.0014715464320063,0.4223645171817883,0.0079219675713042,0.0204383433670453,0.0040166297710792,0.18026311373967718,-0.0067913730633482,128.3
고바이오랩,2020,Nov_20,64.0,0.85,15000.0,566,2020-11-18,15415766,26577142033.0,4193523801.0,2737712873.0,97030419.0,6677883000.0,-103591000000.0,-594948628.0,-5883016882.0,-46992569579.0,626634194.0,-0.029071777,9.707790139,-9.388279379,-74.99202889,0.481933411,-3048.344765,-4.748570861,36.37,2,72.41,1.595615054,9.317827821,3.363941738,1.443716632,50115124.0,-0.322992964,-189.7994986,-12.04245069,93.33,-60.0,0.0971849576690535,0.0,0.6742699689816247,-0.0031649886220825,0.1282732845731261,-0.0055466795852774,0.6742699689816247,0.0096736452453101,-0.0117043281962052,0.0032193168568731,-0.0016590825609225021,0.0103099539808153,108.7
