month_key,국고채 금리 (3년),국고채 금리 (10년),기업경기실사지수(BSI),기준금리,무역수지,산업생산지수(IPI),생산자물가 상승률 (PPI),소비심리지수(CSI),소비자물가 상승률 (CPI),수출입 물량지수,외환보유액,원달러 환율,통화량 (M2)
2014-01,2.892,3.647,74,2.5,5993.1,89,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8
2014-01,2.892,3.647,74,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811,1064.75,1937700.8
2014-02,2.854,3.522,76,2.5,6803.9,85,101.7,109.2,93.98,6803.9,351791760,1071.3,1957315.4
2014-02,2.854,3.522,76,2.5,6803.9,91.5,101.7,109.2,93.98,6803.9,351791760,1071.3,1957315.4
2014-03,2.874,3.543,80,2.5,5420.6,93.7,101.66,109.7,94.153,5420.6,354341349,1070.89,1965536.2
2014-03,2.874,3.543,80,2.5,5420.6,91.7,101.66,109.7,94.153,5420.6,354341349,1070.89,1965536.2
2014-04,2.875,3.54,79,2.5,8766.3,91.6,101.5,109.7,94.214,8766.3,355845420,1044.55,1973451.6
2014-04,2.875,3.54,79,2.5,8766.3,91.8,101.5,109.7,94.214,8766.3,355845420,1044.55,1973451.6
2014-05,2.838,3.402,79,2.5,8120.4,90.7,101.49,105.3,94.369,8120.4,360912745,1024.99,1985945.9
2014-05,2.838,3.402,79,2.5,8120.4,90.7,101.49,105.3,94.369,8120.4,360912745,1024.99,1985945.9
2014-06,2.746,3.286,76,2.5,5691.8,92.7,101.53,108.1,94.248,5691.8,366545511,1019.36,1999693.7
2014-06,2.746,3.286,76,2.5,5691.8,92.1,101.53,108.1,94.248,5691.8,366545511,1019.36,1999693.7
2014-07,2.558,3.056,73,2.5,5627.3,92.5,101.61,105.6,94.386,5627.3,368026376,1019.93,2011298.2
2014-07,2.558,3.056,73,2.5,5627.3,92.3,101.61,105.6,94.386,5627.3,368026376,1019.93,2011298.2
2014-08,2.54,3.086,71,2.25,7150.8,91.4,101.5,107.5,94.551,7150.8,367534108,1025.36,2030272.2
2014-08,2.54,3.086,71,2.25,7150.8,88,101.5,107.5,94.551,7150.8,367534108,1025.36,2030272.2
2014-09,2.405,3.012,73,2.25,6551.6,89.6,101.14,108.4,94.49,6551.6,364406672,1033.24,2036012.5
2014-09,2.405,3.012,73,2.25,6551.6,90.4,101.14,108.4,94.49,6551.6,364406672,1033.24,2036012.5
2014-10,2.239,2.769,76,2,6107.7,92.2,100.43,105.6,94.205,6107.7,363723405,1060.28,2053472.3
2014-10,2.239,2.769,76,2,6107.7,91.4,100.43,105.6,94.205,6107.7,363723405,1060.28,2053472.3
2014-11,2.138,2.692,71,2,8785.1,91.2,100.12,103.4,94.015,8785.1,363095393,1095.1,2078884.7
2014-11,2.138,2.692,71,2,8785.1,91.3,100.12,103.4,94.015,8785.1,363095393,1095.1,2078884.7
2014-12,2.143,2.681,72,2,8011.2,91.5,99.14,101.7,94.006,8011.2,363592748,1104.33,2085332.1
2014-12,2.143,2.681,72,2,8011.2,101,99.14,101.7,94.006,8011.2,363592748,1104.33,2085332.1
2015-01,2.039,2.415,72,2,11067.2,89.2,97.92,103.2,94.643,11067.2,362186186,1088.86,2094265.7
2015-01,2.039,2.415,72,2,11067.2,91.5,97.92,103.2,94.643,11067.2,362186186,1088.86,2094265.7
2015-02,2.024,2.346,72,2,8205.5,84.8,97.99,103.9,94.587,8205.5,362370074,1098.4,2110001.8
2015-02,2.024,2.346,72,2,8205.5,93,97.99,103.9,94.587,8205.5,362370074,1098.4,2110001.8
2015-03,1.865,2.276,78,1.75,8816.7,94.7,97.87,102,94.596,8816.7,362750264,1112.57,2127669.7
2015-03,1.865,2.276,78,1.75,8816.7,92.1,97.87,102,94.596,8816.7,362750264,1112.57,2127669.7
2015-04,1.739,2.177,77,1.75,9316.4,92.9,97.84,104.9,94.625,9316.4,369902086,1088.66,2150539.7
2015-04,1.739,2.177,77,1.75,9316.4,92.9,97.84,104.9,94.625,9316.4,369902086,1088.66,2150539.7
2015-05,1.875,2.49,79,1.75,6497.2,91.6,97.9,106.3,94.89,6497.2,371505613,1091.27,2171395.4
2015-05,1.875,2.49,79,1.75,6497.2,91.3,97.9,106.3,94.89,6497.2,371505613,1091.27,2171395.4
2015-06,1.773,2.468,77,1.5,10000,95.1,97.85,98.8,94.909,10000,374749258,1112.2,2178617.8
2015-06,1.773,2.468,77,1.5,10000,92.2,97.85,98.8,94.909,10000,374749258,1112.2,2178617.8
2015-07,1.777,2.45,67,1.5,8858.7,92.1,97.5,100.9,95.08,8858.7,370822336,1143.22,2197381.9
2015-07,1.777,2.45,67,1.5,8858.7,92.4,97.5,100.9,95.08,8858.7,370822336,1143.22,2197381.9
2015-08,1.735,2.308,70,1.5,8316.4,90,96.89,102.2,95.213,8316.4,367938017,1179.1,2216829
2015-08,1.735,2.308,70,1.5,8316.4,93.9,96.89,102.2,95.213,8316.4,367938017,1179.1,2216829
2015-09,1.651,2.216,72,1.5,9333.7,93.6,96.47,103.5,94.966,9333.7,368113633,1184.76,2228676.6
2015-09,1.651,2.216,72,1.5,9333.7,94.8,96.47,103.5,94.966,9333.7,368113633,1184.76,2228676.6
2015-10,1.627,2.088,72,1.5,7364.8,95.5,95.81,106.1,94.966,7364.8,369600626,1148.18,2234118.5
2015-10,1.627,2.088,72,1.5,7364.8,94.3,95.81,106.1,94.966,7364.8,369600626,1148.18,2234118.5
2015-11,1.752,2.254,72,1.5,7924.3,94.7,95.43,106.7,94.786,7924.3,368463398,1151.97,2240344.1
2015-11,1.752,2.254,72,1.5,7924.3,94,95.43,106.7,94.786,7924.3,368463398,1151.97,2240344.1
2015-12,1.719,2.181,70,1.5,9417.7,104.1,95.21,103.3,95.07,9417.7,367961865,1172.24,2245102.7
2015-12,1.719,2.181,70,1.5,9417.7,94.6,95.21,103.3,95.07,9417.7,367961865,1172.24,2245102.7
2016-01,1.628,2.025,69,1.5,9725.4,93.5,94.69,100.6,95.232,9725.4,367293330,1201.67,2265227.2
2016-01,1.628,2.025,69,1.5,9725.4,90.5,94.69,100.6,95.232,9725.4,367293330,1201.67,2265227.2
