latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,date,latent_dim,dropout_rate,batchnorm,epochs,early_stopping_patience,batch_size,kernel_regularizer
0.0,0.0139903985,0.16219428,4.9987016,1.0417392,0.0,0.0,0.0,0.0,6.683097,2014-02-17,10,0.5,True,100,5,10,True
0.0,0.0,0.14965922,5.019963,1.0475904,0.0,0.0,0.0,0.0,6.693942,2014-02-18,10,0.5,True,100,5,10,True
0.0,0.0,0.13763648,5.0370355,1.0446204,0.0,0.0,0.0,0.0,6.693818,2014-02-19,10,0.5,True,100,5,10,True
0.0,0.0,0.1275082,5.0536585,1.0409895,0.0,0.0,0.0,0.0,6.696718,2014-02-20,10,0.5,True,100,5,10,True
0.0,0.0,0.119402625,5.0643,1.0369277,0.0,0.0,0.0,0.0,6.6965756,2014-02-21,10,0.5,True,100,5,10,True
0.0,0.0,0.11746911,5.0621715,1.0259538,0.0,0.0,0.0,0.0,6.686878,2014-02-24,10,0.5,True,100,5,10,True
0.0,0.0,0.09898913,5.1013336,1.0234166,0.0,0.0,0.0,0.0,6.719898,2014-02-25,10,0.5,True,100,5,10,True
0.0,0.0,0.0884497,5.115765,1.0249486,0.0,0.0,0.0,0.0,6.7247424,2014-02-26,10,0.5,True,100,5,10,True
0.0,0.0,0.08459389,5.1247697,1.0289845,0.0,0.0,0.0,0.0,6.7333865,2014-02-27,10,0.5,True,100,5,10,True
0.0,0.0,0.07256079,5.153033,1.0362248,0.0,0.0,0.0,0.0,6.755703,2014-02-28,10,0.5,True,100,5,10,True
0.0,0.0,0.06681898,5.172166,1.0358468,0.0,0.0,0.0,0.0,6.765227,2014-03-03,10,0.5,True,100,5,10,True
0.0,0.0,0.061810292,5.188815,1.0336684,0.0,0.0,0.0,0.0,6.768682,2014-03-04,10,0.5,True,100,5,10,True
0.0,0.0,0.062073514,5.197234,1.0270458,0.0,0.0,0.0,0.0,6.7665524,2014-03-05,10,0.5,True,100,5,10,True
0.0,0.0,0.059163634,5.2171693,1.0271626,0.0,0.0,0.0,0.0,6.7793403,2014-03-06,10,0.5,True,100,5,10,True
0.0,0.0,0.05724401,5.2332597,1.0255401,0.0,0.0,0.0,0.0,6.786609,2014-03-07,10,0.5,True,100,5,10,True
0.0,0.0,0.065378554,5.2177367,1.0237104,0.0,0.0,0.0,0.0,6.7626724,2014-03-10,10,0.5,True,100,5,10,True
0.0,0.0,0.07003274,5.215823,1.0178825,0.0,0.0,0.0,0.0,6.75634,2014-03-11,10,0.5,True,100,5,10,True
0.0,0.0,0.07166173,5.2148995,1.0129026,0.0,0.0,0.0,0.0,6.7486267,2014-03-12,10,0.5,True,100,5,10,True
0.0,0.0,0.07276822,5.2196994,1.0071676,0.0,0.0,0.0,0.0,6.7544727,2014-03-13,10,0.5,True,100,5,10,True
0.0,0.0,0.083530605,5.2037845,1.0001345,0.0,0.0,0.0,0.0,6.7453423,2014-03-14,10,0.5,True,100,5,10,True
0.0,0.0,0.08509223,5.2049236,0.9913926,0.0,0.0,0.0,0.0,6.7450094,2014-03-17,10,0.5,True,100,5,10,True
0.0,0.0,0.089523405,5.204353,0.9864917,0.0,0.0,0.0,0.0,6.7505484,2014-03-18,10,0.5,True,100,5,10,True
0.0,0.0,0.09335124,5.204632,0.9826859,0.0,0.0,0.0,0.0,6.755791,2014-03-19,10,0.5,True,100,5,10,True
0.0,0.0,0.108820006,5.1742096,0.9778272,0.0,0.0,0.0,0.0,6.728589,2014-03-20,10,0.5,True,100,5,10,True
0.0,0.0,0.116334766,5.169052,0.97245085,0.0,0.0,0.0,0.0,6.72879,2014-03-21,10,0.5,True,100,5,10,True
0.0,0.0,0.11918224,5.1658564,0.96818423,0.0,0.0,0.0,0.0,6.7305126,2014-03-24,10,0.5,True,100,5,10,True
0.0,0.0,0.11927526,5.1685147,0.97070026,0.0,0.0,0.0,0.0,6.7390747,2014-03-25,10,0.5,True,100,5,10,True
0.0,0.0,0.1138052,5.182689,0.97288215,0.0,0.0,0.0,0.0,6.753976,2014-03-26,10,0.5,True,100,5,10,True
0.0,0.0,0.12555222,5.155939,0.97716725,0.0,0.0,0.0,0.0,6.736079,2014-03-27,10,0.5,True,100,5,10,True
0.0,0.0,0.13573015,5.127726,0.98108566,0.0,0.0,0.0,0.0,6.7102585,2014-03-28,10,0.5,True,100,5,10,True
0.0,0.0,0.13897988,5.1188164,0.98153496,0.0,0.0,0.0,0.0,6.7051144,2014-03-31,10,0.5,True,100,5,10,True
0.0,0.0,0.14613244,5.1033564,0.9840311,0.0,0.0,0.00238242,0.0,6.6958804,2014-04-01,10,0.5,True,100,5,10,True
