latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,date
9.282002,0.0,0.0,0.0,0.0,7.9466553,0.0,2.5907094,2014-02-17
9.291402,0.0,0.0,0.0,0.0,7.954513,0.0,2.5760176,2014-02-18
9.291428,0.0,0.0,0.0,0.0,7.9589744,0.0,2.5662842,2014-02-19
9.286572,0.0,0.0,0.0,0.0,7.961921,0.0,2.5611703,2014-02-20
9.287534,0.0,0.0,0.0,0.0,7.965493,0.0,2.5562618,2014-02-21
9.27908,0.0,0.0,0.0,0.0,7.959548,0.0,2.5654473,2014-02-24
9.275742,0.0,0.0,0.0,0.0,7.954812,0.0,2.5673687,2014-02-25
9.2781725,0.0,0.0,0.0,0.0,7.9552946,0.0,2.563896,2014-02-26
9.282926,0.0,0.0,0.0,0.0,7.956412,0.0,2.5654294,2014-02-27
9.290406,0.0,0.0,0.0,0.0,7.960431,0.0,2.5626872,2014-02-28
9.2899065,0.0,0.0,0.0,0.0,7.9605637,0.0,2.569059,2014-03-03
9.296389,0.0,0.0,0.0,0.0,7.962588,0.0,2.5698345,2014-03-04
9.300418,0.0,0.0,0.0,0.0,7.9581347,0.0,2.5724742,2014-03-05
9.307721,0.0,0.0,0.0,0.0,7.952181,0.0,2.5738971,2014-03-06
9.312549,0.0,0.0,0.0,0.0,7.9459763,0.0,2.580292,2014-03-07
9.321508,0.0,0.0,0.0,0.0,7.944151,0.0,2.5885613,2014-03-10
9.327437,0.0,0.0,0.0,0.0,7.9294376,0.0,2.595122,2014-03-11
9.333716,0.0,0.0,0.0,0.0,7.9154353,0.0,2.5994303,2014-03-12
9.340485,0.0,0.0,0.0,0.0,7.8915014,0.0,2.6002908,2014-03-13
9.338492,0.0,0.0,0.0,0.0,7.868681,0.0,2.6102479,2014-03-14
9.344581,0.0,0.0,0.0,0.0,7.853569,0.0,2.6126106,2014-03-17
9.345631,0.0,0.0,0.0,0.0,7.8345647,0.0,2.6151488,2014-03-18
9.339906,0.0,0.0,0.0,0.0,7.818228,0.0,2.622699,2014-03-19
9.334468,0.0,0.0,0.0,0.0,7.8005176,0.0,2.6291673,2014-03-20
9.323755,0.0,0.0,0.0,0.0,7.7814827,0.0,2.6387012,2014-03-21
9.315016,0.0,0.0,0.0,0.0,7.76231,0.0,2.644046,2014-03-24
9.298549,0.0,0.0,0.0,0.0,7.735508,0.0,2.6444983,2014-03-25
9.289868,0.0,0.0,0.0,0.0,7.7190876,0.0,2.6433427,2014-03-26
9.275767,0.0,0.0,0.0,0.0,7.7018905,0.0,2.6475768,2014-03-27
9.261733,0.0,0.0,0.0,0.0,7.685834,0.0,2.6501477,2014-03-28
9.245701,0.0,0.0,0.0,0.0,7.66884,0.0,2.659055,2014-03-31
9.2252655,0.0,0.0,0.0,0.0,7.645765,0.0,2.6689289,2014-04-01
9.213822,0.0,0.0,0.0,0.0,7.6339035,0.0,2.6743157,2014-04-02
9.197461,0.0,0.0,0.0,0.0,7.6200867,0.0,2.683366,2014-04-03
