Date,category_scores,weighted_avg_scores
2014-01-11,"{'성장_긍정': 0.24460581602906853, '성장_부정': 0.2940733838288219, '민감_긍정': 0.3047366699229158, '민감_부정': 0.3121124886685089, '방어_긍정': 0.31739114769873594, '방어_부정': 0.3070532916569272, '금융_긍정': 0.2978952127491496, '금융_부정': 0.2920955052221868}",
2014-01-12,"{'성장_긍정': 0.27321987011826077, '성장_부정': 0.3230127632821961, '민감_긍정': 0.2918600919002957, '민감_부정': 0.3051905470761123, '방어_긍정': 0.30820524156576, '방어_부정': 0.3059599827293376, '금융_긍정': 0.33805777260982134, '금융_부정': 0.33129452762313805}",
2014-01-13,"{'성장_긍정': 0.25911526985880334, '성장_부정': 0.3092521551497305, '민감_긍정': 0.28433443680487175, '민감_부정': 0.2917107888874503, '방어_긍정': 0.2898729531670336, '방어_부정': 0.2908959315582116, '금융_긍정': 0.3465475459106874, '금융_부정': 0.3230141497881936}",
2014-01-14,"{'성장_긍정': 0.2893324304615899, '성장_부정': 0.27895195459140604, '민감_긍정': 0.27179301245067006, '민감_부정': 0.2232700013425197, '방어_긍정': 0.2858933161997966, '방어_부정': 0.24189377390680225, '금융_긍정': 0.32954698491452467, '금융_부정': 0.2748383443888759}",
2014-01-15,"{'성장_긍정': 0.2506232814515681, '성장_부정': 0.29296527146828527, '민감_긍정': 0.27534170311760386, '민감_부정': 0.25353947990152054, '방어_긍정': 0.26649159905688174, '방어_부정': 0.25794980140813956, '금융_긍정': 0.3393760795298905, '금융_부정': 0.3067881892938644}","{'성장_긍정': 0.24528735373951832, '성장_부정': 0.2899846340116505, '민감_긍정': 0.27547073217307366, '민감_부정': 0.27642073389806465, '방어_긍정': 0.27703477485526246, '방어_부정': 0.2765201584915891, '금융_긍정': 0.3079376430986693, '금융_부정': 0.29812100365119637}"
2014-01-16,"{'성장_긍정': 0.21857260020680921, '성장_부정': 0.2766178416892753, '민감_긍정': 0.24575411074708634, '민감_부정': 0.2612194989143933, '방어_긍정': 0.2376279983718604, '방어_부정': 0.24360069890336558, '금융_긍정': 0.26872793687157154, '금융_부정': 0.26319707870858006}","{'성장_긍정': 0.24634285510249387, '성장_부정': 0.28968915010880025, '민감_긍정': 0.27536187951558155, '민감_부정': 0.2725644141906204, '방어_긍정': 0.2758825136577971, '방어_부정': 0.2736594654754042, '금융_긍정': 0.31229623648821997, '금융_부정': 0.29876040282046035}"
2014-01-17,"{'성장_긍정': 0.24562613223612945, '성장_부정': 0.2547128780342006, '민감_긍정': 0.2586016021132036, '민감_부정': 0.23060841753095962, '방어_긍정': 0.24643546977795394, '방어_부정': 0.2503642414404137, '금융_긍정': 0.2881580999006099, '금융_부정': 0.2858296962585699}","{'성장_긍정': 0.2434840284337019, '성장_부정': 0.2875528076733679, '민감_긍정': 0.2718646559501423, '민감_부정': 0.2702832682438032, '방어_긍정': 0.2714651546876467, '방어_부정': 0.2693173088869081, '금융_긍정': 0.3078393042436372, '금융_부정': 0.293913225990168}"
2014-01-18,"{'성장_긍정': 0.22278785680972424, '성장_부정': 0.2659778657019266, '민감_긍정': 0.25840556040761287, '민감_부정': 0.26949508503295755, '방어_긍정': 0.2740692715977492, '방어_부정': 0.26979601282422927, '금융_긍정': 0.27828123639219493, '금융_부정': 0.2803937457807618}","{'성장_긍정': 0.24450667543791962, '성장_부정': 0.28290626815644204, '민감_긍정': 0.27032414396472415, '민감_부정': 0.2643825731649101, '방어_긍정': 0.2685779255054335, '방어_부정': 0.26623587203918214, '금융_긍정': 0.3062904609161509, '금융_부정': 0.29260009856555685}"
2014-01-19,"{'성장_긍정': 0.2502551991965859, '성장_부정': 0.32033692446521267, '민감_긍정': 0.28797325237508753, '민감_부정': 0.2982187294233451, '방어_긍정': 0.29039319845775013, '방어_부정': 0.2992629272513421, '금융_긍정': 0.3348564948771751, '금융_부정': 0.3346070857934056}","{'성장_긍정': 0.24199166613687986, '성장_부정': 0.2799913262272771, '민감_긍정': 0.26847372341044146, '민감_부정': 0.2639625811160215, '방어_긍정': 0.2690433376317117, '방어_부정': 0.2657443288120834, '금융_긍정': 0.30293794498670057, '금융_부정': 0.29040881289663184}"
2014-01-20,"{'성장_긍정': 0.29642919794348993, '성장_부정': 0.28628484833327406, '민감_긍정': 0.3050317709564228, '민감_부정': 0.2576935089959738, '방어_긍정': 0.3147293873149001, '방어_부정': 0.27701010758657185, '금융_긍정': 0.33224211431420864, '금융_부정': 0.28423432052613573}","{'성장_긍정': 0.2434894309647234, '성장_부정': 0.2848503580528343, '민감_긍정': 0.27077317757903807, '민감_부정': 0.2676268814160966, '방어_긍정': 0.27193270188647256, '방어_부정': 0.2695157608694707, '금융_긍정': 0.3072621062088636, '금융_부정': 0.29572161068521596}"
2014-01-21,"{'성장_긍정': 0.25712153547771793, '성장_부정': 0.288942705187719, '민감_긍정': 0.29127577075180155, '민감_부정': 0.26371588115389943, '방어_긍정': 0.27719218223111874, '방어_부정': 0.257910890920365, '금융_긍정': 0.3207552597003009, '금융_부정': 0.2882322240008688}","{'성장_긍정': 0.25138311682993175, '성장_부정': 0.2852691446657122, '민감_긍정': 0.27567825715497796, '민감_부정': 0.2661686763985317, '방어_긍정': 0.27837562820014927, '방어_부정': 0.27053949462931887, '금융_긍정': 0.31139700910910056, '금융_부정': 0.2944657329983385}"
2014-01-22,"{'성장_긍정': 0.23775637039247452, '성장_부정': 0.33680313047813526, '민감_긍정': 0.20313564853663427, '민감_부정': 0.24886678271824492, '방어_긍정': 0.1941566777055623, '방어_부정': 0.2790538568719469, '금융_긍정': 0.27156816318050914, '금융_부정': 0.32991373258342443}","{'성장_긍정': 0.25308527770717265, '성장_부정': 0.2856924695645137, '민감_긍정': 0.27809254341824846, '민감_부정': 0.2654773755991088, '방어_긍정': 0.27902585488600923, '방어_부정': 0.26878776326954906, '금융_긍정': 0.31355108177169655, '금융_부정': 0.2937273714515568}"
2014-01-23,"{'성장_긍정': 0.2234749342291295, '성장_부정': 0.32317014232184943, '민감_긍정': 0.2633345856143429, '민감_부정': 0.3029832775016926, '방어_긍정': 0.25284615377038694, '방어_부정': 0.29445144559820435, '금융_긍정': 0.2673659067434308, '금융_부정': 0.29525646608219686}","{'성장_긍정': 0.251703514251088, '성장_부정': 0.29266411408054605, '민감_긍정': 0.26844686026125475, '민감_부정': 0.2629598051749563, '방어_긍정': 0.2681090799526504, '방어_부정': 0.2700897789465816, '금융_긍정': 0.30834375410977805, '금융_부정': 0.29854242814278176}"
2014-01-24,"{'성장_긍정': 0.2200761658458849, '성장_부정': 0.2683513295197779, '민감_긍정': 0.22809984308623021, '민감_부정': 0.240822689804055, '방어_긍정': 0.22868140507958934, '방어_부정': 0.25461177747613656, '금융_긍정': 0.2386730978975015, '금융_부정': 0.2611136253570272}","{'성장_긍정': 0.2481521561596039, '성장_부정': 0.2976538619710743, '민감_긍정': 0.26718336506111623, '민감_부정': 0.2680747507125695, '방어_긍정': 0.2652388117742545, '방어_부정': 0.2734353962300438, '금융_긍정': 0.3025816710055042, '금융_부정': 0.29866110498892673}"
2014-01-25,"{'성장_긍정': 0.1920263647891812, '성장_부정': 0.3003963157044049, '민감_긍정': 0.237817122346868, '민감_부정': 0.3092570466815077, '방어_긍정': 0.24944098015358163, '방어_부정': 0.3004227155988019, '금융_긍정': 0.26322799433969535, '금융_부정': 0.3291762096360615}","{'성장_긍정': 0.24453525190769135, '성장_부정': 0.2946955072697433, '민감_긍정': 0.26150292142769327, '민감_부정': 0.26432780910179005, '방어_긍정': 0.2595351301741035, '방어_부정': 0.27107689830202675, '금융_긍정': 0.29357030014109875, '금융_부정': 0.2938801208823336}"
2014-01-26,"{'성장_긍정': 0.26630383677002595, '성장_부정': 0.32082874268137906, '민감_긍정': 0.2994995141478119, '민감_부정': 0.3158013075708913, '방어_긍정': 0.3120997048631067, '방어_부정': 0.30594397073632135, '금융_긍정': 0.34324014748108816, '금융_부정': 0.33745834399487584}","{'성장_긍정': 0.23691022759141803, '성장_부정': 0.29551546180126576, '민감_긍정': 0.25731017527599204, '민감_부정': 0.26975782316454694, '방어_긍정': 0.25675596560415176, '방어_부정': 0.27465883428537186, '금융_긍정': 0.2881716336188526, '금융_부정': 0.29823877082040634}"
2014-01-27,"{'성장_긍정': 0.24234061335556542, '성장_부정': 0.2926954589636937, '민감_긍정': 0.2823846292109459, '민감_부정': 0.28734059223593783, '방어_긍정': 0.2650906069342384, '방어_부정': 0.26754402493024876, '금융_긍정': 0.2809865885836984, '금융_부정': 0.2924378497774431}","{'성장_긍정': 0.23968962288439913, '성장_부정': 0.298999521530903, '민감_긍정': 0.2619790770556171, '민감_부정': 0.2760876000314788, '방어_긍정': 0.2629784421149477, '방어_부정': 0.2790400859637969, '금융_긍정': 0.2937714181669775, '금융_부정': 0.3033485557738078}"
2014-01-28,"{'성장_긍정': 0.2309013556058664, '성장_부정': 0.32686191312890617, '민감_긍정': 0.26778075850643324, '민감_부정': 0.29595851696368447, '방어_긍정': 0.2723863713256022, '방어_부정': 0.30505726903786246, '금융_긍정': 0.29029472825922914, '금융_부정': 0.34407928531615867}","{'성장_긍정': 0.23933978870638772, '성장_부정': 0.29875327696104714, '민감_긍정': 0.26429323777463615, '민감_부정': 0.2785215599918952, '방어_긍정': 0.2628959487752531, '방어_부정': 0.27830149736325055, '금융_긍정': 0.29102137224429553, '금융_부정': 0.30239690515182077}"
2014-01-29,"{'성장_긍정': 0.2059746908993755, '성장_부정': 0.26825681106824534, '민감_긍정': 0.2297126578937501, '민감_부정': 0.25847595930312606, '방어_긍정': 0.23045425374883868, '방어_부정': 0.24971506562744095, '금융_긍정': 0.24192173856088933, '금융_부정': 0.25019827020757546}","{'성장_긍정': 0.23762447879511395, '성장_부정': 0.303220242434039, '민감_긍정': 0.2646787853291861, '민감_부정': 0.2821461975031684, '방어_긍정': 0.26402224636614785, '방어_부정': 0.2827870737544618, '금융_긍정': 0.2901368016814651, '금융_부정': 0.3086219821255744}"
2014-01-30,"{'성장_긍정': 0.18670841260358328, '성장_부정': 0.26664848135531277, '민감_긍정': 0.2088957387930848, '민감_부정': 0.2668808352728717, '방어_긍정': 0.23175288475057407, '방어_부정': 0.2730143379386688, '금융_긍정': 0.232553131558086, '금융_부정': 0.2843341444870535}","{'성장_긍정': 0.23314210001683874, '성장_부정': 0.29941690897953804, '민감_긍정': 0.26002679807770435, '민감_부정': 0.280080889082356, '방어_긍정': 0.25968623251703793, '방어_부정': 0.27929213259446395, '금융_긍정': 0.2831763301746208, '금융_부정': 0.30167015288554283}"
2014-01-31,"{'성장_긍정': 0.21487046753691477, '성장_부정': 0.2668503477229225, '민감_긍정': 0.3100978790170779, '민감_부정': 0.2988413996632198, '방어_긍정': 0.2927724969328001, '방어_부정': 0.27604936343338005, '금융_긍정': 0.3041602200722974, '금융_부정': 0.28115838828300777}","{'성장_긍정': 0.22651610880438353, '성장_부정': 0.29563445023378926, '민감_긍정': 0.2530337839482658, '민감_부정': 0.279089216701304, '방어_긍정': 0.255866582280617, '방어_부정': 0.2789821871310174, '금융_긍정': 0.2758948476480598, '금융_부정': 0.29980872515978724}"
2014-02-01,"{'성장_긍정': 0.20691471089859295, '성장_부정': 0.319861015038311, '민감_긍정': 0.22004077505256872, '민감_부정': 0.3030513563856336, '방어_긍정': 0.25136373810531315, '방어_부정': 0.3164830482826515, '금융_긍정': 0.25107642210305414, '금융_부정': 0.3353055397001344}","{'성장_긍정': 0.22394852670306994, '성장_부정': 0.29197385329261666, '민감_긍정': 0.2598854206292074, '민감_부정': 0.2823050354165033, '방어_긍정': 0.2602388337982194, '방어_부정': 0.27879678183795803, '금융_긍정': 0.2785054988787603, '금융_부정': 0.2973225578851258}"
2014-02-02,"{'성장_긍정': 0.2539086688926508, '성장_부정': 0.3262559985192479, '민감_긍정': 0.29804274905409667, '민감_부정': 0.3313548880771052, '방어_긍정': 0.3066653556833355, '방어_부정': 0.3221651698158976, '금융_긍정': 0.31679100700902435, '금융_부정': 0.3400064171354121}","{'성장_긍정': 0.22061308814235359, '성장_부정': 0.2952657503774128, '민감_긍정': 0.2542390027157965, '민감_부정': 0.285432343769622, '방어_긍정': 0.2586486124516345, '방어_부정': 0.2837579143153447, '금융_긍정': 0.273885909235736, '금융_부정': 0.3021004994468009}"
2014-02-03,"{'성장_긍정': 0.23301729354852788, '성장_부정': 0.2954097028740815, '민감_긍정': 0.2647016371175962, '민감_부정': 0.2649886422795964, '방어_긍정': 0.26505459650498175, '방어_부정': 0.2639240434796956, '금융_긍정': 0.30562870896794886, '금융_부정': 0.30814973777928106}","{'성장_긍정': 0.22369468346571286, '성장_부정': 0.29889713907551113, '민감_긍정': 0.2593582269107326, '민감_부정': 0.2920138728115781, '방어_긍정': 0.26464818329157097, '방어_부정': 0.28903202456422683, '금융_긍정': 0.2782873577162615, '금융_부정': 0.30698225520061423}"
2014-02-04,"{'성장_긍정': 0.22024612556017223, '성장_부정': 0.2817657460527126, '민감_긍정': 0.26223467051037075, '민감_부정': 0.26771409910419236, '방어_긍정': 0.2725448023166896, '방어_부정': 0.2682276988738111, '금융_긍정': 0.26394760896198116, '금융_부정': 0.28025490345057374}","{'성장_긍정': 0.22395596712703605, '성장_부정': 0.298359316220406, '민감_긍정': 0.2599360695457638, '민감_부정': 0.2894309866171638, '방어_긍정': 0.264944679981769, '방어_부정': 0.28632253470576247, '금융_긍정': 0.28137255205672124, '금융_부정': 0.30756503150368625}"
2014-02-05,"{'성장_긍정': 0.18483732398414754, '성장_부정': 0.29010112837575525, '민감_긍정': 0.21304331085316114, '민감_부정': 0.2951321811509227, '방어_긍정': 0.2183534918084352, '방어_부정': 0.3075750102263802, '금융_긍정': 0.23746897820847943, '금융_부정': 0.326046380241106}","{'성장_긍정': 0.22311835128891147, '성장_부정': 0.2959153957458726, '민감_긍정': 0.26056907981258237, '민감_부정': 0.28714201720618504, '방어_긍정': 0.26671296402600353, '방어_부정': 0.2843114947484837, '금융_긍정': 0.27915372739968297, '금융_부정': 0.30420073068432923}"
2014-02-06,"{'성장_긍정': 0.25355647176688234, '성장_부정': 0.2878397200656722, '민감_긍정': 0.2690027584225242, '민감_부정': 0.24998957372103456, '방어_긍정': 0.26171357421490926, '방어_부정': 0.2499163273812457, '금융_긍정': 0.31261672770734383, '금융_부정': 0.29514161536688494}","{'성장_긍정': 0.21791075628748408, '성장_부정': 0.29465121157284013, '민감_긍정': 0.25491982403216756, '민감_부정': 0.28847071380191036, '방어_긍정': 0.26130000076356064, '방어_부정': 0.28744850765770524, '금융_긍정': 0.2739454438873047, '금융_부정': 0.3070179345851412}"
2014-02-07,"{'성장_긍정': 0.22135398540277365, '성장_부정': 0.27072685806478414, '민감_긍정': 0.24257040728781176, '민감_부정': 0.23546895159100767, '방어_긍정': 0.2435351010992335, '방어_부정': 0.23447704680911255, '금융_긍정': 0.27430262744200024, '금융_부정': 0.26278822168286553}","{'성장_긍정': 0.22236970524192914, '성장_부정': 0.2935302872642003, '민감_긍정': 0.256637469238939, '민감_부정': 0.28333977323143467, '방어_긍정': 0.26143793597338216, '방어_부정': 0.28262606615562846, '금융_긍정': 0.27908161445069907, '금융_부정': 0.3057513350964601}"
2014-02-08,"{'성장_긍정': 0.2549611441767133, '성장_부정': 0.2826432192360238, '민감_긍정': 0.2784830544384313, '민감_부정': 0.263666537792527, '방어_긍정': 0.295567103664424, '방어_부정': 0.2798215226934198, '금융_긍정': 0.28517144931191085, '금융_부정': 0.2729629210103318}","{'성장_긍정': 0.22224849851413353, '성장_부정': 0.2904641282340722, '민감_긍정': 0.25477681836290894, '민감_부정': 0.2767774516510568, '방어_긍정': 0.259067623144499, '방어_부정': 0.2761691978936192, '금융_긍정': 0.2786782781123913, '금융_부정': 0.30017204359957933}"
2014-02-09,"{'성장_긍정': 0.26566544041578766, '성장_부정': 0.30568391168696146, '민감_긍정': 0.33085603589065954, '민감_부정': 0.32681073112067266, '방어_긍정': 0.33710507996118944, '방어_부정': 0.32137082426487296, '금융_긍정': 0.3559234187784908, '금융_부정': 0.3221251622973767}","{'성장_긍정': 0.22659607657946426, '성장_부정': 0.28896419327872847, '민감_긍정': 0.25756670554313693, '민감_부정': 0.27402579621386297, '방어_긍정': 0.26349344688602566, '방어_부정': 0.27595001908920364, '금융_긍정': 0.2793847891706002, '금융_부정': 0.29593343014325757}"
2014-02-10,"{'성장_긍정': 0.2567792512346273, '성장_부정': 0.3037233220326539, '민감_긍정': 0.28227543287538986, '민감_부정': 0.29123331230256694, '방어_긍정': 0.25817109064600285, '방어_부정': 0.2591237017504627, '금융_긍정': 0.3165376006026546, '금융_부정': 0.3046947792985983}","{'성장_긍정': 0.23177151529202844, '성장_부정': 0.29070542775939906, '민감_긍정': 0.2669523623256471, '민감_부정': 0.2801275618765074, '방어_긍정': 0.273018371052732, '방어_부정': 0.2814669489981758, '금융_긍정': 0.2893159108722368, '금융_부정': 0.29878514684545343}"
2014-02-11,"{'성장_긍정': 0.26127973244768976, '성장_부정': 0.23182695796684857, '민감_긍정': 0.27327161198951194, '민감_부정': 0.20218221173183148, '방어_긍정': 0.26935692460770844, '방어_부정': 0.2050413088763869, '금융_긍정': 0.28703820849255657, '금융_부정': 0.21608545584909006}","{'성장_긍정': 0.2357682087457163, '성장_부정': 0.2923294867718231, '민감_긍정': 0.2695619718323799, '민감_부정': 0.2813808200438827, '방어_긍정': 0.27178061688124133, '방어_부정': 0.2785373401573357, '금융_긍정': 0.2938747970904533, '금융_부정': 0.2994588427830265}"
2014-02-12,"{'성장_긍정': 0.23211646421119142, '성장_부정': 0.31921317457933995, '민감_긍정': 0.2519059705702695, '민감_부정': 0.2796604354202075, '방어_긍정': 0.2438306299243099, '방어_부정': 0.28268098993797186, '금융_긍정': 0.3246396900279406, '금융_부정': 0.3474267111226146}","{'성장_긍정': 0.24022745552420238, '성장_부정': 0.284262336641483, '민감_긍정': 0.2709721118527629, '민감_부정': 0.27072352461071586, '방어_긍정': 0.2721002073931041, '방어_부정': 0.2684769391540454, '금융_긍정': 0.2941618499604762, '금융_부정': 0.2882012295985589}"
2014-02-13,"{'성장_긍정': 0.2118878022959627, '성장_부정': 0.317979241474617, '민감_긍정': 0.23912644557645835, '민감_부정': 0.30195514493357, '방어_긍정': 0.23206455235930662, '방어_부정': 0.2929944703086165, '금융_긍정': 0.2407060588493114, '금융_부정': 0.304176333334917}","{'성장_긍정': 0.24050894866313802, '성장_부정': 0.28875177687054226, '민감_긍정': 0.26948120584121754, '민감_부정': 0.2712897666715406, '방어_긍정': 0.2690451438206841, '방어_부정': 0.2697210285795519, '금융_긍정': 0.2994934481758519, '금융_부정': 0.2956747726359618}"
2014-02-14,"{'성장_긍정': 0.27766668297638203, '성장_부정': 0.281594830693742, '민감_긍정': 0.2259407381053698, '민감_부정': 0.18984915379585554, '방어_긍정': 0.23451850849319528, '방어_부정': 0.23943414044925476, '금융_긍정': 0.28780190717859777, '금융_부정': 0.27581136960691766}","{'성장_긍정': 0.23784431761040684, '성장_부정': 0.29259139398553285, '민감_긍정': 0.2660749982811972, '민감_부정': 0.27462687975207956, '방어_긍정': 0.2642938758474497, '방어_부정': 0.27202628753723446, '금융_긍정': 0.2928461055534385, '금융_부정': 0.29645561348343336}"
2014-02-15,"{'성장_긍정': 0.2391115506627306, '성장_부정': 0.24306411230409541, '민감_긍정': 0.2745769210366884, '민감_부정': 0.24283277898828856, '방어_긍정': 0.27754979255391926, '방어_부정': 0.2535095434434076, '금융_긍정': 0.28052182344990206, '금융_부정': 0.24578732033106607}","{'성장_긍정': 0.24371040027037552, '성장_부정': 0.2910908919476515, '민감_긍정': 0.26062278489852336, '민감_부정': 0.2626824863032023, '방어_긍정': 0.2598668337624601, '방어_부정': 0.2669998822053836, '금융_긍정': 0.2924005624483468, '금융_부정': 0.29326548594004914}"
2014-02-16,"{'성장_긍정': 0.2812954583706557, '성장_부정': 0.29708484563800186, '민감_긍정': 0.32942848438276706, '민감_부정': 0.29847705827056475, '방어_긍정': 0.3321146211779027, '방어_부정': 0.3055602282372926, '금융_긍정': 0.34560326432517385, '금융_부정': 0.2969337291419777}","{'성장_긍정': 0.2438377394271958, '성장_부정': 0.28431253714380944, '민감_긍정': 0.26245689248680354, '민감_부정': 0.2588405976025291, '방어_긍정': 0.2617320961088014, '방어_부정': 0.2641989136821258, '금융_긍정': 0.29114013496889285, '금융_부정': 0.28612307581394264}"
2014-02-17,"{'성장_긍정': 0.23075057189855142, '성장_부정': 0.2848461933512588, '민감_긍정': 0.2835689113425073, '민감_부정': 0.2618129637782852, '방어_긍정': 0.2731405747963357, '방어_부정': 0.26308594407251795, '금융_긍정': 0.3436455750223324, '금융_부정': 0.3236761147798686}","{'성장_긍정': 0.24928296304255712, '성장_부정': 0.28546834585814745, '민감_긍정': 0.27108514998804545, '민감_부정': 0.2629914564004199, '방어_긍정': 0.2706232779435918, '방어_부정': 0.268937784129855, '금융_긍정': 0.2982768005456956, '금융_부정': 0.286652741332806}"
2014-02-18,"{'성장_긍정': 0.23368078560782488, '성장_부정': 0.2723073367281283, '민감_긍정': 0.2318632905309821, '민감_부정': 0.2174244597803029, '방어_긍정': 0.22938543926777624, '방어_부정': 0.22758670457593164, '금융_긍정': 0.2645094227725269, '금융_부정': 0.2505833419799733}","{'성장_긍정': 0.2477280418951807, '성장_부정': 0.2852701547712173, '민감_긍정': 0.27329988598555105, '민감_부정': 0.2625668914546404, '방어_긍정': 0.27140887963708227, '방어_부정': 0.2681715589896961, '금융_긍정': 0.30487803843148953, '금융_부정': 0.29115827434618274}"
2014-02-19,"{'성장_긍정': 0.21231458678337986, '성장_부정': 0.2717813338841681, '민감_긍정': 0.24834946122286672, '민감_부정': 0.2316806910129753, '방어_긍정': 0.2587288600105891, '방어_부정': 0.25234515327070783, '금융_긍정': 0.2931684607375272, '금융_부정': 0.27820426643974167}","{'성장_긍정': 0.24658540373427862, '성장_부정': 0.2835007209871347, '민감_긍정': 0.2684408508822351, '민감_부정': 0.2562541038662853, '방어_긍정': 0.26628345394303754, '방어_부정': 0.26268008381577507, '금융_긍정': 0.3005657239596486, '금융_부정': 0.285770234062425}"
2014-02-20,"{'성장_긍정': 0.19365121082009676, '성장_부정': 0.29629479104639783, '민감_긍정': 0.19860994946424362, '민감_부정': 0.27463122269123236, '방어_긍정': 0.21871727707756564, '방어_부정': 0.2848168011060998, '금융_긍정': 0.2516833168259362, '금융_부정': 0.32081067655313883}","{'성장_긍정': 0.24246598992013954, '성장_부정': 0.28175123357932963, '민감_긍정': 0.26606922310906944, '민감_부정': 0.25232109605489494, '방어_긍정': 0.2654815259008813, '방어_부정': 0.26087679222304205, '금융_긍정': 0.3000692639420882, '금융_부정': 0.2843475700063564}"
2014-02-21,"{'성장_긍정': 0.1772744119133618, '성장_부정': 0.26079265302065796, '민감_긍정': 0.17812704370820848, '민감_부정': 0.19874022407621447, '방어_긍정': 0.17321118315110173, '방어_부정': 0.25787730956422855, '금융_긍정': 0.16275709317404274, '금융_부정': 0.25999138471794214}","{'성장_긍정': 0.2355964377604272, '성장_부정': 0.28344468135974177, '민감_긍정': 0.25672941138361394, '민감_부정': 0.25471912570668126, '방어_긍정': 0.258960192818111, '방어_부정': 0.26392905231270103, '금융_긍정': 0.29351098014080096, '금융_부정': 0.28906139981113466}"
2014-02-22,"{'성장_긍정': 0.3128908451667663, '성장_부정': 0.2956716180020583, '민감_긍정': 0.3468494089968194, '민감_부정': 0.26562823124470447, '방어_긍정': 0.34911956252374193, '방어_부정': 0.2667643103287324, '금융_긍정': 0.3481566369400183, '금융_부정': 0.2644312726865571}","{'성장_긍정': 0.22711383870788146, '성장_부정': 0.28032398625119126, '민감_긍정': 0.24532895326171836, '민감_부정': 0.2467636731719871, '방어_긍정': 0.24678086908931068, '방어_부정': 0.26305699473273103, '금융_긍정': 0.27567618471813177, '금융_부정': 0.2854215234551605}"
2014-02-23,"{'성장_긍정': 0.2751588707863297, '성장_부정': 0.31280481498676427, '민감_긍정': 0.3233488812032381, '민감_부정': 0.29990145555164965, '방어_긍정': 0.31207570871737833, '방어_부정': 0.29905902845685883, '금융_긍정': 0.3603098645334263, '금융_부정': 0.3155746404766505}","{'성장_긍정': 0.23713323621759358, '성장_부정': 0.2819484312834381, '민감_긍정': 0.2570385568314433, '민감_부정': 0.24807641899799443, '방어_긍정': 0.25872574754303507, '방어_부정': 0.2631470109427413, '금융_긍정': 0.28362366688585894, '금융_부정': 0.28240026870419144}"
