Date,category_scores,weighted_avg_scores
2014-01-01,"{'성장_긍정': 0.2883283755426044, '성장_부정': 0.32853914245329874, '민감_긍정': 0.3337890509704105, '민감_부정': 0.3114124585871458, '방어_긍정': 0.3277467425152509, '방어_부정': 0.30328356138229934, '금융_긍정': 0.40281988516233064, '금융_부정': 0.3409732575344354}",
2014-01-02,"{'성장_긍정': 0.24737788746234707, '성장_부정': 0.31971663930350686, '민감_긍정': 0.27134394752364777, '민감_부정': 0.3097219794144913, '방어_긍정': 0.27498702641996137, '방어_부정': 0.2812866761655621, '금융_긍정': 0.3020549907601687, '금융_부정': 0.3174156206052521}",
2014-01-03,"{'성장_긍정': 0.19390807615376254, '성장_부정': 0.2788207974009375, '민감_긍정': 0.22880578626070588, '민감_부정': 0.26166889065345833, '방어_긍정': 0.21158958169241135, '방어_부정': 0.25025827223284697, '금융_긍정': 0.23704856581219308, '금융_부정': 0.2697263872949272}",
2014-01-04,"{'성장_긍정': 0.2595863469264103, '성장_부정': 0.32121828726173923, '민감_긍정': 0.2801947187652897, '민감_부정': 0.296214760208728, '방어_긍정': 0.3000492690484198, '방어_부정': 0.3048716157156936, '금융_긍정': 0.2922787185218825, '금융_부정': 0.30933574864220015}",
2014-01-05,"{'성장_긍정': 0.2753909256632346, '성장_부정': 0.3308402429810247, '민감_긍정': 0.3227446600074357, '민감_부정': 0.32770875705434266, '방어_긍정': 0.32281057064381635, '방어_부정': 0.3222940813165057, '금융_긍정': 0.3515856989564634, '금융_부정': 0.3501148746117261}",
2014-01-06,"{'성장_긍정': 0.19662634872770918, '성장_부정': 0.24955137239302638, '민감_긍정': 0.23608247599084076, '민감_부정': 0.253905241689917, '방어_긍정': 0.2320167975670719, '방어_부정': 0.25297530335358615, '금융_긍정': 0.2850709039566154, '금융_부정': 0.28260286658992606}",
2014-01-07,"{'성장_긍정': 0.20442179167195226, '성장_부정': 0.30647031093113153, '민감_긍정': 0.2589406926363938, '민감_부정': 0.27984494865646276, '방어_긍정': 0.22515407557094266, '방어_부정': 0.2825528064624622, '금융_긍정': 0.23642757690336494, '금융_부정': 0.2878000188357865}",
2014-01-08,"{'성장_긍정': 0.20988903996235586, '성장_부정': 0.3195658189882054, '민감_긍정': 0.2404802649185158, '민감_부정': 0.2926500317353648, '방어_긍정': 0.21738722206912742, '방어_부정': 0.2780657833794639, '금융_긍정': 0.27215043185229354, '금융_부정': 0.3219955798672156}",
2014-01-09,"{'성장_긍정': 0.26417534474956955, '성장_부정': 0.25608274940562614, '민감_긍정': 0.29284139551305133, '민감_부정': 0.24273335468740415, '방어_긍정': 0.2936442261572662, '방어_부정': 0.2532747021018268, '금융_긍정': 0.3278900157726183, '금융_부정': 0.258791836197068}",
2014-01-10,"{'성장_긍정': 0.19192077388185463, '성장_부정': 0.21644399238461606, '민감_긍정': 0.24826616901808501, '민감_부정': 0.24632203924102872, '방어_긍정': 0.24512164221461408, '방어_부정': 0.2370042044518452, '금융_긍정': 0.27423850363352315, '금융_부정': 0.26789902014045797}",
