link,성장_긍정,성장_부정,민감_긍정,민감_부정,방어_긍정,방어_부정,금융_긍정,금융_부정
https://n.news.naver.com/mnews/article/057/0001472765,0.19591399038045812,0.19267243454171012,0.11978180287963315,0.12960654870383367,0.26839544498864965,0.27202293099858355,0.2277099156778834,0.22004091308715112
https://n.news.naver.com/mnews/article/057/0001472764,0.2314651588048167,0.2569590830041667,0.1224084759741758,0.14620314501597623,0.3214481412577982,0.2836732599136642,0.2514644359655794,0.2424368709552144
https://n.news.naver.com/mnews/article/057/0001472763,0.1360579716592217,0.2567691895604377,0.20869737051401202,0.3471531565770945,0.2807869908415025,0.2873815390068154,0.24509114589725217,0.3808284517781728
https://n.news.naver.com/mnews/article/057/0001472758,0.06513524592531626,0.2760014028503452,0.19132049764885006,0.23469538100167242,0.09158385243772842,0.20530258434671125,0.2182408908960537,0.31204511669982965
https://n.news.naver.com/mnews/article/001/0011717732,0.15298624193566276,0.3607216468080533,0.16960528806567854,0.2522467521904611,0.0377963695812547,0.25243292892178,0.2086498549065369,0.31292132315774
https://n.news.naver.com/mnews/article/009/0004606867,0.20896299212740901,0.3016195047630197,0.3033044542709955,0.2836884899381321,0.23485198232404647,0.2374612435160422,0.28591828064266495,0.2969123589222891
https://n.news.naver.com/mnews/article/001/0011717664,0.3756022905220215,0.24500696145692344,0.32197961973253847,0.21508054116366565,0.36671083022518064,0.21073140412998648,0.46442333365276595,0.278370800224773
https://n.news.naver.com/mnews/article/215/0000882849,0.19661399612888372,0.24601826100556617,0.16310590452662113,0.19403796713401308,0.29040353580713135,0.26416037601629194,0.20368216749190127,0.18602876756890974
https://n.news.naver.com/mnews/article/018/0004678469,0.21180221600866,0.42994223965594097,0.2562521834680204,0.4293535430460616,0.28682795683995094,0.45050604172003855,0.3412930673034617,0.511451805369944
https://n.news.naver.com/mnews/article/018/0004678466,0.21105944591978665,0.2796991905987636,0.24351795653034994,0.2771226209239436,0.21003011146938194,0.2650632690131819,0.21306434709687666,0.2591666149009693
https://n.news.naver.com/mnews/article/011/0003762131,0.41054293717024243,0.3708173896264309,0.4757588884500802,0.3327553246107844,0.4473135008006904,0.37494181156229484,0.40355377704847456,0.3613840279823716
https://n.news.naver.com/mnews/article/018/0004678465,0.07088066629616074,0.30913539070756124,0.20110376793161366,0.30381325779467616,0.16532012731672358,0.2637026686119657,0.22900580239651608,0.35527034861472656
