date,link,성장_긍정,성장_부정,민감_긍정,민감_부정,방어_긍정,방어_부정,금융_긍정,금융_부정
2021-01-01,https://n.news.naver.com/mnews/article/016/0001773227,0.3651640250748495,0.2780238058515574,0.5683467156570796,0.3263316514349899,0.4907140440112244,0.3117796347672881,0.5075772878416666,0.2308937144057476
2021-01-01,https://n.news.naver.com/mnews/article/016/0001773226,0.2819259294576678,0.2631592459791386,0.4631108704347492,0.3374159952151047,0.3921079188195797,0.3120098804644504,0.4671695309562544,0.2848922886165227
2021-01-01,https://n.news.naver.com/mnews/article/021/0002455122,0.2943822783081165,0.3399805645309578,0.3245118226096216,0.2729044976476281,0.2902070582764404,0.2643108416892807,0.3790457856542909,0.3059027893316369
2021-01-01,https://n.news.naver.com/mnews/article/277/0004821078,0.2095289224278038,0.2192169376908161,0.279838755537573,0.2631599174683645,0.3046468363269374,0.2605535910994428,0.37352429321207,0.2653228640568921
2021-01-01,https://n.news.naver.com/mnews/article/021/0002455117,0.2177318993336997,0.3301178284521432,0.2748394986214613,0.3027386208799131,0.3070894518995347,0.3269774820366223,0.3645475204280431,0.3552702890535908
2021-01-01,https://n.news.naver.com/mnews/article/015/0004476825,0.1575718340936003,0.2936443914968945,0.1897662605770727,0.2650615023028563,0.2130436575440595,0.2878137506478811,0.2230337305805321,0.3008351102713646
2021-01-01,https://n.news.naver.com/mnews/article/277/0004821072,0.4724181001647495,0.3423738806371748,0.5742085369314022,0.3522594726997305,0.4498943388515777,0.2445308204823779,0.4635594577295716,0.2600865972976992
2021-01-01,https://n.news.naver.com/mnews/article/009/0004726691,0.342666912408877,0.3658774450621953,0.3145047994616841,0.3058948882795978,0.3565258539124383,0.3368646121729332,0.3592693022671021,0.3384231905769992
2021-01-01,https://n.news.naver.com/mnews/article/009/0004726690,0.2242789263464299,0.2897979872424006,0.2159240612895278,0.2819643302525307,0.3070374374900942,0.3153045527146604,0.2465525810460472,0.2950519962158009
2021-01-01,https://n.news.naver.com/mnews/article/009/0004726689,0.3542588351956219,0.3333493284670257,0.3461584048785991,0.3029781887648494,0.3549979202073667,0.2814808394901352,0.4025585558693069,0.3032543795770093
2021-01-01,https://n.news.naver.com/mnews/article/009/0004726688,0.4540891188148018,0.2940241427470448,0.3052176611977963,0.2307464657977298,0.3057991762767134,0.2157144282180779,0.3239950177218189,0.2127154916878646
2021-01-01,https://n.news.naver.com/mnews/article/009/0004726687,0.3422102897820896,0.2679873476874236,0.3294621683762755,0.2266914206410884,0.3791075502925919,0.2339164766583953,0.3265628755663584,0.2139835567067912
2021-01-01,https://n.news.naver.com/mnews/article/277/0004821068,0.3891998782349266,0.2993850140215521,0.3797528404334847,0.2626707291101449,0.3833167206933963,0.1745851568111898,0.4077731638028888,0.1969346192604616
2021-01-01,https://n.news.naver.com/mnews/article/215/0000926477,0.2829575714259942,0.2542219559102865,0.2893466540146044,0.1757341166828875,0.3286518982308681,0.2022690621445248,0.3412486575442188,0.2246523874559526
2021-01-01,https://n.news.naver.com/mnews/article/015/0004476770,0.3948848302737435,0.2877972370973792,0.4054524911000179,0.2776020507839731,0.4077422618302598,0.2761772190738644,0.4004166579101292,0.255438308519637
2021-01-01,https://n.news.naver.com/mnews/article/215/0000926474,0.3585165298886043,0.2898256755317878,0.3279039696691153,0.2434735224691158,0.3270969245626713,0.231807812061649,0.3174315071572711,0.2094241446818842
2021-01-01,https://n.news.naver.com/mnews/article/015/0004476768,0.2631471377750216,0.2698368352388962,0.3145017541950179,0.2692395023214374,0.3850089993419744,0.3066002956827789,0.3249542787591632,0.2838462185773329
2021-01-01,https://n.news.naver.com/mnews/article/015/0004476767,0.2896222207051512,0.3358216402207172,0.3290584602620853,0.2569374453415193,0.297198402658774,0.2534290333759365,0.3611418203566263,0.3056450503485652
2021-01-01,https://n.news.naver.com/mnews/article/015/0004476766,0.3202435003027761,0.2942362709060176,0.4650125077583995,0.3571613778055597,0.3725810005399831,0.3331706974933153,0.3529262377833698,0.2337102670323438
2021-01-01,https://n.news.naver.com/mnews/article/215/0000926473,0.2541340016204846,0.1785743751568366,0.2659021467644144,0.1754352928105744,0.2334838832151394,0.1382633164490106,0.3036462695277713,0.2356921756982199
2021-01-01,https://n.news.naver.com/mnews/article/009/0004726636,0.3612905683429468,0.3961669576796278,0.4184582229972109,0.3417025854451787,0.4232079681863016,0.3613676448831909,0.4883108452197219,0.3719882039637739
2021-01-01,https://n.news.naver.com/mnews/article/277/0004821050,0.3997114699359093,0.3259011084115741,0.578724557953483,0.358216156213393,0.4937876543075546,0.3384371376571598,0.5311612891597365,0.2605026681034181
2021-01-01,https://n.news.naver.com/mnews/article/277/0004821031,0.4792949967272558,0.38307327911814,0.3679676719756976,0.2332342833187984,0.4192370400786328,0.301930149310398,0.3869960731420425,0.2346713694262862
2021-01-01,https://n.news.naver.com/mnews/article/031/0000576977,0.4181050265808436,0.3025823019099755,0.3879036705369207,0.2452072522538949,0.3728816792121994,0.2035583119160206,0.4351207826306095,0.2240136280837704
2021-01-01,https://n.news.naver.com/mnews/article/417/0000639112,0.2541434069386873,0.2878921355890037,0.2996483107376361,0.2188441654341743,0.2488191104560002,0.2028017721278066,0.3443690500785367,0.2400561128677179
2021-01-01,https://n.news.naver.com/mnews/article/629/0000060554,0.3003968033549968,0.3326289218447634,0.3258636606791261,0.2646441589926462,0.2952883245151813,0.2508006753881834,0.3575725310399497,0.2803221682587156
