date,KOSPI_1001,KOSPI_1005,KOSPI_1008,KOSPI_1011,KOSPI_1012,KOSPI_1013,KOSPI_1014,KOSPI_1015,KOSPI_1017,KOSPI_1018,KOSPI_1020,KOSPI_1021,KOSPI_1024,KOSPI_1026,KOSPI_1035,KOSPI_1155,KOSPI_1156,year_key,month_key,국고채 금리 (3년),국고채 금리 (10년),기업경기실사지수(BSI),기준금리,무역수지,산업생산지수(IPI),생산자물가 상승률 (PPI),소비심리지수(CSI),소비자물가 상승률 (CPI),수출입 물량지수,외환보유액,원달러 환율,통화량 (M2)
2014-01-02,1967.19,3837.31,4071.75,5093.8,932.94,10259.32,1808.19,2553.37,1174.31,127.99,331.56,448.55,1509.39,1039.84,1687.64,1473.91,753.46,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,89.0,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-02,1967.19,3837.31,4071.75,5093.8,932.94,10259.32,1808.19,2553.37,1174.31,127.99,331.56,448.55,1509.39,1039.84,1687.64,1473.91,753.46,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-03,1946.14,3774.62,4034.17,5078.84,927.42,10194.44,1823.65,2532.4,1167.01,125.75,328.52,438.79,1499.88,1022.64,1666.21,1458.88,733.54,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,89.0,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-03,1946.14,3774.62,4034.17,5078.84,927.42,10194.44,1823.65,2532.4,1167.01,125.75,328.52,438.79,1499.88,1022.64,1666.21,1458.88,733.54,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-06,1953.28,3791.71,4037.53,5032.36,932.93,10279.95,1839.27,2552.89,1194.94,122.14,331.33,438.81,1490.04,1023.27,1674.05,1466.49,734.04,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,89.0,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-06,1953.28,3791.71,4037.53,5032.36,932.93,10279.95,1839.27,2552.89,1194.94,122.14,331.33,438.81,1490.04,1023.27,1674.05,1466.49,734.04,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-07,1959.44,3779.62,4042.91,5015.49,935.4,10289.69,1837.06,2584.2,1204.47,122.5,330.7,438.22,1498.63,1022.5,1676.1,1473.72,730.27,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,89.0,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-07,1959.44,3779.62,4042.91,5015.49,935.4,10289.69,1837.06,2584.2,1204.47,122.5,330.7,438.22,1498.63,1022.5,1676.1,1473.72,730.27,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-08,1958.96,3789.14,4029.45,4995.2,928.99,10242.71,1817.5,2584.89,1202.12,124.19,329.86,439.35,1496.68,1025.4,1671.88,1475.91,732.92,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,89.0,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-08,1958.96,3789.14,4029.45,4995.2,928.99,10242.71,1817.5,2584.89,1202.12,124.19,329.86,439.35,1496.68,1025.4,1671.88,1475.91,732.92,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-09,1946.11,3766.66,3999.16,4890.22,937.59,10146.81,1849.5,2542.83,1225.04,126.61,331.99,440.97,1524.11,1014.84,1654.47,1457.86,735.63,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,89.0,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-09,1946.11,3766.66,3999.16,4890.22,937.59,10146.81,1849.5,2542.83,1225.04,126.61,331.99,440.97,1524.11,1014.84,1654.47,1457.86,735.63,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-10,1938.54,3757.2,4009.54,4912.32,940.58,10127.22,1863.46,2501.83,1230.91,127.56,326.6,434.08,1512.34,1020.46,1645.7,1465.47,721.89,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,89.0,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
2014-01-10,1938.54,3757.2,4009.54,4912.32,940.58,10127.22,1863.46,2501.83,1230.91,127.56,326.6,434.08,1512.34,1020.46,1645.7,1465.47,721.89,2014,2014-01,2.892,3.647,74.0,2.5,5993.1,92.1,101.57,110.2,93.73,5993.1,348393811.0,1064.75,1937700.8
