기업명,year_key,month_key,(희망)공모가격 하한가,(희망)공모가격 상한가,단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,수요예측 시작일,수요예측 종료일,상장일,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,종가대비등락율,매출액,부채비율,유동비율,영업이익률,당기순이익률,ROE,EPS,EV/영업이익,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,부채비율 변화율,유동비율 변화율,영업이익률 변화율,당기순이익률 변화율,매출액 변화율,ROE 변화율,EPS 변화율,EV/영업이익 변화율
DSC인베스트먼트,2016,2016-12,2500,2800,11.2,0,"1,700",11,2016-12-05,2016-12-06,2016-12-19,17500000,1833938590,9424633533,1807552839,280075244,6500000000,2403479033,267465007,1696693373,1311509021,109.4,3480121402,0.22763502578301634,1.0145974991329147,0.48753855886318304,0.37685726142952525,0.1430069811002794,74.94337262857142,5.405186456162341,34.46,2,68.23,-0.11026109047971658,-0.04872958944364614,0.11614643479675574,0.08421033195985794,3480121401.0,-0.013265927101997727,0.6918485142857094,0.36289915104006454
GRT(그레이트리치과기),2016,2016-10,4000,6000,140.75,4.32,"5,000",7,2016-10-10,2016-10-11,2016-10-25,67500000,793157289,723506841,360476429,189137469,286411054,553308724,42799075,279633009,200645240,30.0,941632061,0.6227786478800583,2.200302780407315,0.29696632111595017,0.21308242179744558,0.22735518829760343,2.972522074074074,3.4582835390509996,38.42,6,75.0,-0.8676916250664344,1.02413694475356,-0.018562772504030434,-0.02022062557737822,941632060.0,-0.2724235897926798,0.0444652740740743,1.9788236649760407
ING생명보험,2017,2017-05,31500,40000,3.97,0.13,"33,000",0,2017-04-06,2017-04-21,2017-05-11,82000000,24660260,6008470,20091232,6430082,82000,1766107,1800991,321884,240741,-4.2,4265748,7.267909494346274,1.2274140281691037,0.07545780950961004,0.05643582321318559,0.06597274175700406,0.0029358658536585364,12.884815647873147,59.15,1,59.15,0.5466082382144837,-0.021227629694990924,-0.011742534566702392,-0.00871849809115778,4265747.0,-0.015016709478175821,-0.0007811341463414634,2.4396907967972172
JTC,2018,2018-04,6200,7600,478,24.17,"8,500",465,2018-03-20,2018-03-21,2018-04-06,35114625,154135415237,78548060055,59905678491,38714374965,6102640791,118545100027,4066918027,24908650677,19130774616,91.8,416562952262,0.7661913129471885,2.572968358252661,0.05979564563229219,0.04592529055240509,0.1486293386290799,544.8093099670009,5.3822032985428105,58.96,5,65.74,-0.3508909983692161,0.30659933492109426,0.009478607355536899,0.01794624571646939,416562952261.0,0.01964612943717417,119.93743108462638,0.8640425609426083
JW생명과학,2016,2016-10,27000,32500,225,7.41,"30,000",220,2016-10-10,2016-10-11,2016-10-27,7917277,36186829815,145344105206,75706826871,20993524053,39586385000,16909169240,0,11853577522,8398705961,43.2,67092448816,1.7116453183768252,0.47798634958852837,0.17667528509070005,0.1251810913033346,0.14866136059699978,1060.807391354376,7.156538516709926,50.0,6,56.06,-0.06916981287907009,0.006183125749949336,0.028553473321549394,0.023043732133684852,67092448815.0,-0.08739289046979337,-564.0205268806435,2.7165698480956175
LG에너지솔루션,2022,2022-01,257000,300000,2023,66.59,"300,000",69,2022-01-11,2022-01-12,2022-01-27,234000000,9860210,13752096,8977353,5412775,100000,303807,1586903,692737,858057,68.3,13412546,7.228641037619743,1.098342685199078,0.05164843423463375,0.06397420743235475,0.4310306373103064,0.0036669102564102565,13.312668444157017,81.84,6,91.29,-29.833409588696,-0.2204853923196335,0.37689407646346906,0.37318021290232606,13412545.0,1.7838936024803833,0.005597555555555555,29.232932498062063
SKC코오롱PI,2014,2014-12,12500,15000,23.01,0,"8,000",46,2014-11-19,2014-11-20,2014-12-08,29366322,75787122656,179441735795,36762916710,19159566806,18368700000,60479446202,-43368702000,20028343746,11433421958,-5.3,65437069512,1.576193899701721,2.061510060636318,0.3060703038103984,0.17472393007916273,0.32225482149338436,389.3378938635897,9.951216009801353,27.03,6,58.59,0.5039436769999543,-0.5138125426400615,0.010951464890137708,-0.017412001267688187,65437069511.0,-0.20970009439397552,-485.45815611502184,4.575501930613005
가온칩스,2022,2022-05,11000,13000,1847.12,14.6,"14,000",2183,2022-05-02,2022-05-03,2022-05-20,11488320,29916404375,7076710460,13808071614,1323047300,4714160000,16368724338,23350724,6202436087,6182765868,93.6,32235607297,0.7169027952902082,2.1665881530240445,0.19240946912693122,0.1917992675315721,0.29293551644042615,538.1784166875575,3.5247434418262955,7.3,6,71.35,-0.6561796996115555,0.013962540201552187,0.0769834824058142,0.08349955450843478,32235607296.0,0.11946477503645503,376.99369794713243,-1.985351851902859
강스템바이오텍,2015,2015-12,8000,10000,11.35,0,"6,000",41,2015-12-07,2015-12-08,2015-12-21,13817150,9725685992,5258574223,2463290508,1215054054,5878575000,-14190382611,524451764,-3185874764,-3838642428,56.0,1340395841,-0.4723483341803425,3.9482496930077886,-2.3768163601755012,-2.863812547445826,0.49293271084803425,-277.8172364054816,-3.5487633665816,25.3,1,37.45,0.9023253836139005,2.7973597898368365,19.016191205152904,14.973571027466946,1340395840.0,-0.06352101376580332,-9.050415317196382,-3.978219653314988
경보제약,2015,2015-06,13000,15000,524.56,34.44,"15,000",264,2015-06-10,2015-06-11,2015-06-29,23906860,96928613178,73815393122,88702899776,15081480014,10758085000,49452192871,962713886,6707517932,4993011747,128.3,43348799729,1.6965719153031942,1.0927333088633209,0.15473364831166767,0.11518223752939842,0.08162117960216735,208.85267856171828,9.982772642403425,60.0,6,68.0,0.1023990676068105,-0.04580770195227046,-0.008232307099673764,0.06431705707803262,43348799728.0,-0.056458592289750684,-152.38061280318703,7.5131880810072476
고바이오랩,2020,2020-11,18000,23000,64,0.85,"15,000",566,2020-11-03,2020-11-04,2020-11-18,15415766,26577142033,4193523801,2737712873,97030419,6677883000,-103591362874,-594948628,-5883016882,-46992569579,108.7,626634194,-0.029071777030452873,9.707790139393483,-9.388279379468399,-74.992028888548,0.4819334113054251,-3048.3447646390064,-4.748570861231807,36.37,2,72.41,1.5956150537822922,9.317827821124569,3.3639417378660195,1.4437166315438077,626634193.0,-0.3229929638481196,-189.79949857827341,-12.04245069353269
골든센츄리(금세기차륜),2016,2016-10,3200,4200,182,0.55,"3,500",346,2016-10-04,2016-10-05,2016-10-19,29800000,54475387658,22101682136,15804685645,0,4820281110,50009501102,0,5941529650,4504016008,9.0,21319158034,0.2882500168228098,3.4467871668952768,0.27869438560961884,0.21126612977946652,0.08214542947818339,151.1414767785235,10.228407115497605,42.49,2,73.47,0.12579339573811835,-1.7472561509918547,0.01944026943224092,0.026270691587586353,21319158033.0,-0.20464294927188215,-333.18217755033555,7.446467272660227
공구우먼,2022,2022-03,26000,31000,56.9,1.02,"20,000",15,2022-03-07,2022-03-08,2022-03-23,0,16344383721,11192426655,3503857874,0,251850000,23645247029,115840473,6757494882,5709351000,0.0,31593596970,0.14591542053978898,4.664682275580223,0.21388811436749805,0.18071228184056942,0.23776145669493692,0.0,3.556488450478415,0.91,6,64.46,0.016322163123313,0.2611359550281076,0.04930401161100684,0.04774419122062118,31593596969.0,0.031141200378232814,0.0,-0.3947770636925867
교촌에프앤비,2020,2020-11,10600,12300,999,3.9,"12,300",1318,2020-10-28,2020-10-29,2020-11-12,24982540,47170322827,122944683999,54096905670,29652578861,10549150000,74205611863,-5100972419,15321841368,5393043158,152.0,215550906243,1.051418709839027,0.871959721961672,0.07108224054844388,0.02501981203419384,0.06770604632428114,215.87249166818106,5.636758678064393,74.13,6,81.33,-0.0070803794085365634,0.020292341190137564,-0.032451277577037474,-0.052640695342304714,215550906242.0,-0.33371818152870303,-965.6758870795363,3.5976060423361704
국일신동,2014,2014-12,1400,1700,25,0,"1,700",91,2014-12-15,2014-12-16,2014-12-29,11090000,19343211278,28988295780,9241649167,6235997795,4000000000,32628580096,-3774720000,1776558374,1302523594,61.5,26677140531,0.47110588882931365,2.0930475641804893,0.066594782598066,0.04882545760428899,0.039645983461121026,117.45027899008116,18.49298091006606,63.48,6,74.69,-0.02788197443851914,0.28797600177744664,-0.012055484491383911,-0.00837940595062417,26677140530.0,-0.024707708780880924,-65.60062037871955,7.190877333402931
그리드위즈,2024,2024-06,34000,40000,124.6,0.64,"40,000",569,2024-05-23,2024-05-29,2024-06-14,7947161,55235585173,62981546278,31343402643,10840655263,1303550000,1791216480,1508059427,-2299440714,-1376739403,23.8,26193304940,9.164817170652984,1.7622714994326214,-0.08778734563153602,-0.05256073665211947,-0.29910742461630974,-173.2366316726187,-33.06589862572991,28.8,36,69.67,0.8366698569299214,0.05051897468907596,-0.0998560030013152,-0.08407896516953015,26193304939.0,-1.0613700426408712,-696.2319216887641,-81.37429510920231
그린리소스,2023,2023-11,11000,14000,753,4.6,"17,000",590,2023-11-03,2023-11-09,2023-11-24,8183944,8685,36231,16297,5968,3247,15055,-2261,2219,1666,207.6,8905,1.3880057353032853,0.5329201693563232,0.24918585064570467,0.187085906793936,0.10385886166697837,0.00020356933038642494,10.20775123929698,50.64,3,68.56,0.4306907850909045,-0.23978272660363387,0.10045154727715774,0.048955550007011545,8904.0,-0.13741960083563287,-0.00021982066348450087,4.587006130746994
그린플러스,2019,2019-08,8500,10000,863.94,5.48,"10,000",700,2019-07-18,2019-07-19,2019-08-07,3923873,34611930084,34610425055,23586385716,17447258327,1934769500,10952693256,2804637420,1397023733,1013987653,7.0,11313519404,2.6149236611271554,1.4674537464432602,0.12348268324939357,0.08962619117809575,0.06461771474992399,258.41500298302213,20.177689490977315,38.43,6,53.49,-0.13060087412942734,-0.09469384406702752,0.013325646574075173,0.04066317375322243,11313519403.0,-0.09226866179147143,-320.04430851864976,15.478760240193157
금양그린파워,2023,2023-03,6700,8000,1613.16,17.84,"10,000",1312,2023-02-23,2023-02-24,2023-03-13,12119500,104165975638,13436725328,48988090692,6624376725,4510980000,50068982368,-1351819108,8455090896,6780648438,62.0,164839298341,1.0447944266128812,2.1263530414548453,0.051292931849959165,0.04113490233362313,0.12738840813738353,559.4825230413796,7.331705159825877,11.53,6,71.43,0.06687810253660675,0.005798472529138898,-0.016866909665813577,-0.0076231038017037026,164839298340.0,-0.05785994235549821,-136.60260307768465,2.7271615679782446
