,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.077,0.073,0.065,0.035,0.0
의무보유확약비율,0.122,0.099,0.078,0.129,0.0
(확정)공모가격,0.063,0.064,0.081,0.091,0.0
청약경쟁률,0.165,0.12,0.095,0.251,0.0
공모후 발행주식수,0.036,0.037,0.054,0.045,0.006
최대주주 소유주 비율,0.04,0.03,0.059,0.022,0.0
최대주주 보호예수 기간,0.014,0.033,0.01,0.006,0.0
보호예수 비율,0.069,0.068,0.093,0.088,0.0
총부채,0.036,0.047,0.041,0.023,0.006
자본금,0.035,0.051,0.046,0.057,0.004
영업이익,0.047,0.064,0.033,0.046,0.075
매출액,0.034,0.038,0.041,0.016,-0.017
부채비율,0.034,0.043,0.039,0.024,0.0
유동비율,0.037,0.046,0.052,0.026,0.0
영업이익률,0.041,0.042,0.044,0.03,0.0
당기순이익률,0.037,0.036,0.028,0.012,0.0
ROE,0.035,0.03,0.052,0.021,0.0
EPS,0.041,0.043,0.037,0.048,0.0
EV/영업이익,0.036,0.036,0.053,0.03,0.0
