,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.059,0.024,0.027,0.012,0.0
의무보유확약비율,0.096,0.068,0.063,0.091,0.0
(확정)공모가격,0.047,0.043,0.066,0.073,0.0
청약경쟁률,0.119,0.12,0.073,0.228,0.0
공모후 발행주식수,0.025,0.028,0.032,0.003,0.003
최대주주 소유주 비율,0.024,0.014,0.023,0.027,0.0
최대주주 보호예수 기간,0.007,0.017,0.005,0.007,0.0
보호예수 비율,0.041,0.033,0.059,0.036,0.0
총부채,0.021,0.019,0.017,0.022,0.005
자본금,0.02,0.024,0.024,0.023,0.005
영업이익,0.03,0.031,0.023,0.038,0.077
부채비율,0.021,0.013,0.014,0.003,0.0
유동비율,0.021,0.02,0.027,0.013,0.0
당기순이익률,0.02,0.019,0.021,0.009,0.0
ROE,0.014,0.017,0.024,0.012,0.0
EPS,0.016,0.027,0.026,0.012,0.0
EV/영업이익,0.019,0.024,0.02,0.015,0.0
부채비율 변화율,0.019,0.028,0.037,0.059,0.0
유동비율 변화율,0.022,0.023,0.027,0.03,0.0
영업이익률 변화율,0.016,0.031,0.037,0.005,0.0
당기순이익률 변화율,0.022,0.026,0.025,0.028,0.0
매출액 변화율,0.013,0.016,0.019,0.007,-0.01
ROE 변화율,0.02,0.02,0.031,0.028,0.0
EPS 변화율,0.025,0.029,0.025,0.016,0.0
EV/영업이익 변화율,0.021,0.021,0.019,0.007,0.0
DLR,0.013,0.013,0.014,0.001,0.0
PPI (%),0.055,0.039,0.019,0.027,0.0
기업경기실사지수(BSI),0.018,0.021,0.018,0.008,0.0
생산자물가 상승률 (PPI),0.018,0.022,0.02,0.017,0.0
소비심리지수(CSI),0.016,0.016,0.017,0.005,0.0
소비자물가 상승률 (CPI),0.024,0.031,0.025,0.037,0.0
수출입 물량지수,0.019,0.025,0.035,0.037,0.0
외환보유액,0.022,0.026,0.025,0.016,0.0
원달러 환율,0.016,0.017,0.016,0.022,0.0
통화량 (M2),0.018,0.02,0.015,0.007,0.0
기준금리,0.008,0.016,0.006,0.009,0.0
국고채 금리 스프레드,0.017,0.021,0.026,0.006,0.0
