,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.069,0.035,0.048,0.013,0.0
의무보유확약비율,0.113,0.084,0.069,0.107,0.0
(확정)공모가격,0.056,0.052,0.069,0.084,0.0
청약경쟁률,0.136,0.13,0.08,0.244,0.0
공모후 발행주식수,0.026,0.031,0.041,0.016,0.003
최대주주 소유주 비율,0.031,0.025,0.037,0.029,0.0
최대주주 보호예수 기간,0.008,0.019,0.007,0.003,0.0
보호예수 비율,0.054,0.039,0.067,0.037,0.0
총부채,0.027,0.025,0.024,0.037,0.005
자본금,0.027,0.028,0.027,0.024,0.005
영업이익,0.033,0.041,0.027,0.036,0.077
부채비율,0.024,0.025,0.026,0.015,0.0
유동비율,0.027,0.026,0.037,0.018,0.0
당기순이익률,0.025,0.027,0.025,0.018,0.0
ROE,0.024,0.027,0.026,0.014,0.0
EPS,0.026,0.031,0.028,0.021,0.0
EV/영업이익,0.024,0.031,0.027,0.013,0.0
부채비율 변화율,0.024,0.033,0.04,0.058,0.0
유동비율 변화율,0.026,0.029,0.041,0.04,0.0
영업이익률 변화율,0.025,0.038,0.041,0.017,0.0
당기순이익률 변화율,0.025,0.029,0.035,0.046,0.0
매출액 변화율,0.022,0.023,0.027,0.008,-0.01
ROE 변화율,0.024,0.027,0.045,0.039,0.0
EPS 변화율,0.03,0.04,0.038,0.024,0.0
EV/영업이익 변화율,0.02,0.025,0.024,0.004,0.0
DLR,0.016,0.026,0.018,0.004,0.0
PPI (%),0.058,0.052,0.022,0.032,0.0
