,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.081,0.027,0.065,0.046,0.0
의무보유확약비율,0.127,0.093,0.084,0.137,0.0
(확정)공모가격,0.066,0.08,0.086,0.075,0.0
청약경쟁률,0.156,0.139,0.089,0.266,0.0
공모후 발행주식수,0.036,0.038,0.072,0.053,-0.01
최대주주 소유주 비율,0.041,0.039,0.068,0.031,0.0
최대주주 보호예수 기간,0.015,0.025,0.008,0.012,0.0
보호예수 비율,0.071,0.048,0.084,0.071,0.0
총부채,0.039,0.04,0.048,0.026,0.015
자본금,0.036,0.032,0.044,0.029,0.006
영업이익,0.053,0.044,0.074,0.058,0.061
매출액,0.036,0.032,0.05,0.019,-0.034
기업경기실사지수(BSI),0.022,0.027,0.022,0.007,0.0
소비심리지수(CSI),0.034,0.042,0.04,0.05,0.0
수출입 물량지수,0.032,0.047,0.038,0.028,0.0
외환보유액,0.039,0.04,0.036,0.033,-0.001
원달러 환율,0.036,0.034,0.036,0.016,0.0
통화량 (M2),0.034,0.054,0.018,0.017,0.007
기준금리,0.016,0.07,0.01,0.004,0.0
국고채 금리 스프레드,0.029,0.049,0.028,0.02,0.0
