,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.08,0.104,0.07,0.037,-0.002
의무보유확약비율,0.141,0.105,0.094,0.137,0.079
(확정)공모가격,0.076,0.081,0.095,0.094,0.028
청약경쟁률,0.183,0.127,0.1,0.27,0.161
공모후 발행주식수,0.049,0.048,0.077,0.061,0.004
최대주주 소유주 비율,0.051,0.05,0.069,0.041,-0.003
최대주주 보호예수 기간,0.017,0.059,0.01,0.005,-0.003
보호예수 비율,0.079,0.062,0.11,0.097,-0.012
부채비율,0.041,0.044,0.056,0.024,-0.006
유동비율,0.051,0.057,0.049,0.038,0.0
영업이익률,0.051,0.057,0.053,0.052,0.001
당기순이익률,0.045,0.061,0.048,0.038,-0.002
ROE,0.043,0.044,0.064,0.04,0.0
EPS,0.052,0.059,0.046,0.042,0.01
EV/영업이익,0.042,0.04,0.059,0.024,-0.005
