,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.081,0.068,0.056,0.027,0.0
의무보유확약비율,0.138,0.118,0.082,0.137,0.0
(확정)공모가격,0.078,0.075,0.084,0.102,0.0
청약경쟁률,0.175,0.15,0.1,0.288,0.0
공모후 발행주식수,0.04,0.044,0.072,0.042,-0.015
최대주주 소유주 비율,0.049,0.041,0.07,0.043,0.0
최대주주 보호예수 기간,0.016,0.039,0.011,0.006,0.0
부채비율 변화율,0.042,0.047,0.063,0.057,0.0
유동비율 변화율,0.042,0.037,0.066,0.03,0.0
영업이익률 변화율,0.045,0.051,0.062,0.048,0.0
당기순이익률 변화율,0.042,0.041,0.056,0.039,0.0
매출액 변화율,0.039,0.04,0.055,0.014,-0.005
ROE 변화율,0.038,0.039,0.058,0.034,0.0
EPS 변화율,0.046,0.044,0.053,0.051,0.0
EV/영업이익 변화율,0.038,0.043,0.057,0.022,0.0
DLR,0.028,0.048,0.027,0.015,0.0
PPI (%),0.063,0.075,0.03,0.044,0.0
