,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.049,0.036,0.036,0.023,0.0
의무보유확약비율,0.097,0.068,0.06,0.093,0.0
(확정)공모가격,0.043,0.043,0.059,0.065,0.0
청약경쟁률,0.116,0.087,0.07,0.226,0.0
공모후 발행주식수,0.021,0.022,0.031,0.018,-0.013
최대주주 소유주 비율,0.02,0.018,0.028,0.039,0.0
최대주주 보호예수 기간,0.004,0.017,0.007,0.002,0.0
보호예수 비율,0.04,0.028,0.057,0.031,0.0
총부채,0.017,0.02,0.015,0.014,0.013
자본금,0.021,0.021,0.02,0.007,0.007
영업이익,0.022,0.03,0.018,0.038,0.061
부채비율,0.016,0.02,0.018,0.015,0.0
유동비율,0.018,0.019,0.024,0.016,0.0
당기순이익률,0.022,0.023,0.024,0.021,0.0
ROE,0.018,0.018,0.022,0.004,0.0
EPS,0.022,0.023,0.021,0.021,0.0
EV/영업이익,0.016,0.023,0.019,0.023,0.0
부채비율 변화율,0.018,0.021,0.029,0.032,0.0
유동비율 변화율,0.02,0.02,0.027,0.01,0.0
영업이익률 변화율,0.021,0.027,0.03,0.009,0.0
당기순이익률 변화율,0.018,0.02,0.018,0.031,0.0
매출액 변화율,0.017,0.015,0.024,0.003,-0.034
ROE 변화율,0.017,0.02,0.037,0.014,0.0
EPS 변화율,0.025,0.03,0.029,0.003,0.0
EV/영업이익 변화율,0.014,0.02,0.02,0.002,0.0
DLR,0.012,0.018,0.009,0.007,0.0
PPI (%),0.048,0.036,0.013,0.019,0.0
기업경기실사지수(BSI),0.013,0.018,0.007,0.003,0.0
소비심리지수(CSI),0.017,0.026,0.025,0.026,0.0
외환보유액,0.024,0.028,0.026,0.029,-0.001
원달러 환율,0.021,0.022,0.02,0.009,0.0
통화량 (M2),0.02,0.029,0.004,0.017,0.006
기준금리,0.008,0.014,0.003,0.0,0.0
국고채 금리 스프레드,0.017,0.018,0.011,0.006,0.0
무역수지,0.021,0.02,0.025,0.009,0.0
KOSPI_1001,0.026,0.027,0.035,0.021,0.0
산업코스피,0.019,0.021,0.026,0.042,0.0
대표매매감정점수,0.042,0.034,0.052,0.05,0.0
