,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.064,0.037,0.049,0.017,0.0
의무보유확약비율,0.108,0.089,0.063,0.094,0.0
(확정)공모가격,0.044,0.042,0.062,0.058,0.0
청약경쟁률,0.143,0.127,0.079,0.255,0.0
공모후 발행주식수,0.023,0.029,0.044,0.014,-0.01
최대주주 소유주 비율,0.024,0.02,0.039,0.019,0.0
최대주주 보호예수 기간,0.009,0.02,0.008,0.004,0.0
보호예수 비율,0.053,0.039,0.066,0.04,0.0
총부채,0.022,0.024,0.019,0.017,0.015
자본금,0.024,0.024,0.027,0.017,0.006
영업이익,0.032,0.04,0.025,0.045,0.061
매출액,0.022,0.023,0.036,0.009,-0.034
부채비율,0.02,0.026,0.025,0.017,0.0
유동비율,0.024,0.025,0.03,0.014,0.0
영업이익률,0.024,0.039,0.023,0.028,0.0
당기순이익률,0.028,0.021,0.023,0.034,0.0
ROE,0.024,0.022,0.035,0.013,0.0
EPS,0.029,0.028,0.023,0.027,0.0
EV/영업이익,0.022,0.021,0.031,0.045,0.0
기업경기실사지수(BSI),0.016,0.037,0.016,0.005,0.0
소비심리지수(CSI),0.019,0.035,0.031,0.034,0.0
수출입 물량지수,0.021,0.024,0.031,0.021,0.0
외환보유액,0.028,0.026,0.03,0.027,-0.001
원달러 환율,0.021,0.022,0.026,0.004,0.0
통화량 (M2),0.022,0.031,0.007,0.004,0.007
기준금리,0.011,0.02,0.005,0.001,0.0
국고채 금리 스프레드,0.019,0.014,0.013,0.007,0.0
KOSPI_1001,0.032,0.031,0.036,0.024,0.0
산업코스피,0.023,0.021,0.042,0.029,0.0
대표매매감정점수,0.047,0.042,0.058,0.078,0.0
