,RandomForest,XGBoost,LightGBM,GradientBoosting,LogisticRegression
단순 기관경쟁률,0.072,0.039,0.051,0.033,0.0
의무보유확약비율,0.125,0.094,0.078,0.13,0.0
(확정)공모가격,0.065,0.056,0.081,0.081,0.0
청약경쟁률,0.155,0.161,0.087,0.258,0.0
공모후 발행주식수,0.034,0.04,0.068,0.039,0.006
최대주주 소유주 비율,0.039,0.028,0.068,0.035,0.0
최대주주 보호예수 기간,0.015,0.037,0.01,0.007,0.0
보호예수 비율,0.068,0.054,0.082,0.076,0.0
총부채,0.039,0.033,0.046,0.024,0.006
자본금,0.036,0.038,0.04,0.033,0.004
영업이익,0.049,0.052,0.059,0.06,0.075
매출액,0.034,0.031,0.046,0.012,-0.017
기업경기실사지수(BSI),0.025,0.031,0.029,0.007,0.0
생산자물가 상승률 (PPI),0.03,0.031,0.025,0.022,0.0
소비심리지수(CSI),0.026,0.03,0.025,0.006,0.0
소비자물가 상승률 (CPI),0.04,0.043,0.031,0.049,0.0
수출입 물량지수,0.027,0.042,0.041,0.055,0.0
외환보유액,0.03,0.042,0.033,0.03,0.0
원달러 환율,0.024,0.032,0.032,0.012,0.0
통화량 (M2),0.027,0.033,0.03,0.016,0.0
기준금리,0.009,0.02,0.006,0.003,0.0
국고채 금리 스프레드,0.032,0.034,0.033,0.013,0.0
